col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
1.0,5.0,2.0,Calculatre,$24.99,100.0,$17.99,1.0,calculation application,,,,,,,,,
2.0,5.0,5.0,Penwrite,$79.99,27.0,$49.99,2.0,word processing product,,,,,,,,,
3.0,1.0,6.0,Vortex Generator,"$2,499.99",1000.0,"$1,999.99",0.01,space engine component,,,,,,,,,
4.0,1.0,6.0,The Gourmet Crockpot,$24.99,72.0,$19.99,1.63,cookbook,,,,,,,,,
5.0,1.0,6.0,Government Accounting,$14.99,26.0,$9.99,1.22,government accounting book,,,,,,,,,
6.0,3.0,6.0,habanero peppers,$4.49,189.0,$2.99,0.009,hot peppers,,,,,,,,,
7.0,2.0,1.0,10-mm socket wrench,$3.49,39.0,$1.89,0.018,important tool,,,,,,,,,
8.0,3.0,4.0,tomato sauce,$1.19,1509.0,$0.89,0.232,bottled in glass,,,,,,,,,
9.0,1.0,6.0,pure vanilla,$10.39,1509.0,$7.89,0.032,high-quality vanilla,,,,,,,,,
10.0,3.0,2.0,keyboard wrench,"$399,999.95",6128.0,"$149,999.99",521.38,handle with care,,,,,,,,,
11.0,2.0,1.0,power cell,$47.89,2346.0,$29.99,0.298,ten amp-hours per cell,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.0,6.0,The Gourmet Crockpot,$24.99,72.0,$19.99,1.63,cookbook
,,,,,,,,,,1.0,6.0,Government Accounting,$14.99,26.0,$9.99,1.22,government accounting book
,,,,,,,,,,3.0,6.0,habanero peppers,$4.49,189.0,$2.99,0.009,hot peppers
,,,,,,,,,,2.0,1.0,10-mm socket wrench,$3.49,39.0,$1.89,0.018,important tool
,,,,,,,,,,3.0,4.0,tomato sauce,$1.19,1509.0,$0.89,0.232,bottled in glass
,,,,,,,,,,1.0,6.0,pure vanilla,$10.39,1509.0,$7.89,0.032,high-quality vanilla
,,,,,,,,,,3.0,2.0,keyboard wrench,"$399,999.95",6128.0,"$149,999.99",521.38,handle with care
,,,,,,,,,,2.0,1.0,power cell,$47.89,2346.0,$29.99,0.298,ten amp-hours per cell
