col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33
426,1977.246575,1977.99726,Y,15-49,Other,MW,0.03,0.03,0.06,,,N,,N,,N,,None,None,N,,N,,,,,,,639,Y_694,0.063222994,0.333779955,0.047362651
426,2001.361644,2001.493151,Y,15-49,National survey,MW,0.361,0.045,0.406,,,N,,N,,N,,?,None,N,,N,,,,,,,1676,Y_811,0.063222994,0.333779955,0.047362651
426,2004.666667,2005.082192,Y,15-49,DHS,MW,0.3517932121,0.02120860375,0.3730018159,,0.3098041271,N,,N,,N,,None,None,N,,N,0.008069487,0.001714796,0.006978255,0.047362651,0.126597663,0.047029051,1808,Y_934,0.047029051,0.126597663,0.047362651
426,2000.163934,2000.412568,Y,15-49,MICS,MW,0.2958454618,0.00846784864,0.3043133104,,,N,,N,,N,,None,None,N,,Y,,,,,,,1920,Y_1013,0.063222994,0.333779955,0.047362651
426,1991.0,1992.0,Y,15-49,National survey,AL,0.189,0.043,0.232,,,N,,N,,N,,None,None,N,,N,,,,,,,2811,Y_1154,0.063222994,0.333779955,0.047362651
426,2002.0,2002.0,Y,15-49,National survey,MW,0.347,0.059,0.38,,,N,,N,,N,,?,None,N,,N,,,,,,,2923,Y_1244,0.063222994,0.333779955,0.047362651
426,2009.747945,2010.082192,Y,15-49,DHS,MW,0.4562331688,0.01405486362,0.4702880324,,0.2327867218,N,,N,,N,,None,None,N,,N,0.01088227,0.002245399,0.008719281,0.04351837,0.16004459,0.056131502,4947,Y_1394,0.056131502,0.16004459,0.04351837
426,1995.0,1995.0,Y,15-49,National survey,SA,,,0.286,,,N,,N,,N,,None,None,N,,N,,,,,,,5135,Y_1514,0.063222994,0.333779955,0.047362651
426,2011.290411,2011.375342,Y,15-49,National survey,MW,0.6084445979,0.02578317257,0.6342277705,,,N,,N,,N,,?,None,N,,N,,,,,,,5608,Y_1655,0.063222994,0.333779955,0.047362651
426,2014.665753,2014.99726,Y,15-49,DHS,MW,0.5979442073,0.00356146248,0.6015056698,,0.1842795358,N,,N,,N,,None,None,N,,N,0.011310475,0.001187969,0.008193602,0.046976725,0.333779955,0.063222994,5769,Y_1696,0.063222994,0.333779955,0.046976725
426,2018.0,2018.0,Y,15-49,MICS,MW,0.6457463294,0.00355940362,0.649305733,,0.1600816868,N,,N,,N,,None,None,N,,Y,,,,,,,7583,Y_1842,0.063222994,0.333779955,0.047362651
