col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
"1,1-dichloroethane",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"1,4-dioxane",44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
"4-androstene-3,17-dione",12,12,12,12,12,12,4,4,12,12,12,12,12,12,12,12
HCFC-22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Halon 1011,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PFOS,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
chlorate,619,619,619,619,619,619,309,309,619,619,619,619,619,619,619,619
chromium,1961,1961,1961,1961,1961,1961,1044,1044,1961,1961,1961,1961,1961,1961,1961,1961
chromium-6,2600,2600,2600,2600,2600,2600,1316,1316,2600,2600,2600,2600,2600,2600,2600,2600
cobalt,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4
manganese,159,159,159,159,159,159,85,85,159,159,159,159,159,159,159,159
molybdenum,633,633,633,633,633,633,331,331,633,633,633,633,633,633,633,633
strontium,3017,3017,3017,3017,3017,3017,1546,1546,3017,3017,3017,3017,3017,3017,3017,3017
testosterone,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3
vanadium,1366,1366,1366,1366,1366,1366,660,660,1366,1366,1366,1366,1366,1366,1366,1366
