col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
BL,057-006-1,057-006-1,057-006-1,CONNECTOR,,,,,,unknown,unknown,,,,,,,;
BLS,ON,SW_DIP-1,EDG-01,DIP SWITCH,,,,,,,,,,,,,,;
C1,100nF,CAP0805,805,Capacitor,,,,,,,,,,,,,,;
C2,100nF,CAP0805,805,Capacitor,,,,,,,,,,,,,,;
C3,100nF,CAP0805,805,Capacitor,,,,,,,,,,,,,,;
D1,BAV70,BAV70,SOT-23-3,,Unavailable," Diode, Dual Switching, Sot-23 ",Multicomp,BAV70+,,,,SOT-23 Multicomp,None,,,,,;
D2,BAV70,BAV70,SOT-23-3,,Unavailable," Diode, Dual Switching, Sot-23 ",Multicomp,BAV70+,,,,SOT-23 Multicomp,None,,,,,;
D3,BAV70,BAV70,SOT-23-3,,Unavailable," Diode, Dual Switching, Sot-23 ",Multicomp,BAV70+,,,,SOT-23 Multicomp,None,,,,,;
D4,BAV70,BAV70,SOT-23-3,,Unavailable," Diode, Dual Switching, Sot-23 ",Multicomp,BAV70+,,,,SOT-23 Multicomp,None,,,,,;
EC1,18p,CAP0805,805,Capacitor,,,,,,,,,,,,,,;
EC2,18p,CAP0805,805,Capacitor,,,,,,,,,,,,,,;
EC3,10u,CPOL-EUCT3216,CT3216,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,C,,;
EC4,10n,CAP0805,805,Capacitor,,,,,,,,,,,,,,;
EC5,10n,CAP0805,805,Capacitor,,,,,,,,,,,,,,;
EC6,10u,CPOL-EUCT3216,CT3216,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,C,,;
EL1,10µH,INDUCTOR-0805-3.3UH,805,Inductors,,,,,,,,,,NDUC-13076,,,,3.3µH/±20%/450mA;
ENC,ENC28J60-SSOP,ENC28J60-SSOP,SSOP28,Microchip 10Mbit Eth. contoller with SPI interface,,,,,,,,,,,,,,;
ER1,10k,RESISTOR0805-RES,805,Resistor,,,,,,,,,,,,,,;
ER2,10k,RESISTOR0805-RES,805,Resistor,,,,,,,,,,,,,,;
ER3,1k,RESISTOR0805-RES,805,Resistor,,,,,,,,,,,,,,;
ER4,1k,RESISTOR0805-RES,805,Resistor,,,,,,,,,,,,,,;
ER10,2.7K,RESISTOR0805-RES,805,Resistor,,,,,,,,,,,,,,;
ERN1,49.9R,4R-N0603-ARV,0603-ARV,Array Chip Resistor,,,,,,unknown,unknown,,,,,,,;
GPIO,057-014-1,057-014-1,057-014-1,CONNECTOR,,,,,,unknown,unknown,,,,,,,;
IC1,MCP23017SS,MCP23017SS,SSOP28,http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf,,,MICROCHIP,,MCP23017-E/SS,1467674,31K2960,,,,,,,;
IIR1,6.8K,4R-N0603-ARV,0603-ARV,Array Chip Resistor,,,,,,unknown,unknown,,,,,,,;
IIR2,6.8K,4R-N0603-ARV,0603-ARV,Array Chip Resistor,,,,,,unknown,unknown,,,,,,,;
IL1,BLU,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,;
IL2,BLU,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,;
IL3,BLU,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,;
IL4,BLU,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,;
IL5,BLU,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,;
IL6,BLU,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,;
IL7,BLU,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,;
IL8,BLU,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,;
INDL,BLU,LEDCHIP-LED0805,CHIP-LED0805,LED,,,,,,,,,,,,,,;
IR1,10K,4R-N0603-ARV,0603-ARV,Array Chip Resistor,,,,,,unknown,unknown,,,,,,,;
