col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
1515,The Incredible Hulk,Incredible Hulk,,1962,0,1963,0,May 1962 - March 1963,0,78,225,,"The Hulk's adventures continue in Tales to Astonish (Marvel, 1959 series) ",,,,,,,,,,,,,,,,,,,,,
1570,The Amazing Spider-Man,Amazing Spider-Man,,1963,0,1998,0,March 1963 - November 1998,0,78,225,,Issue ,,,,,,,,,,,,,,,,,,,,,
1576,The X-Men,X-Men,,1963,0,1981,0,September 1963 - January 1981,0,78,225,,Indicia title on ,,,,,,,,,,,,,,,,,,,,,
1442,Tales of Suspense,Tales of Suspense,,1959,0,1968,0,,0,78,225,,"Launched as an SF anthology series along with Tales to Astonish (Marvel, 1959 series) and Strange Worlds (Marvel, 1958 series) to expand and revamp Marvel's SF line (along with the revived Journey Into Mystery (Marvel, 1952 series) and two pre-existing titles) following Jack Kirby's return to the company. Tales of Suspense included an Iron Man feature from ",,,,,,,,,,,,,,,,,,,,,
1443,Tales to Astonish,Tales to Astonish,,1959,0,1968,0,January 1959 - March 1968,0,78,225,,"Launched as an SF anthology series along with Tales to Astonish (Marvel, 1959 series) and Strange Worlds (Marvel, 1958 series) to expand and revamp Marvel's SF line (along with the revived Journey Into Mystery (Marvel, 1952 series) and two pre-existing titles) following Jack Kirby's return to the company. Tales of Suspense included an Iron Man feature from ",,,,,,,,,,,,,,,,,,,,,
1482,Fantastic Four,Fantastic Four,,1961,0,1996,0,November 1961 - September 1996,0,78,225,,,,1.0,0.0,416.0,4/10/1999 0:00,10/26/2015 5:11,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,color,"standard Silver Age U.S., then standard Modern Age U.S.",glossy cover; newsprint interior,saddle-stitched (squarebound ,,,
1860,Captain America,Captain America,,1968,0,1996,0,April 1968 - August 1996,0,78,225,,With thanks to George Olshevsky for his pioneering indexes.,,1.0,0.0,355.0,4/10/1999 0:00,7/29/2015 16:55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,color,standard Silver Age US; later standard Modern Age US,glossy cover; newsprint interior,saddle-stitched,was ongoing series,1.0,0.0
1636,Daredevil,Daredevil,,1964,0,1998,0,April 1964 - October 1998,0,78,225,,First series. Issue ,,,,,,,,,,,,,,,,,,,,,
824,Strange Tales,Strange Tales,,1951,0,1968,0,June 1951 - May 1968,0,78,225,,"Launched as an SF/Horror anthology along with Mystic (Marvel, 1951 series), increasing Atlas's SF line from four to six books. This book, along with World of Fantasy (Marvel, 1956 series), was one of only two SF anthologies to resume publication immediately following the publication hiatus caused by the collapse of Atlas's distributor and the subsequent restructuring known as the ""Atlas Implosion"". Strange Tales included a Human Torch/Human Torch &amp; Thing feature in issues ",,,,,,,,,,,,,,,,,,,,,
1939,Conan the Barbarian,Conan the Barbarian,,1970,0,1993,0,October 1970 - December 1993,0,78,225,,"No fictional biography of Conan can be reconciled with all of the published Robert E. Howard stories and Howard pastiches. Notes given in the GCD entries for stories, either adapted from earlier prose stories or original to the comics, that attempt to trace a chronology are, therefore, subject to debate. There exist several schools of ���Conan Chronology�� and they are detailed in Wikipedia at http://en.wikipedia.org/wiki/Conan_chronologies.",,1.0,0.0,275.0,4/10/1999 0:00,9/25/2015 13:09,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,Color,Standard U.S. Modern size,Glossy cover; Newsprint interior,Saddle-stitched (Squarebound ,,,
1866,The Incredible Hulk,Incredible Hulk,,1968,0,1999,0,April 1968 - March 1999,0,78,225,,Issue ,,,,,,,,,,,,,,,,,,,,,
1571,The Avengers,Avengers,,1963,0,1996,0,September 1963 - September 1996,0,78,225,,Beginning with issue ,,,,,,,,,,,,,,,,,,,,,
