col0,col1,col2
0,維生素A,維持在暗處的視覺
1,維生素A,增進皮膚與黏膜的健康
2,維生素A,幫助牙齒和骨骼的發育與生長
3,胡蘿蔔素,維持在暗處的視覺
4,胡蘿蔔素,增進皮膚與黏膜的健康
5,胡蘿蔔素,幫助牙齒和骨骼的發育與生長
6,維生素D,增進鈣吸收
7,維生素D,幫助骨骼與牙齒的生長發育
8,維生素D,促進釋放骨鈣
9,維生素D,維持血鈣平衡
10,維生素D,維持神經
11,維生素D,肌肉的正常生理
12,維生素E,減少不飽和脂肪酸的氧化
13,維生素E,維持細胞膜的完整性
14,維生素E,具抗氧化作用
15,維生素E,增進皮膚與血球的健康
16,維生素E,減少自由基的產生
17,維生素K,血液正常的凝固功能
18,維生素K,促進骨質的鈣化
19,維生素K,活化肝臟與血液中的凝血蛋白質
20,維生素C,促進膠原蛋白的形成
21,維生素C,傷口癒合
22,維生素C,維持細胞排列的緊密性
23,維生素C,增進體內結締組織
24,維生素C,骨骼及牙齒的生長
25,維生素C,促進鐵的吸收
26,維生素C,具抗氧化作用
27,維生素B1,維持能量正常代謝
28,維生素B1,幫助維持皮膚
29,維生素B1,心臟及神經系統的正常功能
30,維生素B1,維持正常的食慾
31,維生素B2,維持能量正常代謝
32,維生素B2,維持皮膚的健康
33,菸鹼素,維持能量正常代謝
34,菸鹼素,增進皮膚
35,菸鹼素,神經系統
36,菸鹼素,黏膜及消化系統的健康
37,維生素B6,維持胺基酸正常代謝
38,維生素B6,紅血球中紫質的形成
39,維生素B6,色胺酸轉變成菸鹼素
40,維生素B6,紅血球維持正常型態
41,維生素B6,增進神經系統的健康
42,葉酸,紅血球的形成
43,葉酸,核酸與核蛋白的形成
44,葉酸,胎兒的正常發育與生長
45,維生素B12,紅血球的形成
46,維生素B12,增進神經系統的健康
47,生物素,維持能量與胺基酸的正常代謝
48,生物素,脂肪與肝醣的合成
49,生物素,嘌呤的合成
50,生物素,增進皮膚和黏膜的健康
51,泛酸,維持能量正常代謝
52,泛酸,增進皮膚和黏膜的健康
53,泛酸,體脂肪
54,泛酸,膽固醇的合成及胺基酸的代謝
55,鈣,維持骨骼與牙齒的正常發育及健康
56,鈣,血液正常的凝固功能
57,鈣,肌肉與心臟的正常收縮及神經的感應性
58,鈣,活化凝血?元轉變為凝血?
59,鈣,幫助血液凝固
60,鈣,調控細胞的通透性
61,鐵,正常紅血球的形成
62,鐵,構成血紅素與肌紅素的重要成分
63,鐵,氧氣的輸送與利用
64,碘,合成甲狀腺激素的主要成分
65,碘,維持正常生長
66,碘,發育
67,碘,神經肌肉的功能
68,碘,調節細胞的氧化作用
69,碘,維持甲狀腺激素的正常分泌
70,碘,維持正常基礎代謝
71,鎂,骨骼與牙齒的正常發育
72,鎂,維持醣類的正常代謝
73,鎂,心臟
74,鎂,肌肉及神經的正常功能
75,鎂,身體正常代謝
76,鋅,胰島素及多種酵素的成分
77,鋅,維持能量
78,鋅,醣類
79,鋅,蛋白質與核酸的正常代謝
80,鋅,增進皮膚健康
81,鋅,維持正常味覺與食慾
82,鋅,維持生長發育與生殖機能
83,鋅,皮膚組織蛋白質的合成
84,鉻,維持醣類正常代謝
85,蛋白質,人體細胞
86,蛋白質,組織
87,蛋白質,器官的主要構成物質
88,蛋白質,生長發育
89,蛋白質,組織的修復
90,蛋白質,肌肉合成的來源
91,蛋白質,肌肉生長
92,膳食纖維,腸道蠕動
93,膳食纖維,增加飽足感
94,膳食纖維,糞便比較柔軟而易於排出
95,膳食纖維,增加糞便量
