col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA51,SHLAA,"Former Goods Yard, London Road Carlisle",http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,341180,555002,1.99,not owned by a public authority,,not permissioned,,,,,50,,,,,,yes,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA25,SHLAA,"South Western Terrace, Carlisle",http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,340140,554546,3.11,not owned by a public authority,,not permissioned,,,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_53082,,90,Authority to issue permission on site for 7 years. Contamination issues. Not deliverable in 5 years,,,,,yes,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA49,SHLAA,Nelson Street Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,339526,555309,2.84,not owned by a public authority,,permissioned,outline planning permission,,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_56003,,80,"Outline permission for residential development on site since 2004, regularly renewed.",,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,U21,Local Plan 15-30,Laings Site Dalston Rd,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,339291,555539,1.12,not owned by a public authority,,not permissioned,,,https://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_74124,,30,,,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA75,SHLAA,Caxton Rd Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,338085,556280,1.4,not owned by a public authority,Yes,permissioned,outline planning permission,11/08/2016,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activhttp://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_71165,,40,outline permission for 63 dwellings. Reserved matters currently being considered.,,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,R11,Local Plan 15-30,Harker Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,338952,560768,10.59,not owned by a public authority,,not permissioned,,,http://publicaccess.carlisle.gov.uk/online-applications/simpleSearchResults.do;jsessionid=DEDBAF9DA529115979CC5176DAB07EF4?action=firstPage,,300,,,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,U3,Local Plan 15-30,Site of Pennine Way Primary School,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,342708,554541,3.46,not owned by a public authority,,permissioned,other,14/07/2016,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_67551,,103,,Temporary permission for porta-cabin classrooms in response to flood,,,,,,Land to be used for temporary relocation of school until 2021,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,17/0429,,The Grange Wood St Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,342266,555580,0.28,not owned by a public authority,yes,permissioned,full planning permission,17/10/2017,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=dates&keyVal=_CARLI_DCAPR_70638,,7,,,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,15/1003,,St Ninians Road Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,341431,553409,3.09,not owned by a public authority,,permissioned,outline planning permission,31/01/2017,http://publicaccess.carlisle.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,132,,,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,,,Central Plaza Hotel Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,340059,555703,0.08,not owned by a public authority,,not permissioned,,,,,10,,,,,,,,"Former hotel falling into disrepair. Small site area, but potentially developable over several floors",31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,,Local Plan 15-30,The Citadel Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,340180,555657,1.83,owned by a public authority,,not permissioned,,,,,36,,,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,,Local Plan 15-30,Caldew Riverside Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,339805,555743,5.46,owned by a public authority,,not permissioned,,,,,100,,,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,R 4,Local Plan 15-30,Site of former Lochinvar School Longtown,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,338314,569018,3.56,owned by a public authority,,not permissioned,,,,,106,,,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,,,Former Offices Portland Square Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,340552,555711,0.93,owned by a public authority,yes,permissioned,full planning permission,23/12/2016,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=_CARLI_DCAPR_68011,,22,Redevelopment of former council offices.,,,,,,,,31/12/2017,06/12/2018
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,,,Former Caldew Hospital Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,339226,555291,0.38,not owned by a public authority,yes,not permissioned,,,,,11,,,,,,,,,31/12/2017,31/12/2017
