col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44
CA,36061,,,,2280003010,,SO2,17421.3432331,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003010,,CO,1751.46164422,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003010,,NOX,21709.4748888,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003010,,VOC,716.95040981,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003010,,PM2_5,1460.73287241,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003010,,PM10,1623.0365249,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003030,,NH3,0.0375404199999999,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003030,,SO2,2.138128718,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003030,,CO,0.2498189979999999,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003030,,NOX,3.669923218,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003030,,VOC,0.022369162,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003030,,PM10,0.2054724589999999,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,36061,,,,2280003030,,PM2_5,0.2054724589999999,,,,,,,,,2010,20130606,,,,,,,,,,,,,,,,,,,,,,,,,,
