col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101
11/18/19 5:53,11/18/19 6:12,0,100,1171,1,11/18/19 6:12,R_AsVgTjJtDT20tuF,anonymous,EN,153,19,2,2,2,2,0,4,2,1,4,3,4,2,3,3,2,2,3,1,1,4,1,2,3,2,2,0,0,2,0,1,20,16,13,7,56,1,1,1,2,1,2,2,3,2,2,17,2,3,2,3,2,2,3,2,2,1,4,4,3,4,2,2,3,1,2,2,4,1,3,2,1,1,3,1,3,7,7,7,7,7,6,6,6,6,6,7,7,25,72,5129246
11/18/19 6:59,11/18/19 7:55,0,100,3375,1,11/18/19 7:55,R_2CdIXASJcbmXWWi,anonymous,EN,154,20,2,2,1,2,1,2,1,1,3,1,1,1,1,4,2,3,4,1,1,4,3,1,2,3,1,0,1,1,0,2,16,12,12,8,48,2,2,2,2,2,2,2,3,3,3,23,2,2,2,2,1,3,1,2,2,1,3,3,3,4,2,3,3,2,3,2,4,4,2,1,1,2,2,2,2,6,6,6,6,6,6,5,5,5,6,6,5,21,62,9276539
11/19/19 7:05,11/19/19 7:41,0,100,2194,1,11/19/19 7:41,R_3FPRU55uF4SPtq3,anonymous,EN,155,18,2,2,2,3,0,4,1,4,4,3,2,3,2,2,3,3,1,1,3,4,4,1,3,2,0,1,1,1,1,2,19,11,12,19,61,1,1,1,2,1,2,2,3,2,1,16,2,3,3,4,1,4,3,2,1,1,3,4,3,4,2,3,3,4,3,2,4,1,2,3,1,2,3,1,2,7,7,7,7,7,5,5,7,5,7,7,6,21,70,6519606
11/19/19 8:38,11/19/19 9:09,0,100,1824,1,11/19/19 9:09,R_Xv871RhGjlogsjT,anonymous,EN,156,20,2,2,2,3,1,4,4,2,4,3,3,4,3,4,2,3,3,4,3,3,2,3,4,4,4,1,3,4,3,4,23,26,21,17,87,2,2,3,2,3,2,3,3,4,4,28,2,1,1,3,1,1,2,2,3,2,4,1,3,3,2,3,2,3,2,2,4,2,3,2,2,2,2,2,4,3,5,6,6,2,5,6,6,6,2,6,6,23,56,4924719
11/21/19 7:11,11/21/19 7:40,0,100,1767,1,11/21/19 7:40,R_Qb9h6p29lEIDjZ7,anonymous,EN,157,18,2,2,4,2,0,3,3,1,4,1,2,4,1,4,4,4,1,0,4,4,3,3,1,1,2,0,1,2,0,4,19,19,9,16,63,1,2,2,2,2,2,3,3,3,2,22,2,1,1,3,1,2,3,1,1,2,4,3,4,3,3,4,4,4,4,1,1,2,2,4,1,3,1,2,3,4,5,4,4,3,1,1,5,7,7,7,7,16,51,2313485
11/21/19 8:32,11/21/19 9:05,0,100,1967,1,11/21/19 9:05,R_XGNtfSXbcbIlg7T,anonymous,EN,158,18,1,1,3,2,1,2,1,0,1,3,4,3,4,2,1,2,0,0,3,4,0,2,3,2,3,0,3,4,0,3,18,14,17,7,56,1,1,2,2,3,2,3,3,3,1,21,3,2,1,4,1,3,3,1,4,2,4,4,2,2,1,1,4,3,2,1,2,1,3,1,2,1,2,2,1,7,7,6,6,6,5,5,3,7,7,7,6,23,65,3445666
11/22/19 7:14,11/22/19 7:31,0,100,1043,1,11/22/19 7:31,R_cUz28hz2boSW38l,anonymous,EN,159,18,2,2,2,2,0,4,1,2,4,1,2,3,3,4,4,3,2,1,2,2,4,1,4,1,1,1,3,3,1,3,15,16,16,17,64,2,2,2,2,2,2,2,3,3,3,23,2,2,2,2,2,2,2,1,2,1,3,3,2,3,2,3,2,3,4,2,3,1,1,2,1,2,1,1,4,6,6,6,7,4,6,6,4,6,4,6,6,24,61,6354325
11/26/19 5:49,11/26/19 6:13,0,100,1450,1,11/26/19 6:13,R_Um8wtzm3VZW5A9b,anonymous,EN,160,19,1,1,4,4,1,4,3,4,3,3,4,0,3,2,2,3,0,3,0,3,0,3,3,1,3,0,1,4,3,3,22,22,14,9,67,1,2,2,2,2,2,2,3,3,3,22,1,2,1,3,2,2,2,1,1,2,2,3,2,3,1,2,2,4,2,2,2,4,3,2,2,4,2,1,1,7,7,7,7,7,7,7,7,6,6,7,5,25,73,6403402
11/26/19 7:19,11/26/19 7:42,0,100,1388,1,11/26/19 7:42,R_2qad7BAe2oNS3Q1,anonymous,EN,161,18,1,1,3,3,1,3,3,2,1,3,2,2,4,4,3,4,4,3,2,4,3,3,3,2,3,1,2,3,1,3,21,20,20,14,75,3,3,3,2,3,3,3,4,4,4,32,2,3,1,1,1,2,4,1,2,3,4,4,3,1,1,2,3,4,3,1,2,2,3,1,3,4,1,3,1,4,4,7,7,3,5,4,6,5,2,5,3,17,51,8825929
11/26/19 8:35,11/26/19 9:09,0,100,2053,1,11/26/19 9:09,R_3hFw2rjATkjMgqy,anonymous,EN,162,19,1,1,3,3,1,2,1,2,3,4,2,1,4,1,2,3,0,0,2,4,3,3,3,3,1,1,3,0,1,2,20,9,17,12,58,2,2,1,2,1,2,1,2,3,2,18,2,1,1,2,2,3,3,2,1,3,3,4,3,2,1,4,2,3,3,1,3,1,3,3,2,3,2,2,2,6,6,7,7,6,6,6,6,6,6,6,7,25,69,8252217
