col0,col1,col2,col3,col4
ci.id,63475835,1,63475835,63475835
ci.person_id,6226526,1,63475835,6220909
ci.movie_id,4730032,1,63475835,4238610
ci.person_role_id,4314864,1,29425052,4314865
ci.nr_order,1776839230,-2068070866,17480560,1667
ci.role_id,11,1,63475835,11
t.id,4736509,100000,4636509,4636509
t.kind_id,8,1,4636509,7
t.production_year,2115,1874,4346958,145
t.imdb_id,0,0,0,1
t.episode_of_id,4736509,1780,3051045,98534
t.season_nr,2015,1,2331587,153
t.episode_nr,91334,1,2328776,15144
mc.id,4958296,1,4958296,4958296
mc.movie_id,4698308,2,4958296,2197238
mc.company_id,362131,1,4958296,362131
mc.company_type_id,2,1,4958296,2
mi.id,29774984,1,29774984,29774984
mi.movie_id,4730500,1,29774984,4520418
mi.info_type_id,113,1,29774984,78
ml.id,2585150,1,2585150,2585150
ml.movie_id,4698069,2,2585150,326265
ml.linked_movie_id,4730462,2,2585150,326255
ml.link_type_id,17,1,2585150,16
mk.id,7480087,1,7480087,7480087
mk.movie_id,4730406,2,7480087,728008
mk.keyword_id,236627,1,7480087,236627
mi_idx.movie_id,4730500,1,22042380,4520418
mi_idx.info_type_id,113,1,22042380,78
