col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43
"http://opendatacommunities.org/id/geography/lsoa/E01025278,Preston","001A,,7.66,7.5,7.89,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025279,Preston","001B,,7.82,7.67,8.02,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025282,Preston","001C,,7.6,7.45,7.85,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025257,Preston","002A,,7.7,7.55,7.93,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025277,Preston","002B,,7.73,7.6,7.94,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025280,Preston","002C,,7.73,7.58,7.95,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025281,Preston","002D,,7.75,7.58,7.96,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025256,Preston","003A,,7.56,7.41,7.78,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025258,Preston","003B,,7.66,7.51,7.9,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025259,Preston","003C,,7.67,7.51,7.91,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://opendatacommunities.org/id/geography/lsoa/E01025299,Preston","003D,,7.62,7.46,7.87,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
