col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
,15643,,"Bergin, Sean M.","Ullah, Isaac I. T., 1979-",,,"Mayer, Gary R.",A Coupled ABM-GIS Model of Small-Scale Farming,,,Agricultural systems,,,,,Faculty scholarship,,
,8321,"Ullah, Isaac I. T., 1979-",,"Barton, C. Michael",,,,Alternative Futures of the Past,,,Land use,Human ecology,Neolithic period,Geographic information systems,Mediterranean Region,Faculty scholarship,,
,8327,"Sarjoughian, Hessam S.",,,,,,An Agent/Landscape Modeling Framework for Simulation of Human Landuse,,,Landscape assessment,,,,,Faculty scholarship,,
,8324,"Hill, J. Brett (James Brett), 1960-",,,"Miller, Alexandra E.","Wentz, Elizabeth",,Archaeoclimatology and Ancient Mediterranean Landscape Dynamics,,,Paleoclimatology,,,,,Faculty scholarship,,
,15638,,"Swantek, Laura Anne",,,,,Archaeology in the Classroom: Mediterranean Landscape Dynamics Educational Outreach,,,Land use,Human ecology,Neolithic period,,Mediterranean Region,Faculty scholarship,,
,15646,,"Miller, Alexandra E.","Barton, C. Michael",,,"Schmich, Steven",Climate Change and Socioecological Dynamics in Eastern Spain,,,Climatic changes,Paleoclimatology,,,Mediterranean Region,Faculty scholarship,,
,15648,,"Mayer, Gary R.","Sarjoughian, Hessam S.",,,,Complexities of Simulating a Hybrid Agent-Landscape Model using Multi-Formalism Composability,,,Land use,Human ecology,Neolithic period,Habitat (Ecology),Mediterranean Region,Faculty scholarship,,
,8328,"Sarjoughian, Hessam S.",,"Barton, C. Michael",,,,Composing Agent and Landscape Models: An Example from the Mediterranean,,,Land use,Human ecology,Neolithic period,Habitat (Ecology),Mediterranean Region,Faculty scholarship,,
,15563,,"Mayer, Gary R.",,,,,Composing Hybrid Discrete Event System and Cellular Automata Models,,,Land use,Human ecology,Neolithic period,Geographic information systems,Mediterranean Region,Faculty scholarship,,
,18487,"Barton, C. Michael",,,,,,Computational Modeling for Socioecological Systems Science,,,Social ecology,Human ecology,Geographic information systems,Habitat (Ecology),Mediterranean Region,Faculty scholarship,,
,15637,,"Bergin, Sean M.","Ullah, Isaac I. T., 1979-",,"Barton, C. Michael",,Coupled ABM-GIS Modeling of Agro-Pastoral Systems in Eastern Spain,,,"Pastoral systems, Prehistoric",Agricultural systems,,,Mediterranean Region,Faculty scholarship,,
,15640,"Barton, C. Michael",,"Ullah, Isaac I. T., 1979-",,,"Mayer, Gary R.",Coupled Models for Coupled Systems: Land-Use and Landscape Dynamics in the Mediterranean,,,Land use,Landscape assessment,,,Mediterranean Region,Faculty scholarship,,
,15639,"Barton, C. Michael",,,,,,"Coupling the Past, Present, and Future of Socio-Ecological Systems: the Mediterranean Landscape Dynamics Project",,,Social ecology,,,,,Faculty scholarship,,
,8331,"Barton, C. Michael",,,"Arrowsmith, J. Ramon",,,Data Management and Access,,,Database management,,,,,Faculty scholarship,,
,15649,,"Gundlach, Kevin","Sarjoughian, Hessam S.",,,,Domain-Specific Agent Modeling with SESM,,,Habitat (Ecology),Human ecology,Human settlements,,,Faculty scholarship,,
,8333,,"DiMaggio, E. N.",,"La Roca, N.",,"Arrowsmith, J. Ramon","Field Investigations of Landscape Development in southeast Spain for use in Modeling Holocene (8,000-1,500 yr) Agropastoral Landuse and Landscape Interactions",,,Landscape changes,,,,Mediterranean Region,Faculty scholarship,,
,15645,"Barton, C. Michael",,,,,,From Narratives to Algorithms: Extending Archaeological Explanation beyond Archaeology,,,Quantitative research,Archaeology,,,,Faculty scholarship,,
,8334,,"DiMaggio, E. N.",,"Arrowsmith, J. Ramon","Barton, C. Michael",,"Geomorphic Mapping and Paleoterrain Generation for use in Modeling Holocene (8, 000â€“1, 500 yr) Agropastoral Landuse and Landscape Interactions in Southeast Spain","In Title: 8, 000â€“1, 500 yr. strikes me as a potential typo",,"Pastoral systems, Prehistoric",Agricultural systems,,,Mediterranean Region,Faculty scholarship,,
,15567,,"Bergin, Sean M.","Ullah, Isaac I. T., 1979-",,"Barton, C. Michael",,Human-Environment Interactions in a Changing Environment: A Computational Model of Agropastoral Practices and Landscapes in Neolithic Spain,,,"Pastoral systems, Prehistoric",Agricultural systems,Social ecology,,,Faculty scholarship,,
