col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
us1_sb_300,us1_sb_300,US-1 SB | North of Rt. 60 off ramp,1,150,150,10,100,main,0,none,2,us1_sb,48000,51500,3450,3200,3500,3700,2650,2650,2750,2450,10150,8050,1,1
R21058,R21058,Rt 60 SB off ramp,1,150,130,100,150,ramp_off_left,1,none,1,us1_sb,15000,15000,700,700,800,900,1000,900,900,800,2200,2800,2,14
us1_sb_310,us1_sb_310,US-1 SB | North of Rt. 60 on ramp,3,150,150,100,250,main,0,none,3,us1_sb,33000,36500,2750,2500,2700,2800,1650,1750,1850,1650,7950,5250,3,2
R21059,R21059,Rt 60 SB on ramp,1,130,150,200,250,ramp_on_left,1,none,1,us1_sb,7000,8000,950,900,600,400,350,350,350,350,2450,1050,4,15
us1_sb_320,us1_sb_320,US-1 SB | North of Sargent St. on ramp,3,150,150,250,400,main,0,none,3,us1_sb,40000,44500,3700,3400,3300,3200,2000,2100,2200,2000,10400,6300,5,3
R21060,R21060,Sargent St. SB on ramp,1,150,130,400,350,ramp_on_left,1,none,1,us1_sb,3000,4000,400,400,300,200,150,150,150,150,1100,450,6,16
us1_sb_330,us1_sb_330,US-1 SB | North of Rt. 16 off ramp,2,150,150,400,500,main,0,none,3,us1_sb,43000,48500,4100,3800,3600,3400,2150,2250,2350,2150,11500,6750,7,4
R21061,R21061,Rt 16 SB off ramp,1,130,150,500,550,ramp_off_left,1,none,1,us1_sb,13500,14000,800,1000,1000,800,800,800,800,700,2800,2400,8,17
us1_sb_340,us1_sb_340,US-1 SB | North of Rt. 16 on ramp,3,150,150,500,650,main,0,none,3,us1_sb,29500,34500,3300,2800,2600,2600,1350,1450,1550,1450,8700,4350,9,5
R21062,R21062,Rt 16 SB on ramp,1,150,130,600,650,ramp_on_left,1,none,1,us1_sb,3000,4000,300,400,300,300,200,150,150,150,1000,500,10,18
us1_sb_350,us1_sb_350,US-1 SB | North of Garfield Ave. on ramp,3,150,150,650,800,main,0,none,3,us1_sb,32500,38500,3600,3200,2900,2900,1550,1600,1700,1600,9700,4850,11,6
R21063,R21063,Garfield Ave. on ramp,1,130,150,750,800,ramp_on_left,1,none,1,us1_sb,4000,4300,300,500,400,300,300,250,200,200,1200,750,12,19
us1_sb_360,us1_sb_360,US-1 SB | North of Carter St. off ramp,2,150,150,800,900,main,0,none,3,us1_sb,36500,42800,3900,3700,3300,3200,1850,1850,1900,1800,10900,5600,13,7
R21064,R21064,Carter St. off ramp,1,150,130,900,950,ramp_off_left,1,none,1,us1_sb,10000,11000,750,1000,1100,650,500,500,500,450,2850,1500,14,20
us1_sb_370,us1_sb_370,US-1 SB | North of Carter St. on ramp,3,150,150,900,1050,main,0,none,3,us1_sb,26500,31800,3150,2700,2200,2550,1350,1350,1400,1350,8050,4100,15,8
R21065,R21065,Carter St. on ramp,1,130,150,1000,1050,ramp_on_left,1,none,1,us1_sb,1000,2000,200,200,100,100,150,100,100,50,500,350,16,21
us1_sb_380,us1_sb_380,US-1 SB | North of Arlington St. on ramp,3,150,150,1050,1200,main,0,none,3,us1_sb,27500,33800,3350,2900,2300,2650,1500,1450,1500,1400,8550,4450,17,9
R21066,R21066,Arlington St. on ramp,1,150,130,1150,1200,ramp_on_left,1,none,1,us1_sb,1000,1500,150,100,50,50,150,150,100,100,300,400,18,22
us1_sb_390,us1_sb_390,US-1 SB | North of Everett Ave. on ramp,3,150,150,1200,1350,main,0,none,3,us1_sb,28500,35300,3500,3000,2350,2700,1650,1600,1600,1500,8850,4850,19,10
R21067,R21067,Everett Ave. on ramp,1,130,150,1300,1350,ramp_on_left,1,none,1,us1_sb,4000,5000,500,600,550,300,250,200,200,200,1650,650,20,23
us1_sb_400,us1_sb_400,US-1 SB | North of Charlestown off ramp (Tobin Bridge),2,150,150,1350,1450,main,0,none,3,us1_sb,32500,40300,4000,3600,2900,3000,1900,1800,1800,1700,10500,5500,21,11
R12192,R12192,Charlestown off ramp,1,150,130,1450,1500,ramp_off_left,1,none,1,us1_sb,7500,11800,1100,1200,600,800,550,450,550,400,2900,1550,22,24
us1_sb_410,us1_sb_410,US-1 SB | North of City Square on ramp,3,150,150,1450,1600,main,0,none,2,us1_sb,25000,28500,2900,2400,2300,2200,1350,1350,1250,1300,7600,3950,23,12
R12194,R12194,City Square on ramp,1,130,150,1550,1600,ramp_on_left,1,none,1,us1_sb,16000,14900,400,900,1100,1100,950,650,550,650,2400,2150,24,25
R_us1_sb_i93_sb,r_us1_sb_i93_sb,US-1/I-93 South of City Square on ramp,2,150,150,1600,1700,main,0,none,2,us1_sb,41000,43400,3300,3300,3400,3300,2300,2000,1800,1950,10000,6100,25,13
