col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41
20200604,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,
20200611,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,4,,4,,4,,,,,,,,,,,,,,,,,,,,,,,
20200617,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,
20200625,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,6,,6,,6,,,,,,,,,,,,,,,,,,,,,,,
20200702,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,7,,7,,7,,,,,,,,,,,,,,,,,,,,,,,
20200709,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,8,,8,,8,,,,,,,,,,,,,,,,,,,,,,,
20200716,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,9,,9,,9,,,,,,,,,,,,,,,,,,,,,,,
20200730,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,11,,11,,11,,,,,,,,,,,,,,,,,,,,,,,
20200806,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,12,,12,,12,,,,,,,,,,,,,,,,,,,,,,,
20200813,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,13,,13,,13,,,,,,,,,,,,,,,,,,,,,,,
20200820,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,14,,14,,14,,,,,,,,,,,,,,,,,,,,,,,
20200827,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,15,,15,,15,,,,,,,,,,,,,,,,,,,,,,,
20200903,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,16,,16,,16,,,,,,,,,,,,,,,,,,,,,,,
20200910,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,17,,17,,17,,,,,,,,,,,,,,,,,,,,,,,
20200917,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,18,,18,,18,,,,,,,,,,,,,,,,,,,,,,,
20200924,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,19,,19,,19,,,,,,,,,,,,,,,,,,,,,,,
20201001,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,20,,20,,20,,,,,,,,,,,,,,,,,,,,,,,
20201001,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,200,,200,,200,,,,,,,,,,,,,,,,,,,,,,,
20201015,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,22,,22,,22,,,,,,,,,,,,,,,,,,,,,,,
20201022,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,23,,23,,23,,,,,,,,,,,,,,,,,,,,,,,
20201029,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,24,,24,,24,,,,,,,,,,,,,,,,,,,,,,,
20201105,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,25,,25,,25,,,,,,,,,,,,,,,,,,,,,,,
20201112,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,26,,26,,26,,,,,,,,,,,,,,,,,,,,,,,
20201119,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,27,,27,,27,,,,,,,,,,,,,,,,,,,,,,,
20201126,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,28,,28,,28,,,,,,,,,,,,,,,,,,,,,,,
20201203,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,29,,29,,29,,,,,,,,,,,,,,,,,,,,,,,
20201210,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,30,,30,,30,,,,,,,,,,,,,,,,,,,,,,,
20201217,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,31,,31,,31,,,,,,,,,,,,,,,,,,,,,,,
20201224,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,32,,32,,32,,,,,,,,,,,,,,,,,,,,,,,
20201231,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,33,,33,,33,,,,,,,,,,,,,,,,,,,,,,,
20210107,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,34,,34,,34,,,,,,,,,,,,,,,,,,,,,,,
20210114,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,35,,35,,35,,,,,,,,,,,,,,,,,,,,,,,
20210121,COOL-STATE,,,nursing-home-1,Nursing Home,Nursing Home,Federal,, ,,,Open,,36,,36,,36,,,,,,,,,,,,,,,,,,,,,,,
