col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33
,Cn,Barometric Pressure,5/20/2019 8:30:08,,0.261,m,VERTICAL_PROFILE,760.4,mmHg,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,DO (Concentration),5/20/2019 8:30:08,,0.261,m,VERTICAL_PROFILE,4.07,mg/l,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,DO (Saturation),5/20/2019 8:30:08,,0.261,m,VERTICAL_PROFILE,51.6,%,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,pH,5/20/2019 8:30:08,,0.261,m,VERTICAL_PROFILE,7.25,s.u.,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,Specific Conductivity,5/20/2019 8:30:08,,0.261,m,VERTICAL_PROFILE,124.0,uS/cm,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,Water Temperature_C,5/20/2019 8:30:08,,0.261,m,VERTICAL_PROFILE,27.57,degC,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,Barometric Pressure,5/20/2019 8:31:07,,0.497,m,VERTICAL_PROFILE,760.5,mmHg,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,DO (Concentration),5/20/2019 8:31:07,,0.497,m,VERTICAL_PROFILE,3.97,mg/l,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,DO (Saturation),5/20/2019 8:31:07,,0.497,m,VERTICAL_PROFILE,50.3,%,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,pH,5/20/2019 8:31:07,,0.497,m,VERTICAL_PROFILE,7.03,s.u.,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,Specific Conductivity,5/20/2019 8:31:07,,0.497,m,VERTICAL_PROFILE,124.0,uS/cm,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,Water Temperature_C,5/20/2019 8:31:07,,0.497,m,VERTICAL_PROFILE,27.54,degC,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
,Cn,Barometric Pressure,5/20/2019 8:32:02,,1.0,m,VERTICAL_PROFILE,760.4,mmHg,Preliminary,OK,WATER,Cn20190520,GRAB,,My_DeviceType,,,,,,,,,,,,,,,,,
