col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
25,23,0.0,13,2,1,5,2,1,4,4,2,3,3,1,3,4,2,2,2,2,6,4,4,4,2,3,4,15|5|20|12|13|2|9|3|8|19|14|16|4|17|7|1|11|10|6|18|21,3,2,5,2,1,Disgustsensitivity|Knowledge
21,23,0.0,32,2,2,5,1,2,6,2,2,6,1,3,4,3,5,2,4,1,4,2,4,6,2,4,4,1|12|20|14|10|2|5|21|13|3|15|16|7|4|8|9|11|18|6|19|17,5,2,2,2,1,Disgustsensitivity|Knowledge
15,23,0.0,22,2,2,5,5,5,5,6,3,1,4,5,3,6,1,5,5,4,4,5,6,6,4,2,1,20|3|17|9|8|2|18|16|14|6|10|1|11|7|12|15|5|19|4|21|13,3,2,4,2,2,Knowledge|Disgustsensitivity
33,23,0.28,5,2,1,5,3,2,4,4,1,3,2,2,2,5,2,4,2,2,4,2,3,1,2,1,2,4|11|18|2|1|8|19|20|5|13|9|3|15|14|16|12|6|21|7|17|10,3,2,5,3,4,Disgustsensitivity|Knowledge
30,23,0.0,36,1,2,5,6,4,5,6,4,5,4,4,4,6,4,5,5,3,5,4,5,4,5,5,5,12|19|9|3|13|8|4|5|1|10|14|2|15|17|16|18|7|21|6|20|11,3,2,5,2,2,Knowledge|Disgustsensitivity
28,23,0.0,24,1,2,4,6,4,4,6,1,2,5,1,3,6,3,4,6,3,3,4,2,4,6,5,4,11|2|20|8|12|6|13|4|10|17|9|5|16|15|14|18|1|19|7|21|3,4,2,5,2,2,Knowledge|Disgustsensitivity
27,23,0.0,50,2,2,4,3,2,5,5,2,3,3,1,4,6,3,1,5,2,4,3,3,2,5,1,2,20|1|13|3|7|15|10|9|4|14|11|6|16|19|8|21|18|2|17|5|12,3,2,1,2,2,Knowledge|Disgustsensitivity
26,23,0.0,22,2,2,5,1,1,4,1,2,2,1,1,2,1,3,2,1,2,4,1,3,2,1,2,4,21|14|4|7|9|18|10|12|8|3|16|19|13|2|11|20|15|1|5|17|6,4,2,5,2,2,Disgustsensitivity|Knowledge
23,23,0.0,55,2,2,5,3,4,5,5,3,3,5,3,3,6,4,2,6,6,4,3,6,2,4,5,3,9|12|11|1|3|8|4|10|17|14|21|15|2|19|5|18|6|20|16|13|7,4,2,5,2,2,Disgustsensitivity|Knowledge
22,23,0.0,45,2,2,5,4,4,5,6,6,4,5,5,4,6,3,5,6,5,5,6,5,6,4,6,3,2|16|21|4|9|8|1|19|10|20|7|11|6|3|15|12|13|18|14|5|17,3,2,5,2,2,Disgustsensitivity|Knowledge
