col0,col1,col2,col3,col4,col5,col6
1,Knee Length Lace Insert Denim Shorts - Light Blue,fashionable-crochet-flower-splicing-denim-light-blue,1204-0010,2,4,10_1.jpg|10_2.jpg|10_3.jpg
2,Destroyed Cropped Jeans - Blue,destroyed-cropped-jeans-blue,1202-0001,2,2,1_1.jpg|1_2.jpg|1_3.jpg|1_4.jpg
3,Distressed Skinny Jeans - White,distressed-skinny-jeans-white,1205-0002,2,5,2_1.jpg|2_2.jpg
4,Lace Insert Staright Jeans - Blue,lace-insert-staright-jeans-blue,1205-0003,2,5,3_1.jpg
5,Ripped Raw Hem Side Stripe Jeans - Denim Blue,ripped-raw-hem-side-stripe-jeans-denim-blue,12008-0004,2,8,4_1.jpg|4_2.jpg|4_3.jpg
6,Skinny Frayed Ripped Jeans - Blue,skinny-frayed-ripped-jeans-blue,1210-0007,2,10,7_1.jpg
7,Two Tone Color Ripped Jeans - Blue,two-tone-color-ripped-jeans-blue,1202-0008,2,2,8_1.jpg|8_2.jpg|8_3.jpg
8,Distressed High Rise Colored Skinny Jeans - Red,distressed-high-rise-colored-skinny-red,1204-0009,2,4,9_1.jpg|9_2.jpg
9,Skinny High Waist Jeans - Black,skinny-high-waist-jeans-black,1205-0005,2,5,5_1.jpg
10,Floral Embroidered Skinny High Waisted Jeans - Blue,floral-embroidered-skinny-high-waisted-blue,1210-0006,2,10,6_1.jpg|6_2.jpg|6_3.jpg
11,Off The Shoulder Crochet Trimmed Rib Top - Black,off-the-shoulder-crochet-trimmed-rib-top-black,1305-0011,3,5,11_1.jpg
12,Cold Shoulder Floral Cut Out T-shirt - Cadetblue,cold-shoulder-floral-cut-out-cadetblue,1307-0012,3,7,12_1.jpg
13,Sequins Cold Shoulder Long Sleeve T-shirt - Red,sequins-cold-shoulder-long-sleeve-t-shirt-red,1301-0013,3,1,13_1.jpg|13_2.jpg|13_3.jpg
14,V Neck Cold Shoulder Tee - Black,v-neck-cold-shoulder-tee-black,1307-0014,3,7,14_1.jpg|14_2.jpg|14_3.jpg|14_4.jpg
15,Criss Cross Floral Long Sleeve Top - Black,criss-cross-floral-long-sleeve-top-black,1313-0015,3,13,15_1.jpg|15_2.jpg|15_3.jpg|15_4.jpg
16,Butterfly Raglan Sleeve Lace Trim T-shirt - Blue,butterfly-raglan-sleeve-lace-trim-blue,1307-0016,3,7,16_1.jpg|16_2.jpg|16_3.jpg|16_4.jpg
17,Chest Pocket Long Sleeve Casual Shirt - Cappuccino,chest-pocket-long-sleeve-casual-shirt-cappuccino,1607-0017,6,7,17_1.jpg
18,Plus Size Slimming Long Sleeve Shirt - White,plus-size-slimming-long-sleeve-white,1604-0018,6,4,18_1.jpg|18_2.jpg
19,Chest Pocket Long Sleeve Casual Shirt - Khaki,chest-pocket-long-sleeve-casual-shirt-khaki,1604-0019,6,4,19_1.jpg
20,Long Sleeve Color Block Edging Shirt - Black,long-sleeve-color-block-edging-black,1611-0020,6,11,20_1.jpg
21,Long Sleeve Color Block Edging Shirt - Gray,long-sleeve-color-block-edging-gray,1611-0021,6,11,21_1.jpg
