col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63
MoonBeam,Moon Beam,"Burst, bonus vs Chest",Burst,Basic,1,Torso,0,0.0,0.12,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragmentize,Fragmentize,"Burst, bonus vs Armor",Burst,Basic,2,Armor,0,0.0,0.12,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkullBash,Skull Bash,"Burst, bonus vs Head",Burst,Basic,1,Head,0,0.0,0.12,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RazorWind,Razor Wind,"Burst, bonus vs Body",Burst,Basic,1,Body,0,0.0,0.12,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhipOfLightning,Whip Of Lightning,"Burst, more chance based on Affliction part count",Burst,Basic,2,-,0,0.0,0.02,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BurstCount,Clanship Barrage,"Burst, dmg increases with Burst Count",Burst,Basic,1,-,0,0.0,0.1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purify,Purifying Blast,"Burst, consumes all affliction stacks on part and burst damage is increased for each consumed affliction",Burst,Basic,2,-,0,0.0,0.05,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LimbBurst,Steel Bite,"Burst, bonus vs Limbs",Burst,Basic,1,Limbs,0,0.0,0.12,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BurningAttack,Blazing Inferno,Chance to apply burning affliction,Affliction,Basic,1,-,3,6.0,0.05,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoisonAttack,Acid Drench,Chance to apply acid affliction,Affliction,Basic,1,-,15,1.5,0.25,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecayingAttack,Decaying Strike,Chance to apply decay affliction,Affliction,Basic,2,-,3,6.0,0.1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuse,Fusion Bomb,Chance to apply fuse affliction,Affliction,Basic,2,-,1,3.0,0.08,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow,Grim Shadow,Damage bonus at max stacks,Affliction,Basic,2,-,7,8.0,0.07,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlagueAttack,Thriving Plague,Damage increases as debuff is spread,Affliction,Basic,1,-,5,3.5,0.08,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disease,Radioactivity,Damage increases over time,Affliction,Basic,1,-,5,5.0,0.12,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AfflictionMark,Ravenous Swarm,Marked parts receive bonus damage from all sources.,Affliction,Basic,2,-,1,5.0,0.1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExecutionersAxe,Crushing Instinct,Head dmg bonus.,Support,Basic,1,Head,3,4.0,0.08,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MentalFocus,Rancid Gas,Affliction dmg and chance bonus,Support,Basic,2,-,3,6.0,0.06,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImpactAttack,Inspiring Force,Dmg bonus to body part types,Support,Basic,1,Body,3,4.0,0.08,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InnerTruth,Soul Fire,Chest dmg bonus.,Support,Basic,1,Torso,3,4.0,0.08,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinisherAttack,Victory March,Dmg per exposed skeleton part,Support,Basic,1,-,1,2.0,0.08,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperheatMetal,Prismatic Rift,Armor dmg bonus.,Support,Basic,2,Armor,3,4.0,0.08,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BurstBoost,Ancestral Favor,Burst dmg and chance bonus,Support,Basic,2,-,3,6.0,0.06,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LimbSupport,Grasping Vines,Dmg bonus to limbs,Support,Basic,1,Limbs,3,4.0,0.08,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
