col0,col1,col2,col3,col4,col5
1,1,Taproot,kr,0.0,0.000181
2,1,Taproot,kr,9.0,0.000181
3,1,Taproot,kr,20.0,1.73e-05
4,1,Taproot,kr,50.0,1.73e-05
5,1,Taproot,kx,0.0,0.0295
6,1,Taproot,kx,9.0,0.0295
7,1,Taproot,kx,20.0,4.32
8,1,Taproot,kx,50.0,4.32
9,2,Lateral,kr,0.0,0.000181
10,2,Lateral,kr,13.0,0.000181
11,2,Lateral,kr,13.1,1.73e-05
12,2,Lateral,kr,50.0,1.73e-05
13,2,Lateral,kx,0.0,8.64e-05
14,2,Lateral,kx,9.0,8.64e-05
15,2,Lateral,kx,20.0,0.00173
16,2,Lateral,kx,50.0,0.00173
17,3,LongLateral,kr,0.0,0.000181
18,3,LongLateral,kr,13.0,0.000181
19,3,LongLateral,kr,13.1,1.73e-05
20,3,LongLateral,kr,50.0,1.73e-05
21,3,LongLateral,kx,0.0,8.64e-05
22,3,LongLateral,kx,9.0,8.64e-05
23,3,LongLateral,kx,20.0,0.00173
24,3,LongLateral,kx,50.0,0.00173
25,4,Basalroot,kr,0.0,0.000181
26,4,Basalroot,kr,9.0,0.000181
27,4,Basalroot,kr,20.0,1.73e-05
28,4,Basalroot,kr,50.0,1.73e-05
29,4,Basalroot,kx,0.0,0.0295
30,4,Basalroot,kx,9.0,0.0295
31,4,Basalroot,kx,20.0,4.32
32,4,Basalroot,kx,50.0,4.32
33,5,Shootborneroot,kr,0.0,0.000181
34,5,Shootborneroot,kr,9.0,0.000181
35,5,Shootborneroot,kr,20.0,1.73e-05
36,5,Shootborneroot,kr,50.0,1.73e-05
37,5,Shootborneroot,kx,0.0,0.0295
38,5,Shootborneroot,kx,9.0,0.0295
39,5,Shootborneroot,kx,20.0,4.32
40,5,Shootborneroot,kx,50.0,4.32
