col0,col1,col2,col3,col4,col5,col6,col7
Southern Severe Storms and Flooding (April 1980),Flooding,19800410,19800417,2339.4,7,"AR, LA, MS",Yes
Hurricane Allen (August 1980),Tropical Cyclone,19800807,19800811,1953.0,13,TX,Yes
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,19821201,19830115,4193.5,45,"TX, AR, LA, MS, AL, GA, FL",Yes
Western Storms & Flooding (December 1982-March 1983),Flooding,19821213,19830331,4094.0,50,"WA, OR, CA, AZ, NV, ID, UT, MT",Yes
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,7890.0,21,TX,No
Hurricane Elena (September 1985),Tropical Cyclone,19850830,19850903,3165.6,4,"MS, FL, LA, AL",No
Hurricane Gloria (September 1985),Tropical Cyclone,19850926,19850928,2089.1,11,,No
Hurricane Juan (October 1985),Tropical Cyclone,19851027,19851031,3651.9,63,"LA, MS, AL, FL",No
Hurricane Hugo (September 1989),Tropical Cyclone,19890921,19890922,19079.7,86,"SC, NC",No
Southern Flooding (May 1990),Flooding,19900511,19900519,2034.0,13,"TX, OK, LA, AR",Yes
Hurricane Bob (August 1991),Tropical Cyclone,19910818,19910820,2870.5,18,"NC, SC, NY, CT, MA, RI, NH, ME",No
Hurricane Andrew (August 1992),Tropical Cyclone,19920823,19920827,50220.0,61,"FL, LA",No
Hurricane Iniki (September 1992),Tropical Cyclone,19920911,19920912,5766.0,7,HI,No
Midwest Flooding (Summer 1993),Flooding,19930627,19930815,37729.7,48,"IL, IA, KS, MN, MS, NE, ND, SD, WI",Yes
Tropical Storm Alberto (July 1994),Tropical Cyclone,19940707,19940710,1757.4,32,"GA, AL, FL",Yes
Texas Flooding (October 1994),Flooding,19941016,19941025,1760.0,19,TX,Yes
California Flooding (January-March 1995),Flooding,19950101,19950331,4275.0,27,CA,Yes
Hurricane Erin (August 1995),Tropical Cyclone,19950801,19950807,1453.5,6,"FL, AL, MS",No
Hurricane Marilyn (September 1995),Tropical Cyclone,19950915,19950917,3591.0,13,,No
Hurricane Opal (October 1995),Tropical Cyclone,19951004,19951006,8018.2,27,"FL, AL, GA, TN, NC, SC",Yes
Pacific Northwest Severe Flooding (February 1996),Flooding,19960207,19960212,1683.8,9,"OR, WA, ID, MT",Yes
Hurricane Fran (September 1996),Tropical Cyclone,19960905,19960908,8361.7,37,"NC, VA",Yes
West Coast Flooding (December 1996-January 1997),Flooding,19970101,19970111,4887.5,36,"CA, WA, OR, ID, NV, MT",Yes
Northern Plains Flooding (Spring 1997),Flooding,19970203,19970524,5956.0,11,"ND, SD, MN",Yes
Tropical Storm Frances (September 1998),Tropical Cyclone,19980808,19980813,1113.0,2,"TX, LA",Yes
Hurricane Bonnie (August 1998),Tropical Cyclone,19980827,19980829,1558.2,3,"NC, VA",No
Hurricane Georges (September 1998),Tropical Cyclone,19980920,19980929,9515.3,16,"FL, LA, MS, AL",Maybe
Texas Flooding (October 1998),Flooding,19981016,19981024,1497.9,31,TX,Yes
Hurricane Floyd (September 1999),Tropical Cyclone,19990914,19990916,10190.8,77,"NC, SC, VA, MD, PA, NY, NJ, DE, RI, CT, MA, NH, VT",Yes
South Florida Flooding (October 2000),Flooding,20001003,20001004,1368.0,3,FL,Yes
Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,20010617,12527.4,43,"TX, LA, MS, FL, VA, PA",Maybe
Hurricane Lili (October 2002),Tropical Cyclone,20020801,20020805,1601.6,2,,No
Hurricane Isabel (September 2003),Tropical Cyclone,20030918,20030919,7787.3,55,"NC, VA, MD, DE, WV, NJ, NY, PA",Maybe
Hurricane Charley (August 2004),Tropical Cyclone,20040813,20040814,22239.3,35,"FL, SC, NC",No
Hurricane Frances (September 2004),Tropical Cyclone,20040903,20040909,13622.1,48,"FL, GA, SC, NC, NY",Yes
Hurricane Ivan (September 2004),Tropical Cyclone,20040912,20040921,28495.7,57,"AL, FL, GA, MS, LA, SC, NC, VA, WV, MD, TN, KY, OH, DE, NJ, PA, NY",Yes
Hurricane Jeanne (September 2004),Tropical Cyclone,20040915,20040929,10420.1,28,"FL, GA, SC, NC, VA, MD, DE, NJ, PA, NY",Yes
Hurricane Dennis (July 2005),Tropical Cyclone,20050709,20050711,3368.3,15,"FL, AL, GA, MS",Maybe
Hurricane Katrina (August 2005),Tropical Cyclone,20050825,20050830,168762.2,1833,"FL, LA, MS, FL, TN, KY, IN, OH, GA",No
Hurricane Rita (September 2005),Tropical Cyclone,20050920,20050924,24975.1,119,"FL, AL, MS, LA, AR, TX",No
Hurricane Wilma (October 2005),Tropical Cyclone,20051024,20051024,25650.0,35,FL,No
Northeast Flooding (June 2006),Flooding,20060625,20060628,1978.0,20,"NY, PA, DE, MD, NJ, VA",Yes
Midwest Flooding (Summer 2008),Flooding,20080401,20080630,12149.3,24,"IA, IL, IN, MO, MN, NE, WI",Yes
Hurricane Dolly (July 2008),Tropical Cyclone,20080723,20080725,1546.1,3,"TX, NM",Maybe
Hurricane Gustav (September 2008),Tropical Cyclone,20080831,20080903,7316.3,53,"LA, AL, AR, MS",Maybe
Hurricane Ike (September 2008),Tropical Cyclone,20080912,20080914,36598.4,112,"TX, LA, AR, TN, IL, IN, KY, MO, OH, MI, PA",Maybe
Northeast Flooding (March 2010),Flooding,20100301,20100331,2194.6,11,"RI, CT, MA, NJ, NY, PA",Yes
East/South Flooding and Severe Weather (May 2010),Flooding,20100430,20100502,2696.8,32,"TN, AR, AL, KY, MS, GA",Yes
Mississippi River flooding (April-May 2011),Flooding,20110401,20110531,3493.6,7,"AR, TN, MS, LA",Yes
Missouri River flooding (May-June 2011),Flooding,20110501,20110630,2342.6,5,"MT, ND, SD, NE, IA, KS, MO",Yes
Hurricane Irene (August 2011),Tropical Cyclone,20110826,20110828,15787.9,45,"NC, VA, MD, NJ, NY, CT, RI, MA, VT",Yes
Tropical Storm Lee (September 2011),Tropical Cyclone,20110901,20110905,2939.6,21,"LA, MS, AL, GA, TN, PA, NY, NJ, CT, VA, MD",Yes
Hurricane Isaac (August 2012),Tropical Cyclone,20120826,20120831,3122.8,9,"LA, MS, AL, FL",Yes
Hurricane Sandy (October 2012),Tropical Cyclone,20121030,20121031,73494.6,159,"MD, DE, NJ, NY, CT, MA, RI, NC, VA, WV, OH, PA, NH",Yes
Illinois Flooding and Severe Weather (April 2013),Flooding,20130416,20130419,1206.2,4,"IL, IN, MS",Yes
Colorado Flooding (September 2013),Flooding,20130910,20130916,1689.5,9,CO,Yes
Michigan and Northeast Flooding (August 2014),Flooding,20140811,20140813,1134.9,2,"MI, MD, NY",Yes
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,20150523,20150526,2750.7,31,"TX, KS, CO, AR, OH, LA, GA, SC",Yes
South Carolina and East Coast Flooding (October 2015),Flooding,20151001,20151005,2198.0,25,SC,Yes
Texas and Louisiana Flooding (March 2016),Flooding,20160308,20160312,2501.3,5,"TX, LA",Yes
Houston Flooding (April 2016),Flooding,20160417,20160418,2916.8,8,TX,Yes
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,20160622,20160624,1056.0,23,WV,Yes
Louisiana Flooding (August 2016),Flooding,20160812,20160815,10900.0,13,LA,Yes
Hurricane Matthew (October 2016),Tropical Cyclone,20161008,20161012,10900.0,49,"NC, SC, GA, FL, VA",Yes
California Flooding (February 2017),Flooding,20170208,20170222,1590.0,5,CA,Yes
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,20170425,20170507,1758.5,20,"MO, AR, IL",Yes
Hurricane Harvey (August 2017),Tropical Cyclone,20170825,20170831,130000.0,89,TX,Yes
Hurricane Irma (September 2017),Tropical Cyclone,20170906,20170912,52000.0,97,"FL, SC",Maybe
Hurricane Maria (September 2017),Tropical Cyclone,20170919,20170921,93600.0,2981,,No
Hurricane Florence (September 2018),Tropical Cyclone,20180913,20180916,24480.0,53,"NC, SC",No
Hurricane Michael (October 2018),Tropical Cyclone,20181010,20181011,25474.5,49,FL,No
