col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51
4021,100,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,,,,8712,,2630210,BGBM,US,,6,34.27,-118.0,2013-4-4,7,2630528,1955-7-1,,604,,,100,,,2630528.0,,1955,Florida,,,North America,Kupke,c1,,,TYPE,"[ { ""type"" : ""StillImage"", ""format"" : ""image/jpeg"", ""identifier"" : ""http://digit.snm.ku.dk/www/Aves/full/AVES-071629_Cursorius_temminckii_ad____f.jpg"", ""references"" : null, ""title"" : null, ""description"" : ""Habitus-Dorsal-Lateral-Ventral"", ""source"" : null, ""audience"" : null, ""created"" : null, ""creator"" : null, ""contributor"" : null, ""publisher"" : null, ""license"" : null, ""rightsHolder"" : null } ]",MANAGED,"[""COUNTRY_INVALID""]",1,Gulf,BIOCASE,CC0_1_0,1,
4022,100,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,,,,8712,,2630210,BGBM,US,,6,33.74,-118.0,2013-4-4,7,2630632,1955-7-2,,604,,,100,,,2630632.0,,1955,Florida,,,North America,Kupke,c1,,,TYPE,,MANAGED,[],1,Gulf,BIOCASE,CC0_1_0,1,
4023,150,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,,,,8712,,2630210,BGBM,US,,6,47.23,-93.5,2013-4-4,7,2630632,1955-7-3,,604,,,100,,,2630632.0,,1955,Florida,,,North America,Kupke,c1,,,TYPE,"[ { ""type"" : ""MovingImage"", ""format"" : ""video/avi"", ""identifier"" : ""http://digit.snm.ku.dk/www/Aves/full/AVES-071629_Cursorius_temminckii_ad____f.avi"", ""references"" : null, ""title"" : null, ""description"" : ""Habitus-Dorsal-Lateral-Ventral"", ""source"" : null, ""audience"" : null, ""created"" : null, ""creator"" : null, ""contributor"" : null, ""publisher"" : null, ""license"" : null, ""rightsHolder"" : null } ]",MANAGED,[],1,Gulf,BIOCASE,CC0_1_0,1,
4024,200,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,,,,8712,,2630210,BGBM,US,,6,38.06,-110.81,2013-4-4,7,2630520,1955-7-4,,604,,,100,,,2630520.0,,1955,Florida,,,North America,Kupke,c1,,,TYPE,,MANAGED,[],1,Gulf,BIOCASE,CC0_1_0,1,
4025,800,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,,,,8712,,2630210,BGBM,US,,6,-33.7,151.1,2013-4-4,7,2630210,1955-7-5,,604,,,100,,,,,1955,Florida,,,North America,Kupke,c1,,,TYPE,,MANAGED,[],1,Gulf,BIOCASE,CC0_1_0,1,
4026,900,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,,,,8712,,2630210,BGBM,US,,6,-37.82,145.12,2013-4-4,7,2630210,1955-7-6,,604,,,100,,,,,1955,Florida,,,North America,Kupke,c1,,,TYPE,,MANAGED,[],1,Gulf,BIOCASE,CC0_1_0,1,
4027,122,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,,,,8712,,2630210,BGBM,US,,6,-37.7,144.4,2013-4-4,7,2630656,1955-7-7,,604,,,100,,,2630656.0,,1955,Florida,,,North America,Kupke,c1,,,TYPE,,MANAGED,[],1,Gulf,BIOCASE,CC0_1_0,1,
4028,2321,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,,,,8712,,2630210,BGBM,US,,6,-26.6,153.1,2013-4-4,7,2630210,1955-7-8,,604,,,100,,,,,1955,Florida,,,North America,Kupke,c1,,,TYPE,,MANAGED,[],1,Gulf,BIOCASE,CC0_1_0,1,
4029,656,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,5.0,,,8712,,2630210,BGBM,US,,6,-27.5,153.0,2013-4-4,7,2630210,1955-7-9,,604,,,100,,,,,1955,Florida,,,North America,Kupke,c1,,,TYPE,,MANAGED,[],1,Gulf,BIOCASE,CC0_1_0,1,
4030,88,PRESERVED_SPECIMEN,1198,7071443,,Algaterra Types,85685a84-f762-11e1-a439-00145eb45e9a,,,,8712,,2630210,BGBM,US,,6,-35.0,150.08,2013-4-4,7,2630439,1955-7-10,,604,,,100,,,2630439.0,,1955,Florida,,,North America,Kupke,c1,,,TYPE,,MANAGED,[],1,Gulf,BIOCASE,CC0_1_0,1,
