col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54
8,7,,ALEsKOs01,140401_0_OxicEvo04tpiAEcoliGlcM9_Broth-1,OxicEvo04tpiAEcoliGlc_Broth-1,OxicEvo04tpiAEcoliGlc,140401,4/1/2014 0:00,0,OxicEvo04tpiAEcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140807_11_OxicEvo04tpiAEvo01EPEcoliGlcM9_Broth-1,OxicEvo04tpiAEvo01EPEcoliGlc_Broth-1,OxicEvo04tpiAEvo01EPEcoliGlc,140807,8/7/2014 0:00,11,OxicEvo04tpiAEvo01EPEcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo01_Endpoint,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140807_11_OxicEvo04tpiAEvo02EPEcoliGlcM9_Broth-1,OxicEvo04tpiAEvo02EPEcoliGlc_Broth-1,OxicEvo04tpiAEvo02EPEcoliGlc,140807,8/7/2014 0:00,11,OxicEvo04tpiAEvo02EPEcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo02_Endpoint,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140807_11_OxicEvo04tpiAEvo03EPEcoliGlcM9_Broth-1,OxicEvo04tpiAEvo03EPEcoliGlc_Broth-1,OxicEvo04tpiAEvo03EPEcoliGlc,140807,8/7/2014 0:00,11,OxicEvo04tpiAEvo03EPEcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo03_Endpoint,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140807_11_OxicEvo04tpiAEvo04EPEcoliGlcM9_Broth-1,OxicEvo04tpiAEvo04EPEcoliGlc_Broth-1,OxicEvo04tpiAEvo04EPEcoliGlc,140807,8/7/2014 0:00,11,OxicEvo04tpiAEvo04EPEcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo04_Endpoint,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140702_1_OxicEvo04tpiAEvo01J01EcoliGlcM9_Broth-1,OxicEvo04tpiAEvo01J01EcoliGlc_Broth-1,OxicEvo04tpiAEvo01J01EcoliGlc,140702,7/2/2014 0:00,1,OxicEvo04tpiAEvo01J01EcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo01_Inter01,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140702_1_OxicEvo04tpiAEvo02J01EcoliGlcM9_Broth-1,OxicEvo04tpiAEvo02J01EcoliGlc_Broth-1,OxicEvo04tpiAEvo02J01EcoliGlc,140702,7/2/2014 0:00,1,OxicEvo04tpiAEvo02J01EcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo02_Inter01,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140702_1_OxicEvo04tpiAEvo03J01EcoliGlcM9_Broth-1,OxicEvo04tpiAEvo03J01EcoliGlc_Broth-1,OxicEvo04tpiAEvo03J01EcoliGlc,140702,7/2/2014 0:00,1,OxicEvo04tpiAEvo03J01EcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo03_Inter01,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140702_1_OxicEvo04tpiAEvo04J01EcoliGlcM9_Broth-1,OxicEvo04tpiAEvo04J01EcoliGlc_Broth-1,OxicEvo04tpiAEvo04J01EcoliGlc,140702,7/2/2014 0:00,1,OxicEvo04tpiAEvo04J01EcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo04_Inter01,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140702_3_OxicEvo04tpiAEvo01J03EcoliGlcM9_Broth-1,OxicEvo04tpiAEvo01J03EcoliGlc_Broth-1,OxicEvo04tpiAEvo01J03EcoliGlc,140702,7/2/2014 0:00,3,OxicEvo04tpiAEvo01J03EcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo01_Inter03,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140702_3_OxicEvo04tpiAEvo02J03EcoliGlcM9_Broth-1,OxicEvo04tpiAEvo02J03EcoliGlc_Broth-1,OxicEvo04tpiAEvo02J03EcoliGlc,140702,7/2/2014 0:00,3,OxicEvo04tpiAEvo02J03EcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo02_Inter03,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140702_3_OxicEvo04tpiAEvo03J03EcoliGlcM9_Broth-1,OxicEvo04tpiAEvo03J03EcoliGlc_Broth-1,OxicEvo04tpiAEvo03J03EcoliGlc,140702,7/2/2014 0:00,3,OxicEvo04tpiAEvo03J03EcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo03_Inter03,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,ALEsKOs01,140702_3_OxicEvo04tpiAEvo04J03EcoliGlcM9_Broth-1,OxicEvo04tpiAEvo04J03EcoliGlc_Broth-1,OxicEvo04tpiAEvo04J03EcoliGlc,140702,7/2/2014 0:00,3,OxicEvo04tpiAEvo04J03EcoliGlcM9,Nextera DNA sample prep kit,ALEWtEvo04_tpiA_kan_Evo04_Inter03,Broth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
