col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
1,être,à,l,actif(E+charge+Adj),-,-,-,-,-,de,+,-,+,-,+,+,+,-,+,+,-
2,être,de,l,âge,-,-,-,-,-,de,+,-,+,-,-,+,+,-,-,-,-
3,être,à,l,avant-garde,-,-,-,-,-,de,-,+,-,-,-,+,-,-,+,-,-
4,être,à,l,avantage,-,-,-,-,-,de,+,+,+,-,-,+,+,-,+,+,-
5,être,à,la,base(E+théorique+évidente+Modif),-,-,-,+,-,de,-,+,+,+,+,+,-,+,-,+,-
6,être,à,la,charge,-,-,-,-,+,de,+,-,+,-,-,+,+,-,+,+,+
7,être,à,la,charge(E+financière+Adj),-,-,+,-,-,de,+,-,+,-,-,+,+,-,+,+,+
8,être,à,la,clef,-,-,-,-,-,de,-,+,+,+,+,+,-,+,-,+,-
9,être,de,la,compétence(E+limitée+juridique+Modif),-,-,-,-,-,de,+,+,+,-,-,+,+,-,-,-,-
10,être,à,la,convenance(E+personnelle),-,-,-,-,-,de,+,-,+,-,-,+,+,-,+,-,-
11,être,dans,les,cordes,-,-,-,-,-,de,+,-,+,-,-,+,+,-,+,-,-
12,être,à,le,crédit,-,-,-,-,-,de,+,+,+,-,+,+,+,+,+,+,-
13,être,à,la,décharge,-,-,-,-,+,de,+,-,+,-,-,+,+,-,+,+,-
14,être,à,la,défense,-,-,-,-,-,de,+,-,+,-,-,+,+,-,+,+,-
15,être,à,le,désavantage,-,-,-,-,-,de,+,+,+,-,-,+,+,-,+,+,-
16,être,à,le,déshonneur(E+grand),-,-,-,-,-,de,+,+,+,-,-,+,+,-,-,+,-
17,être,à,le,dessus,-,-,-,-,-,de,-,+,-,-,-,+,-,+,+,-,-
18,être,de,le,devoir(E+d'avocat+moral+Modif),-,-,-,-,-,de,+,-,+,-,-,+,+,-,-,-,-
19,être,dans,le,droit(E+juridique+limite+Modif),-,-,-,-,-,de,+,-,+,-,-,+,+,-,+,+,-
20,être,à,la,gloire(E+grande),-,-,-,-,-,de,+,+,+,-,-,+,+,-,-,+,-
21,être,de,le,goût(E+personnel+particulier+Modif),-,-,-,-,-,de,+,-,+,-,-,+,+,-,+,-,-
22,être,à,le,gré,-,-,-,-,-,de,+,-,+,-,-,+,+,-,+,-,-
23,être,à,l,honneur,-,-,-,-,-,de,+,+,+,-,-,+,+,-,-,+,-
24,être,de,l,internet(E+financier+Modif),-,-,-,-,-,de,+,-,+,-,-,+,+,-,-,-,-
25,être,à,la,louange,-,-,-,-,-,de,+,+,+,-,-,+,+,-,-,+,-
26,être,dans,la,nature(E+même),-,-,-,-,-,de,+,+,+,-,-,+,+,-,-,+,-
27,être,à,l,ordre du jour,-,-,-,-,+,de,+,-,+,-,-,+,+,-,+,+,-
28,être,à,l,origine(E+théorique+évidente+Modif),-,-,-,+,-,de,-,+,+,+,+,+,-,+,-,+,-
29,être,à,le,palmarès(E+brillant+sportif+Modif),-,-,-,-,-,de,+,-,+,-,+,-,+,-,+,+,-
30,être,à,le,passif(E+brillant+sportif+Modif),-,-,-,-,-,de,+,-,+,-,+,+,+,-,+,+,-
31,être,à,la,pointe,-,-,-,-,-,de,-,+,-,-,-,+,-,-,+,-,-
32,être,à,la,portée(E+intellectuelle+Modif),-,-,-,-,-,de,+,+,+,-,-,+,+,+,+,+,-
33,être,de,le,pouvoir(E+juridique+vaste+Modif),-,-,-,+,-,de,+,+,+,-,-,+,+,-,-,-,-
34,être,à,le,préjudice,-,-,-,-,-,de,+,+,+,-,-,+,+,-,+,+,-
35,être,dans,les,prix,-,-,-,-,-,de,+,-,+,-,-,+,+,-,+,-,-
36,être,de,la,responsabilité,-,-,-,-,-,de,+,-,+,-,-,+,+,-,-,-,-
37,être,de,le,ressort(E+judiciaire+strict+Modif),-,-,-,+,-,de,+,-,+,-,-,+,+,-,-,-,-
38,être,à,la,source(E+théorique+évidente+Modif),-,-,-,+,-,de,-,+,+,+,+,+,-,+,-,+,-
