col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66
f1266cb7-2afd-4556-954c-60e818133a9e,"Pomme de terre,a la vapeur",foodrecall,77453cd4-3f8e-430b-940e-fd0366ea748f,77453cd4-3f8e-430b-940e-fd0366ea748f,nick,nick,1137.0,"Pomme de terre,a la vapeur",,1134.0,food_item,fourth_pass,,2:00 - 3:59,,,,,,,,potato,Pomme de terre,a la vapeur,a la vapeur,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,40,Photos (g),1.0,1.Small size,1,grams,1.0,,,,,,
d926587e-554e-4aaa-9f4c-64f3940b9d7d,"Pain de singe,Autre,en poudre",foodrecall,77453cd4-3f8e-430b-940e-fd0366ea748f,77453cd4-3f8e-430b-940e-fd0366ea748f,nick,nick,,"Pain de singe,Autre,en poudre",,1246.0,food_item,fourth_pass,,4:00 - 5:59,,,,,,,,bread,Pain de singe,OTHER,Autre,lite pulp,en poudre,en poudre,,I DONT KNOW,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,53,Proxy weight (g) - modeling clay/play dough,,,1000,grams,1.5,,,,,,
4904ffe9-978f-4231-adab-b4c3c8a121c5,onion stew,foodrecall,77453cd4-3f8e-430b-940e-fd0366ea748f,77453cd4-3f8e-430b-940e-fd0366ea748f,nick,nick,,onion stew,onion stew,,non_std_recipe,fourth_pass,,16:00 - 17:59,yes,42e9b473-4839-4bac-bca1-c62d06e592b0,yes,42e9b473-4839-4bac-bca1-c62d06e592b0,onion stew,,,stew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Proxy weight (g) - water,,,580,grams,1.0,,,,,,
b9214b3f-7391-41a3-8458-1dffc1448714,Sauce Gombo,foodrecall,efc97c44-3acd-46df-b003-b1fb116693de,efc97c44-3acd-46df-b003-b1fb116693de,nick,nick,10089.0,Sauce Gombo,Sauce Gombo,10089.0,std_recipe,fourth_pass,,6:00 - 7:59,,,,,,,,okra,I DONT KNOW,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,52,Proxy weight (g) - other,,,455,grams,2.0,,,,,,
244b2fe4-2e71-428f-8b7c-8ac881856d16,"Oignon,bulbe,frais,coupe en morceaux,bouilli*,egoutte",foodrecall,efc97c44-3acd-46df-b003-b1fb116693de,efc97c44-3acd-46df-b003-b1fb116693de,nick,nick,866.0,"Oignon,bulbe,frais,coupe en morceaux,bouilli*,egoutte",,863.0,food_item,fourth_pass,,6:00 - 7:59,,,,,,,,onion,Oignon,,bulbe,,,frais,,,coupe en morceaux,,,bouilli*,,,egoutte,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,10,Direct weight (g),,,55,grams,2.0,,,,,,
42e9b473-4839-4bac-bca1-c62d06e592b0,onion stew,foodrecall,77453cd4-3f8e-430b-940e-fd0366ea748f,77453cd4-3f8e-430b-940e-fd0366ea748f,nick,nick,,onion stew,onion stew,,non_std_recipe,fourth_pass,,2:00 - 3:59,,,,,,,,stew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Direct weight (g),,,500,grams,2.0,10.0,Direct weight (g),,,3000.0,0.333333333333333
2b3a814a-83bc-424f-a55c-a7487d756ed7,"Pain de singe,Autre,en poudre",foodrecall,77453cd4-3f8e-430b-940e-fd0366ea748f,77453cd4-3f8e-430b-940e-fd0366ea748f,nick,nick,,"Pain de singe,Autre,en poudre",,1246.0,food_item,fourth_pass,,16:00 - 17:59,yes,d926587e-554e-4aaa-9f4c-64f3940b9d7d,,,,,,bread,Pain de singe,,Autre,,,en poudre,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,10,Direct weight (g),,,3000,grams,0.7,,,,,,
56d1f30e-5ece-4c4e-99c4-0e39da399050,Snickers bar,foodrecall,77453cd4-3f8e-430b-940e-fd0366ea748f,77453cd4-3f8e-430b-940e-fd0366ea748f,nick,nick,,Snickers bar,,,non_std_food_item,fourth_pass,,10:00 - 11:59,,,,,,,,candy bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Direct weight (g),,,300,grams,1.0,,,,,,
4cb9acef-dc43-4ff4-a1af-a91c4c526375,Riz gras,foodrecall,77453cd4-3f8e-430b-940e-fd0366ea748f,77453cd4-3f8e-430b-940e-fd0366ea748f,nick,nick,10009.0,Riz gras,Riz gras,10009.0,std_recipe,fourth_pass,,4:00 - 5:59,,,,,,,,rice,I DONT KNOW,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,40,Photos (g),2.0,2.Medium size,1,grams,1.0,,,,,,
9d26a19e-8ced-45be-a237-1f2421866e31,"(i) Oignon,bulbe,frais,coupe en morceaux,cru,egoutte",foodrecall,77453cd4-3f8e-430b-940e-fd0366ea748f,77453cd4-3f8e-430b-940e-fd0366ea748f,nick,nick,,"(i) Oignon,bulbe,frais,coupe en morceaux,cru,egoutte",onion stew,863.0,food_item,fourth_pass,,2:00 - 3:59,,,,,,yes,42e9b473-4839-4bac-bca1-c62d06e592b0,(i) onion,Oignon,bulbe,bulbe,,frais,frais,,coupe en morceaux,coupe en morceaux,,cru,cru,,egoutte,egoutte,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,,I DONT KNOW,,40,Photos (g),3.0,3.Standard size,1,grams,3.0,,,,,,
