col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
1,faire,<E>,abstraction,de,+,+,+,-,-,-,-
2,faire,la,affaire,de,-,+,+,+,+,-,-
3,faire,Poss0,affaire,de,+,+,+,-,-,-,-
4,faire,<E>,ami-ami,avec,+,-,+,-,-,+,-
5,faire,le,amour,avec,+,-,+,-,-,+,-
6,faire,<E>,argent,de,-,+,+,-,-,-,-
7,faire,<E>,autorité,Loc,+,+,+,+,-,-,-
8,faire,<E>,ballon,de,-,+,+,-,-,-,-
9,faire,la,belle,avec,+,-,+,-,-,+,+
10,faire,<E>,bloc,avec,+,-,+,-,-,+,-
11,faire,les,caprices,de,+,-,+,-,-,-,-
12,faire,<E>,cas,de,+,+,+,-,-,-,-
13,faire,le,cauchemar,de,+,-,+,+,+,-,-
14,faire,<E>,cercle,autour,+,+,+,-,-,-,+
15,faire,la,chaîne,avec,+,-,+,-,-,+,+
16,faire,<E>,chapelle,avec,+,-,+,-,-,+,-
17,faire,Poss0,chemin,Loc,+,+,-,+,-,-,-
18,faire,<E>,chorus,avec,+,-,+,-,-,-,-
19,faire,<E>,clan,avec,+,-,+,-,-,+,-
20,faire,<E>,commerce,de,+,-,+,-,-,-,-
21,faire,<E>,connaissance,avec,+,-,+,-,-,+,-
22,faire,la,connaissance,de,+,+,+,-,-,-,-
23,faire,le,contact,entre,+,+,+,+,-,-,-
24,faire,<E>,corps,avec,+,+,+,+,-,-,-
25,faire,<E>,couple,avec,+,-,+,-,-,+,-
26,faire,la,croix,sur,-,+,+,-,-,-,-
27,faire,la,culbute,sur,-,+,-,+,-,-,+
28,faire,<E>,date,Loc,-,+,-,+,+,-,-
29,faire,Poss0,deuil,de,+,+,+,-,-,-,-
30,faire,<E>,équipe,avec,+,-,+,-,-,+,-
31,faire,<E>,erreur,sur,+,+,+,-,-,-,+
32,faire,<E>,étalage,de,-,+,+,-,-,-,+
33,faire,<E>,étape,Loc,+,+,+,-,-,-,+
34,faire,<E>,état,de,-,+,+,-,-,-,-
35,faire,<E>,façon,de,+,+,+,-,-,-,-
36,faire,<E>,faction,E,+,+,+,-,-,-,-
37,faire,<E>,feu,sur,+,-,+,-,-,-,-
38,faire,<E>,fi,de,+,+,+,-,-,-,-
39,faire,<E>,fifty-fifty,avec,+,-,+,-,-,+,+
40,faire,<E>,figure,de,+,-,+,-,-,-,-
41,faire,<E>,figure,Loc,+,+,+,-,-,-,-
42,faire,<E>,foin,de,+,+,+,-,-,-,-
43,faire,<E>,fond,sur,+,+,+,-,-,-,-
44,faire,<E>,fortune,Loc,-,+,+,-,-,-,-
45,faire,<E>,front,avec,+,+,+,-,-,+,-
46,faire,<E>,fureur,Loc,+,+,+,+,-,-,-
47,faire,une,histoire,de,-,+,+,-,-,-,-
48,faire,le,intermédiaire,entre,+,-,+,-,-,-,-
49,faire,<E>,joujou,avec,+,+,+,-,-,-,-
50,faire,<E>,justice,de,-,+,+,-,-,-,-
51,faire,<E>,litière,de,-,+,+,-,-,-,-
52,faire,la,loi,Loc,+,+,+,-,-,-,-
53,faire,<E>,marche,Loc,-,+,+,-,-,-,-
54,faire,<E>,marche,vers,-,+,+,-,-,-,-
55,faire,<E>,moitié-moitié,avec,+,-,+,-,-,+,+
56,faire,<E>,montre,de,-,+,+,-,-,-,-
57,faire,<E>,mouvement,vers,-,+,+,-,-,-,+
58,faire,le,objet,de,-,+,+,+,-,-,-
59,faire,<E>,oeuvre,de,-,+,+,-,-,-,-
60,faire,<E>,office,de,-,+,+,+,-,-,-
61,faire,<E>,parade,de,-,+,+,-,-,-,-
62,faire,<E>,partie,de,+,+,+,+,-,-,-
63,faire,la,planque,Loc,+,+,+,-,-,-,-
64,faire,le,planton,Loc,+,+,+,-,-,-,-
65,faire,le,plein,de,-,+,+,-,-,-,-
66,faire,le,point,de,-,+,+,-,-,-,-
67,faire,le,point,sur,-,+,+,-,-,-,+
68,faire,le,poireau,Loc,+,+,+,-,-,-,-
69,faire,la,police,de,-,+,+,-,-,-,-
70,faire,la,police,Loc,+,+,+,-,-,-,-
71,faire,<E>,preuve,de,-,+,+,-,-,-,-
72,faire,<E>,problème,pour,+,-,-,+,+,-,+
73,faire,<E>,profession,de,-,+,+,-,-,-,-
74,faire,Poss0,profit,de,+,+,+,-,-,-,-
75,faire,du,propre,Loc,+,+,+,+,+,-,+
76,faire,<E>,question,pour,+,-,-,+,+,-,-
77,faire,<E>,rage,Loc,+,+,-,+,-,-,-
78,faire,<E>,route,vers,-,+,+,-,-,-,-
79,faire,<E>,sensation,Loc,+,+,+,+,+,-,-
80,faire,<E>,sentinelle,Loc,+,+,+,-,-,-,-
81,faire,<E>,tache,Loc,+,+,+,+,-,-,-
82,faire,<E>,tampon,entre,+,+,+,+,-,-,-
83,faire,<E>,tandem,avec,+,-,+,-,-,-,-
84,faire,<E>,tchin-tchin,avec,+,-,+,-,-,+,-
85,faire,<E>,un,avec,+,-,+,-,-,-,-
86,faire,le,vide,Loc,+,+,+,-,-,-,+
87,faire,du,vilain,Loc,+,+,+,+,+,-,+
88,faire,<E>,voile,vers,+,+,+,-,-,-,-
