col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
Adair,289,8,2.80%,289,7,2.40%,-12.50%,19_001,19.0,2.0,4.0,,
Adams,125,3,2.40%,125,4,3.20%,33.30%,19_002,19.0,2.0,4.0,,
Allamakee,499,16,3.20%,499,25,5.00%,56.30%,19_003,19.0,2.0,4.0,,
Appanoose,467,20,4.30%,467,19,4.10%,-5.00%,19_004,19.0,2.0,4.0,,
Audubon,229,8,3.50%,229,6,2.60%,-25.00%,19_005,19.0,2.0,4.0,,
Benton,869,29,3.30%,869,17,2.00%,-41.40%,19_006,19.0,2.0,4.0,,
Black Hawk,"5,797",187,3.20%,"5,797",168,2.90%,-10.20%,19_007,19.0,2.0,4.0,,
Boone,880,19,2.20%,880,28,3.20%,47.40%,19_008,19.0,2.0,4.0,,
Bremer,"1,136",16,1.40%,"1,136",10,0.90%,-37.50%,19_009,19.0,2.0,4.0,,
Buchanan,825,28,3.40%,825,16,1.90%,-42.90%,19_010,19.0,2.0,4.0,,
Buena Vista,838,33,3.90%,838,28,3.30%,-15.20%,19_011,19.0,2.0,4.0,,
Butler,503,13,2.60%,503,10,2.00%,-23.10%,19_012,19.0,2.0,4.0,,
Calhoun,407,8,2.00%,407,9,2.20%,12.50%,19_013,19.0,2.0,4.0,,
Carroll,792,15,1.90%,792,17,2.10%,13.30%,19_014,19.0,2.0,4.0,,
Cass,511,17,3.30%,511,16,3.10%,-5.90%,19_015,19.0,2.0,4.0,,
Cedar,665,15,2.30%,665,11,1.70%,-26.70%,19_016,19.0,2.0,4.0,,
Cerro Gordo,"1,625",57,3.50%,"1,625",58,3.60%,1.80%,19_017,19.0,2.0,4.0,,
Cherokee,446,14,3.10%,446,15,3.40%,7.10%,19_018,19.0,2.0,4.0,,
Chickasaw,466,14,3.00%,466,11,2.40%,-21.40%,19_019,19.0,2.0,4.0,,
Clarke,331,18,5.40%,331,22,6.60%,22.20%,19_020,19.0,2.0,4.0,,
Clay,596,20,3.40%,596,12,2.00%,-40.00%,19_021,19.0,2.0,4.0,,
Clayton,669,18,2.70%,669,8,1.20%,-55.60%,19_022,19.0,2.0,4.0,,
Clinton,"1,816",73,4.00%,"1,816",82,4.50%,12.30%,19_023,19.0,2.0,4.0,,
Crawford,688,25,3.60%,688,24,3.50%,-4.00%,19_024,19.0,2.0,4.0,,
Dallas,"1,316",32,2.40%,"1,316",40,3.00%,25.00%,19_025,19.0,2.0,4.0,,
Davis,306,13,4.20%,306,8,2.60%,-38.50%,19_026,19.0,2.0,4.0,,
Decatur,461,15,3.30%,461,10,2.20%,-33.30%,19_027,19.0,2.0,4.0,,
Delaware,730,16,2.20%,730,20,2.70%,25.00%,19_028,19.0,2.0,4.0,,
Des Moines,"1,532",79,5.20%,"1,532",72,4.70%,-8.90%,19_029,19.0,2.0,4.0,,
Dickinson,487,15,3.10%,487,13,2.70%,-13.30%,19_030,19.0,2.0,4.0,,
Dubuque,"3,563",91,2.60%,"3,563",99,2.80%,8.80%,19_031,19.0,2.0,4.0,,
Emmet,517,18,3.50%,517,13,2.50%,-27.80%,19_032,19.0,2.0,4.0,,
Fayette,830,19,2.30%,830,19,2.30%,0.00%,19_033,19.0,2.0,4.0,,
Floyd,579,16,2.80%,579,16,2.80%,0.00%,19_034,19.0,2.0,4.0,,
Franklin,409,12,2.90%,409,11,2.70%,-8.30%,19_035,19.0,2.0,4.0,,
Fremont,267,4,1.50%,267,11,4.10%,175.00%,19_036,19.0,2.0,4.0,,
Greene,358,14,3.90%,358,5,1.40%,-64.30%,19_037,19.0,2.0,4.0,,
Grundy,420,7,1.70%,420,5,1.20%,-28.60%,19_038,19.0,2.0,4.0,,
