col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
2,W2,17012017,1520.0,1520,203,826.9,0.0,0.0,826.9,
2,W1,17012017,1520.0,1520,204,1073.6,0.0,0.0,1073.6,
2,W2,18012017,1527.0,1527,205,826.9,,,,
2,W1,18012017,1539.0,1527,209,1073.6,,,,
2,W1,19012017,1103.0,1103,229,1073.6,,,,
2,W3,19012017,1115.0,1103,236,405.96,,,,
2,W2,19012017,1119.0,1103,237,826.9,,,,
2,W3,20012017,1519.0,1450,274,405.96,,,,ID was not entered incorrectly
2,W1,20012017,1450.0,1450,275,1073.6,,,,ID was not entered incorrectly
2,W2,20012017,1457.0,1450,276,826.9,,,,ID was not entered incorrectly
2,W2,22012017,642.0,617,298,826.9,,,,
2,W3,22012017,640.0,617,299,405.97,,,,
2,W1,22012017,623.0,617,300,1073.6,,,,
2,W2,24012017,1051.0,923,322,826.9,,,,
2,W1,24012017,1051.0,923,323,1073.6,,,,
2,W3,24012017,1052.0,923,324,405.96,,,,
2,W1,28012017,,1822,346,1073.6,,,,
2,W2,28012017,,1822,347,826.9,,,,
2,W3,28012017,,1822,348,405.96,,,,
2,W1,1022017,,1013,370,1073.5,,,,
2,W2,1022017,,1013,371,826.8,,,,
2,W3,1022017,,1013,372,405.94,,,,
2,W1,6022017,,1701,394,1073.6,,,,
2,W2,6022017,,1701,395,826.9,,,,
2,W3,6022017,,1701,396,405.95,,,,
2,W1,17022017,,1707,418,1073.6,,,,
2,W2,17022017,,1707,419,826.9,,,,
2,W3,17022017,,1707,420,405.95,,,,
