col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
cal,cal,cal1,cal_1_0,,0.0,1.5,0.5,0.4,0.4,0.03
cal,cal,cal1,cal_1_0,,0.0,1.5,0.5,0.4,0.4,0.036
cal,cal,cal1,cal_1_0,,0.0,1.5,0.5,0.4,0.4,0.035
cal,cal,cal1,cal_1_p1,,0.0125,1.4875,0.5,0.4,0.4,0.049
cal,cal,cal1,cal_1_p2,,0.025,1.475,0.5,0.4,0.4,0.073
cal,cal,cal1,cal_1_p3,,0.05,1.45,0.5,0.4,0.4,0.126
cal,cal,cal1,cal_1_p4,,0.1,1.4,0.5,0.4,0.4,0.237
cal,cal,cal1,cal_1_p5,,0.2,1.3,0.5,0.4,0.4,0.467
cal,cal,cal1,cal_1_p6,,0.3,1.2,0.5,0.4,0.4,0.699
cal,cal,cal1,cal_1_p7,,0.4,1.1,0.5,0.4,0.4,0.938
cal,cal,cal1,cal_1_p8,,0.5,1.0,0.5,0.4,0.4,1.149
cal,cal,cal1,cal_1_p9,,0.6,0.9,0.5,0.4,0.4,1.391
cal,cal,cal1,cal_1_p10,,0.7,0.8,0.5,0.4,0.4,1.602
cal,cal,cal1,cal_1_p11,,0.8,0.7,0.5,0.4,0.4,1.802
cal,cal,cal1,cal_1_p12,,0.9,0.6,0.5,0.4,0.4,2.024
cal,cal,cal2,cal_2_0,,0.0,1.5,2.0,0.4,0.4,0.031
cal,cal,cal2,cal_2_0,,0.0,1.5,2.0,0.4,0.4,0.036
cal,cal,cal2,cal_2_0,,0.0,1.5,2.0,0.4,0.4,0.036
cal,cal,cal2,cal_2_p1,,0.0125,1.4875,2.0,0.4,0.4,0.048
cal,cal,cal2,cal_2_p2,,0.025,1.475,2.0,0.4,0.4,0.078
cal,cal,cal2,cal_2_p3,,0.05,1.45,2.0,0.4,0.4,0.123
cal,cal,cal2,cal_2_p4,,0.1,1.4,2.0,0.4,0.4,0.232
cal,cal,cal2,cal_2_p5,,0.2,1.3,2.0,0.4,0.4,0.46
cal,cal,cal2,cal_2_p6,,0.3,1.2,2.0,0.4,0.4,0.693
cal,cal,cal2,cal_2_p7,,0.4,1.1,2.0,0.4,0.4,0.925
cal,cal,cal2,cal_2_p8,,0.5,1.0,2.0,0.4,0.4,1.151
cal,cal,cal2,cal_2_p9,,0.6,0.9,2.0,0.4,0.4,1.378
cal,cal,cal2,cal_2_p10,,0.7,0.8,2.0,0.4,0.4,1.603
cal,cal,cal2,cal_2_p11,,0.8,0.7,2.0,0.4,0.4,1.801
cal,cal,cal2,cal_2_p12,,0.9,0.6,2.0,0.4,0.4,2.018
blank,blank,blank,blank,,,0.0,2.0,0.4,0.4,0.0305
sample,CI,tb,CI_tb_01_soil_cal,2.0,,0.0,2.0,0.4,0.4,1.292
