col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,86,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1, PH4 1QG,289690,708850,Highlands,0
1,34,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3, IV30 3SL,322640,861040,Speyside,0
2,33,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1, AB4 3JT,372120,860400,Speyside,0
3,41,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2, AB38 7AU,327760,849140,Speyside,0
4,46,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2, AB55 4DH,332680,840840,Speyside,0
5,48,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2, EH34 5ET,344380,666690,Lowlands,0
6,49,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3, AB37 9DB,319560,828780,Speyside,0
7,55,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2, AB56 5AB,342610,863970,Speyside,0
8,19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2, 	PA43 7GS,131330,659720,Islay,0
9,35,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2, AB51 0ES,381020,827590,Highlands,0
10,17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3, 	DG8 9AB,242260,554260,Lowlands,0
11,60,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2, IV30 3RD,322640,861040,Speyside,0
12,14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2, 	IV30 8SJ,323450,858380,Speyside,0
13,39,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2, IV6 7UJ,251810,850860,Highlands,0
14,73,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2, AB38 7AG,326930,851430,Speyside,0
15,12,Belvenie,3,2,1,0,0,3,2,1,0,2,2,2, 	AB55 4DH,332680,840840,Speyside,0
16,84,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2, AB37 9AQ,315100,825560,Speyside,0
17,70,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2, IV12 5QY,286040,851320,Speyside,0
18,81,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2, IV17 0XB,265360,869120,Highlands,0
19,6,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2, KA27 8HJ,194050,649950,Islands,0
20,40,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1, PA28 6DS,172090,621010,Campbelltown,1
21,56,Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1, PA60 7XT,152660,667040,Islands,1
22,20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2, PA49 7UN,126680,661400,Islay,1
23,69,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2, KW1 5BA,336730,950130,Highlands,1
24,67,Oban,2,2,2,2,0,0,2,0,2,2,2,0, PA34 5NH,185940,730190,Highlands,1
25,53,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2, PH7 4HA,285630,723580,Highlands,2
26,52,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0, AB38 7AA,327650,849170,Speyside,2
27,66,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2, AB55 4AQ,332950,839850,Speyside,2
28,71,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1, AB35 5TB,326140,794370,Highlands,2
29,75,Springbank,2,2,2,2,0,2,2,1,2,1,0,1, PA28 6EJ,172280,620910,Campbelltown,2
30,45,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2, AB37 9BD,320950,838160,Speyside,2
