col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
1,お茶代,1,1,,8451 ocha ocya おちゃだい オチャダイ,20,,,1,,2,,amount,0
2,タクシー代,1,1,,8471 takushidai たくしーだい タクシーダイ,21,,,1,,2,,amount,0
3,通信回線使用料　,1,1,,tsushin つうしん ツウシン 通信,22,,,1,,2,,,0
4,Edyチャージ,1,1,,edy エディ,3,,,1,,1,,amount,0
5,接待　,1,1,接待で飲食をした場合,settai せったい 接待,23,,,1,,2,,,0
6,書籍代,1,1,,syoseki shoseki しょせき 書籍,32,,,1,,2,,amount,0
7,パソコン代,1,1,,pasokon ぱそこん パソコン,10,,,1,,2,,amount,0
8,打合せでの飲食代,1,1,,uchiawase うちあわせ　打合せ　打ち合わせ,24,,,1,,2,,amount,0
9,切手代,1,1,,kittedai 切手代 きってだい,22,,,1,,2,,amount,0
10,飛行機代,1,1,,hikoukidai ひこうきだい,21,,,1,,2,,amount,0
11,小口現金の引き出し,1,1,,koguchigenkinnnohikidashi 引出,3,,,1,,1,,amount,0
12,小口現金の引き出し,1,1,,koguchigenkinnohikidashi 引出,5,,,2,,1,,amount,0
13,携帯代　DOCOMO,1,1,,keitaidai けいたいだい docomo,22,,,1,,2,,amount,0
14,携帯代　au,1,1,,keitaidai けいたいだい au eu えーゆー エーユー,22,,,1,,2,,amount,0
15,携帯代　ソフトバンク,1,1,,keitaidai けいたいだい softbank そふとばんく ソフトバンク,22,,,1,,2,,amount,0
16,ATM手数料,1,1,,atm エーティーエム えーてぃーえむ atmtesuuryou,31,,,1,,2,,amount,0
17,コーヒー代,1,1,,ko-hi- コーヒー代 coffee,20,,,1,,2,,amount,0
18,通信回線利用料 EMOBILE,1,1,,emobile,22,,,1,,2,,amount,0
19,通信回線利用料 KDDI,1,1,,kddi,22,,,1,,2,,amount,0
20,売上,1,1,,uriage うりあげ ウリアゲ 売上 売り上げ 売上げ,18,,,2,,3,,amount,0
21,売掛金の回収,1,1,,urikakekin うりかけきん ウリカケキン 売掛金 kaishu かいしゅう カイシュウ カイシュウ,6,,,2,,1,,amount,0
22,売掛金の回収,1,1,,urikakekin うりかけきん ウリカケキン 売掛金 kaishu かいしゅう カイシュウ カイシュウ,2,,,1,,1,,amount,0
23,売掛金の回収,1,1,,urikakekin うりかけきん ウリカケキン 売掛金 kaishu かいしゅう カイシュウ カイシュウ,5,,,1,,1,,amount,0
