col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
Argentina,AR,Upper middle income,36,0.0232069934262795,35.71,-5,42,60,44,20,22,17,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Australia,AU,High income,10,0.434557200796144,68.33,-3,99,88,83,40,24,46,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Brazil,BR,Upper middle income,21,0.230342731722855,52.13,7,65,69,63,6,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Canada,CA,High income,7,0.512645876689129,74.52,1,90,88,86,39,50,60,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1
China,CN,Upper middle income,46,-0.0724767100071144,28.12,15,64,34,56,13,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,DE,High income,10,0.425834104639644,67.63,-1,82,96,74,46,65,26,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
France,FR,High income,4,0.58447568485638,80.21,6,96,90,83,79,74,60,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
UK,GB,High income,1,0.833996858010056,100.0,0,96,91,98,80,98,77,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Indonesia,ID,Lower middle income,36,0.0291336477149246,36.18,16,49,54,37,0,17,29,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
India,IN,Lower middle income,39,-0.0091000838712278,33.15,-5,57,70,43,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,IT,High income,22,0.210763994753847,50.58,-2,59,72,39,39,43,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,JP,High income,19,0.248630881845325,53.58,-5,81,86,74,20,17,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Korea,KR,High income,17,0.299947295522776,57.65,-5,65,84,83,46,59,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,MX,Upper middle income,24,0.204552562000878,50.09,1,69,78,56,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,RU,High income,26,0.18141171122299,48.25,-6,60,48,52,61,41,9,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Saudi Arabia,SA,High income,59,-0.228245828928758,15.77,8,62,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,TR,Upper middle income,41,-0.0330977547543697,31.24,-4,42,47,53,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,US,High income,2,0.741441722343741,92.66,0,100,87,94,100,98,54,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
South Africa,ZA,Upper middle income,41,-0.0399207117956551,30.7,11,29,62,53,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
