col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35
NMNH,251,,,,,,,,,Dinopsyllus (Dinopsyllus),,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Hystrichopsyllidae,Dinopsyllus,Dinopsyllus,,,subgenus,,,,,,,,Dinopsyllus
NMNH,624,,,,,,,,,Dinopsyllus (Dinopsyllus),,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Hystrichopsyllidae,Dinopsyllus,Dinopsyllus,,,subgenus,,,,,,,,Dinopsyllus
NMNH,67,,,,,,,,,Nosopsyllus (Nosopsyllus),,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Ceratophyllidae,Nosopsyllus,Nosopsyllus,,,subgenus,,,,,,,,Nosopsyllus
NMNH,91,,,,,,,,,Nosopsyllus,,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Ceratophyllidae,Nosopsyllus,,,,genus,,,,,,,,Nosopsyllus
NMNH,211,,,,,,,,,Polygenis (Polygenis),,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Rhopalopsyllidae,Polygenis,Polygenis,,,subgenus,,,,,,,,Polygenis
NMNH,1025,,,,,,,,,Polygenis (Polygenis),,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Rhopalopsyllidae,Polygenis,Polygenis,,,subgenus,,,,,,,,Polygenis
NMNH,287,,,,,,,,,Pulex (Pulex),,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Pulicidae,Pulex,Pulex,,,subgenus,,,,,,,,Pulex
NMNH,831,,,,,,,,,Pulex (Pulex),,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Pulicidae,Pulex,Pulex,,,subgenus,,,,,,,,Pulex
NMNH,239,,,,,,,,,Pygiopsylla,,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Pygiopsyllidae,Pygiopsylla,,,,genus,,,,,,,,Pygiopsylla
NMNH,1046,,,,,,,,,Pygiopsylla,,,,,,,,Animalia,Arthropoda,Insecta,Siphonaptera,Pygiopsyllidae,Pygiopsylla,,,,genus,,,,,,,,Pygiopsylla
