col0,col1,col2,col3,col4,col5,col6,col7
JD,199270080.0,INV,2019-08-15,Completed,CNY,0.0,Cash
JD,199109230.0,INV,2019-08-13,Completed,CNY,2000000000.0,Cash
JD,198959000.0,INV,2019-08-09,Completed,CNY,1000000000.0,Cash
JD,198090600.0,INV,2019-07-29,Completed,USD,50000000.0,Cash
JD,197596980.0,INV,2019-07-19,Pending,HKD,371336450.0,Cash
JD,197129380.0,INV,2019-07-11,Completed,SGD,0.0,Cash
JD,171795420.0,INV,2019-07-08,Pending,USD,0.0,Cash
JD,193589150.0,INV,2019-05-15,Pending,USD,253160000.0,Cash
JD,191581730.0,INV,2019-04-24,Completed,USD,420000000.0,Cash
JD,191248080.0,INV,2019-04-17,Pending,CNY,1270000000.0,Cash and Debt
JD,190502660.0,JV,2019-04-03,Pending,CNY,135000000.0,Cash
JD,188086400.0,M&A,2019-02-28,Pending,USD,0.0,Cash
JD,184836930.0,M&A,2019-01-08,Withdrawn,USD,0.0,Cash
JD,175688400.0,INV,2018-08-09,Completed,USD,500000000.0,Cash
JD,170322600.0,INV,2018-06-18,Pending,USD,549999900.0,Cash
JD,168756050.0,M&A,2018-05-27,Pending,CNY,4367411000.0,Stock
JD,168423620.0,INV,2018-05-18,Pending,CNY,1990000000.0,Cash
JD,167440910.0,INV,2018-05-15,Completed,USD,306000000.0,Cash
JD,165972830.0,INV,2018-05-09,Completed,HKD,898990000.0,Cash
JD,165466350.0,INV,2018-05-02,Pending,CNY,300000000.0,Cash
JD,161506510.0,M&A,2018-04-01,Completed,USD,0.0,Cash
JD,168427040.0,INV,2018-03-30,Pending,CNY,805000000.0,Cash
JD,140425060.0,INV,2018-02-26,Completed,USD,1500000000.0,Cash
JD,159978830.0,INV,2018-01-30,Proposed,CNY,0.0,Cash
JD,159927380.0,INV,2018-01-29,Pending,CNY,34000000000.0,Cash
JD,159244130.0,M&A,2018-01-16,Completed,VND,1000000000000.0,Cash
JD,157463410.0,INV,2017-12-17,Pending,USD,863000000.0,Cash
JD,156655980.0,INV,2017-12-05,Completed,USD,20000000.0,Cash
JD,154734050.0,INV,2017-11-01,Completed,USD,19000000.0,Cash
JD,152112830.0,INV,2017-09-15,Proposed,USD,1500000000.0,Undisclosed
JD,149531070.0,INV,2017-07-28,Completed,USD,500000000.0,Cash
JD,147573140.0,INV,2017-06-22,Completed,USD,397000000.0,Undisclosed
JD,135815400.0,M&A,2017-05-15,Completed,USD,36700000.0,Cash
JD,144776960.0,INV,2017-05-02,Withdrawn,IDR,0.0,Cash
JD,142784510.0,INV,2017-03-28,Completed,USD,14500000.0,Cash
JD,141320880.0,M&A,2017-03-02,Completed,CNY,14300000000.0,Cash
JD,138542500.0,INV,2017-01-11,Completed,USD,97025000.0,Cash
JD,137370340.0,INV,2016-12-21,Completed,CNY,400000000.0,Cash
JD,133971480.0,INV,2016-10-25,Completed,USD,30000000.0,Cash
JD,130031600.0,INV,2016-08-05,Completed,USD,550000000.0,Cash
JD,127431410.0,M&A,2016-06-20,Completed,CNY,21365748000.0,Stock
JD,126751300.0,INV,2016-06-06,Completed,USD,150000000.0,Cash
JD,124095384.0,M&A,2016-04-15,Pending,CNY,0.0,Undisclosed
JD,115655576.0,JV,2015-11-12,Completed,USD,0.0,Undisclosed
JD,115274744.0,INV,2015-11-06,Completed,CNY,218000000.0,Cash
JD,111718630.0,INV,2015-08-28,Completed,USD,630000000.0,Cash
JD,111340110.0,INV,2015-08-19,Completed,CNY,1112000000.0,Cash
JD,110888260.0,INV,2015-08-07,Completed,CNY,4234929700.0,Cash
JD,110813910.0,INV,2015-08-06,Completed,USD,60000000.0,Cash
JD,109861020.0,INV,2015-07-20,Completed,CNY,44000000.0,Cash
JD,109737770.0,INV,2015-07-16,Completed,USD,30000000.0,Cash
JD,109178960.0,INV,2015-07-02,Completed,CNY,0.0,Cash
JD,108792220.0,JV,2015-06-26,Pending,USD,0.0,Undisclosed
JD,107724290.0,INV,2015-06-02,Completed,USD,4000000.0,Cash
JD,107293730.0,INV,2015-05-25,Completed,USD,70000000.0,Cash
JD,107002984.0,INV,2015-05-18,Completed,HKD,1192614900.0,Cash
JD,107018296.0,INV,2015-05-18,Completed,CNY,100000000.0,Cash
JD,106642590.0,INV,2015-05-08,Completed,USD,500000000.0,Cash
JD,104458280.0,INV,2015-03-24,Completed,CNY,0.0,Cash
JD,102087070.0,INV,2015-02-02,Completed,USD,10000000.0,Cash
JD,101857060.0,INV,2015-01-27,Completed,USD,350000000.0,Cash
JD,101297680.0,INV,2015-01-09,Completed,USD,1300000000.0,Cash
JD,101121940.0,INV,2014-12-15,Completed,USD,148000000.0,Cash
JD,99456430.0,INV,2014-12-02,Completed,USD,40000000.0,Cash
JD,96269780.0,INV,2014-09-17,Completed,USD,50000000.0,Cash
JD,88393470.0,INV,2014-03-10,Completed,USD,2137659900.0,Cash
JD,92844030.0,INV,2014-03-10,Completed,USD,1325000000.0,Cash
JD,81029100.0,INV,2013-09-02,Completed,USD,10000000.0,Cash
JD,196064640.0,INV,2009-01-14,Completed,USD,21000000.0,Cash
