col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
Adair,"8,243",282,3.40%,"7,682",681,8.90%,159.10%,19_001,19.0,2.0,4.0,,
Adams,"4,482",216,4.80%,"4,029",423,10.50%,117.90%,19_002,19.0,2.0,4.0,,
Allamakee,"14,675",366,2.50%,"14,330","1,481",10.30%,314.40%,19_003,19.0,2.0,4.0,,
Appanoose,"13,721","1,297",9.50%,"12,887","2,211",17.20%,81.50%,19_004,19.0,2.0,4.0,,
Audubon,"6,830",205,3.00%,"6,119",425,6.90%,131.40%,19_005,19.0,2.0,4.0,,
Benton,"25,308",622,2.50%,"26,076","2,200",8.40%,243.30%,19_006,19.0,2.0,4.0,,
Black Hawk,"128,012","8,778",6.90%,"131,090","17,255",13.20%,92.00%,19_007,19.0,2.0,4.0,,
Boone,"26,224",773,2.90%,"26,306","2,527",9.60%,225.90%,19_008,19.0,2.0,4.0,,
Bremer,"23,325",501,2.10%,"24,276","1,164",4.80%,123.20%,19_009,19.0,2.0,4.0,,
Buchanan,"21,093",674,3.20%,"20,958","1,704",8.10%,154.40%,19_010,19.0,2.0,4.0,,
Buena Vista,"20,411",740,3.60%,"20,260","2,303",11.40%,213.50%,19_011,19.0,2.0,4.0,,
Butler,"15,305",406,2.70%,"14,867","1,254",8.40%,218.00%,19_012,19.0,2.0,4.0,,
Calhoun,"11,115",440,4.00%,"9,670",877,9.10%,129.10%,19_013,19.0,2.0,4.0,,
Carroll,"21,421",632,3.00%,"20,816","1,517",7.30%,147.00%,19_014,19.0,2.0,4.0,,
Cass,"14,684",589,4.00%,"13,956","1,755",12.60%,213.50%,19_015,19.0,2.0,4.0,,
Cedar,"18,187",467,2.60%,"18,499","1,315",7.10%,176.80%,19_016,19.0,2.0,4.0,,
Cerro Gordo,"46,447","2,026",4.40%,"44,151","5,799",13.10%,201.10%,19_017,19.0,2.0,4.0,,
Cherokee,"13,035",367,2.80%,"12,072",919,7.60%,170.40%,19_018,19.0,2.0,4.0,,
Chickasaw,"13,095",396,3.00%,"12,439",842,6.80%,123.80%,19_019,19.0,2.0,4.0,,
Clarke,"9,133",528,5.80%,"9,286","1,453",15.60%,170.70%,19_020,19.0,2.0,4.0,,
Clay,"17,372",613,3.50%,"16,667","1,767",10.60%,200.40%,19_021,19.0,2.0,4.0,,
Clayton,"18,678",420,2.20%,"18,129","1,222",6.70%,199.80%,19_022,19.0,2.0,4.0,,
Clinton,"50,149","3,251",6.50%,"49,116","7,837",16.00%,146.10%,19_023,19.0,2.0,4.0,,
Crawford,"16,942",723,4.30%,"17,096","1,822",10.70%,149.70%,19_024,19.0,2.0,4.0,,
Dallas,"40,750",798,2.00%,"66,135","3,734",5.60%,188.30%,19_025,19.0,2.0,4.0,,
Davis,"8,541",301,3.50%,"8,753",745,8.50%,141.50%,19_026,19.0,2.0,4.0,,
Decatur,"8,689",621,7.10%,"8,457","1,486",17.60%,145.90%,19_027,19.0,2.0,4.0,,
Delaware,"18,404",572,3.10%,"17,764","1,478",8.30%,167.70%,19_028,19.0,2.0,4.0,,
Des Moines,"42,351","2,905",6.90%,"40,325","7,579",18.80%,174.00%,19_029,19.0,2.0,4.0,,
Dickinson,"16,424",455,2.80%,"16,667","1,094",6.60%,136.90%,19_030,19.0,2.0,4.0,,
Dubuque,"89,143","3,054",3.40%,"93,653","9,553",10.20%,197.70%,19_031,19.0,2.0,4.0,,
