col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
1,Aguascalientes,67543.0,76375.0,77405.0,74338.0,74935.0,21357.0,29483.0,78604.0,133158.0,142229.0,178663.0,204349.0,225115.0,194036.0,179898.0,234123.0,228371.0,235856.0,194442.0,161409.0
2,Baja California,122240.0,123325.0,113658.0,178379.0,158505.0,42437.0,73488.0,206365.0,253983.0,226223.0,319744.0,390595.0,455190.0,418876.0,391975.0,582879.0,585283.0,657032.0,581767.0,496810.0
3,Baja California Sur,29843.0,34749.0,34263.0,38348.0,89279.0,13408.0,21050.0,43319.0,65500.0,67682.0,94018.0,94020.0,96659.0,102908.0,74061.0,73752.0,105938.0,97552.0,106368.0,88486.0
4,Campeche,41807.0,41366.0,46574.0,53694.0,63447.0,13777.0,24160.0,29228.0,20968.0,21644.0,37900.0,39585.0,44519.0,58167.0,55157.0,67127.0,108251.0,91410.0,72631.0,67295.0
5,Chiapas,82796.0,75049.0,76566.0,75491.0,58580.0,14784.0,35600.0,111003.0,133367.0,145137.0,138197.0,137115.0,133917.0,126406.0,109383.0,188511.0,212872.0,214459.0,195738.0,163974.0
6,Chihuahua,199771.0,208851.0,251252.0,244106.0,338580.0,93994.0,119561.0,219450.0,255615.0,294810.0,306279.0,417307.0,498673.0,471558.0,433229.0,440178.0,517195.0,461898.0,388451.0,362803.0
7,Ciudad De Mexico,720886.0,734924.0,770311.0,817083.0,775887.0,263506.0,321573.0,607050.0,920870.0,1116615.0,1126374.0,1258266.0,1370853.0,1810921.0,1468749.0,1898146.0,2251944.0,2211411.0,2263376.0,1988948.0
8,Coahuila,179643.0,224937.0,219128.0,266316.0,363994.0,92649.0,119856.0,235882.0,284550.0,285000.0,359312.0,404104.0,421009.0,435345.0,379859.0,478300.0,536878.0,559638.0,578930.0,558629.0
9,Colima,42920.0,46691.0,39286.0,38906.0,44102.0,13492.0,21803.0,39648.0,50894.0,54534.0,68680.0,74517.0,79651.0,66771.0,66589.0,93374.0,107724.0,113770.0,110638.0,97804.0
10,Durango,98464.0,105907.0,105794.0,134825.0,118771.0,30547.0,41499.0,103150.0,115408.0,156244.0,204610.0,273611.0,283323.0,291250.0,193841.0,215914.0,236980.0,232286.0,247689.0,237703.0
11,Guanajuato,228811.0,253986.0,218135.0,240753.0,238961.0,65203.0,132370.0,242532.0,238322.0,314975.0,331682.0,319572.0,352057.0,327014.0,230340.0,263252.0,368795.0,307771.0,327972.0,283830.0
12,Guerrero,79404.0,85526.0,113091.0,102630.0,118622.0,48952.0,68286.0,121102.0,126024.0,139157.0,141208.0,133297.0,127938.0,131882.0,128058.0,178610.0,189668.0,122614.0,130607.0,119137.0
13,Hidalgo,57664.0,60291.0,54763.0,143999.0,75648.0,22981.0,38248.0,76123.0,81043.0,80566.0,98110.0,118085.0,132800.0,135337.0,124510.0,142628.0,153988.0,129073.0,106400.0,159631.0
14,Jalisco,363714.0,353475.0,320156.0,386968.0,488321.0,128065.0,211503.0,499633.0,642554.0,544893.0,699100.0,853525.0,972370.0,1020871.0,866436.0,1001923.0,1034163.0,1065592.0,1103796.0,1006087.0
15,Mexico,592700.0,635334.0,720450.0,721251.0,659438.0,189306.0,290096.0,652073.0,728185.0,839515.0,1075664.0,1337238.0,1654403.0,1714152.0,1307794.0,1481971.0,1538663.0,1450092.0,1424722.0,1384064.0
16,Michoacan,131023.0,130482.0,124015.0,173994.0,170582.0,54767.0,81738.0,182762.0,222616.0,203941.0,197320.0,196263.0,223777.0,211789.0,196231.0,307000.0,374715.0,334401.0,304821.0,295134.0
17,Morelos,90151.0,76926.0,80464.0,91569.0,106465.0,28522.0,43161.0,83713.0,90289.0,120891.0,165798.0,181640.0,186949.0,176208.0,129292.0,105811.0,169177.0,135485.0,153693.0,149250.0
18,Nayarit,44770.0,59761.0,37094.0,38870.0,29875.0,14270.0,32907.0,66401.0,62861.0,58486.0,77680.0,104982.0,106980.0,103376.0,107023.0,133951.0,139909.0,119736.0,105228.0,96658.0
19,Nuevo Leon,414512.0,398720.0,405432.0,522584.0,539394.0,134003.0,196877.0,296307.0,466138.0,560261.0,713330.0,865816.0,996724.0,1211010.0,1011234.0,1246983.0,1392412.0,1512199.0,1500597.0,1447052.0
20,Oaxaca,70951.0,77993.0,73374.0,59226.0,76650.0,17188.0,27208.0,57414.0,67711.0,70601.0,94130.0,114745.0,122916.0,112501.0,103598.0,118744.0,135721.0,131377.0,126014.0,125804.0
21,Puebla,194299.0,175935.0,138801.0,150251.0,290450.0,58889.0,77829.0,151475.0,222817.0,268833.0,254973.0,252665.0,292179.0,266187.0,239675.0,349825.0,451941.0,441609.0,422246.0,452568.0
22,Queretaro,64929.0,63005.0,73942.0,139095.0,158768.0,34419.0,46806.0,114698.0,172443.0,144821.0,155788.0,135300.0,122682.0,156711.0,100456.0,176199.0,201159.0,182286.0,173383.0,167325.0
23,Quintana Roo,52489.0,33942.0,43530.0,68408.0,111251.0,15432.0,28354.0,55508.0,48227.0,59540.0,71907.0,56125.0,69116.0,75991.0,73046.0,129828.0,207747.0,174234.0,184179.0,184177.0
