col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
1,recipe001,Description recipe 001,2014-10-27 10:20:13,https://www.google.es,Advice recipe001,Sugested time recipe001,2014-11-15 10:20:13,True,4,,1
2,recipe002,Description recipe 002,2014-10-28 10:20:13,https://www.google.es,Advice recipe002,Sugested time recipe002,2014-11-16 10:20:13,True,5,,2
3,recipe003,Description recipe 003,2014-10-29 10:20:13,https://www.google.es,Advice recipe003,Sugested time recipe003,2014-11-17 10:20:13,True,5,,3
4,recipe004,Description recipe 004,2014-10-30 10:20:13,https://www.google.es,Advice recipe004,Sugested time recipe004,2014-11-18 10:20:13,True,5,,4
5,recipe005,Description recipe 005,2014-10-31 10:20:13,https://www.google.es,Advice recipe005,Sugested time recipe005,2014-11-19 10:20:13,True,5,1.0,5
6,recipe006,Description recipe 006,2014-11-01 10:20:13,https://www.google.es,Advice recipe006,Sugested time recipe006,2014-11-20 10:20:13,True,6,,6
7,recipe007,Description recipe 007,2014-11-02 10:20:13,https://www.google.es,Advice recipe007,Sugested time recipe007,2014-11-21 10:20:13,True,6,,7
8,recipe008,Description recipe 008,2014-11-03 10:20:13,https://www.google.es,Advice recipe008,Sugested time recipe008,2014-11-22 10:20:13,False,6,,8
9,recipe009,Description recipe 009,2014-11-04 10:20:13,https://www.google.es,Advice recipe009,Sugested time recipe009,2014-11-23 10:20:13,False,6,1.0,9
10,recipe010,Description recipe 010,2014-11-05 10:20:13,https://www.google.es,Advice recipe010,Sugested time recipe010,2014-11-24 10:20:13,False,6,,10
11,recipe011,Description recipe 011,2014-11-06 10:20:13,https://www.google.es,Advice recipe011,Sugested time recipe011,2014-11-25 10:20:13,False,6,,11
12,recipe012,Description recipe 012,2014-11-07 10:20:13,https://www.google.es,Advice recipe012,Sugested time recipe012,2014-11-26 10:20:13,False,6,,12
13,recipe013,Description recipe 013,2014-11-08 10:20:13,https://www.google.es,Advice recipe013,Sugested time recipe013,2014-11-27 10:20:13,False,6,,13
14,recipe014,Description recipe 014,2014-11-09 10:20:13,https://www.google.es,Advice recipe014,Sugested time recipe014,2014-11-28 10:20:13,False,7,,14
15,recipe015,Description recipe 015,2014-11-10 10:20:13,https://www.google.es,Advice recipe015,Sugested time recipe015,2014-11-29 10:20:13,True,7,,15
16,recipe016,Description recipe 016,2014-11-11 10:20:13,https://www.google.es,Advice recipe016,Sugested time recipe016,2014-11-30 10:20:13,True,7,1.0,16
17,recipe017,Description recipe 017,2014-11-12 10:20:13,https://www.google.es,Advice recipe017,Sugested time recipe017,2014-12-01 10:20:13,True,7,2.0,17
18,recipe018,Description recipe 018,2014-11-13 10:20:13,https://www.google.es,Advice recipe018,Sugested time recipe018,2014-12-02 10:20:13,False,7,3.0,18
19,recipe019,Description recipe 019,2014-11-14 10:20:13,https://www.google.es,Advice recipe019,Sugested time recipe019,2014-12-03 10:20:13,False,7,,19
20,recipe020,Description recipe 020,2014-11-15 10:20:13,https://www.google.es,Advice recipe020,Sugested time recipe020,2014-12-04 10:20:13,False,8,,20
