col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66
Definition,0,file_id,serial_number,1,,time_created,1.0,,manufacturer,1.0,,product,1.0,,type,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,file_id,serial_number,2147483647,,time_created,702940946.0,,manufacturer,15.0,,product,1.0,,type,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,file_creator,software_version,1,,hardware_version,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,file_creator,software_version,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,file_creator,software_version,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,1,event,timestamp,1,,data,1.0,,event,1.0,,event_type,1.0,,event_group,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,1,event,timestamp,1,,data,1.0,,event,1.0,,event_type,1.0,,event_group,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,event,timestamp,702940946,s,timer_trigger,15075090.0,,event,0.0,,event_type,0.0,,event_group,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,2,record,timestamp,1,,position_lat,1.0,,position_long,1.0,,distance,1.0,,altitude,1.0,,speed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940946,s,position_lat,495280430.0,semicircles,position_long,-872696681.0,semicircles,distance,0.02,m,altitude,278.2,m,speed,0.0,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940947,s,position_lat,495280430.0,semicircles,position_long,-872696680.0,semicircles,distance,0.02,m,altitude,278.2,m,speed,0.0,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940948,s,position_lat,495280430.0,semicircles,position_long,-872696680.0,semicircles,distance,0.02,m,altitude,278.2,m,speed,0.0,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
