col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35
1876,barnero01,Ross Barnes,26,CHC,NL,0,0,,20.25,1,0,0,0,0,0,1.1,7,8,3,0,0,,0,,0,0,13,18.0,2.23,5.25,47.3,0.0,0.0,0.0,
1876,blongjo01,Joe Blong,22,STL,NL,0,0,,0.0,1,0,1,0,0,0,4.0,2,0,0,0,1,,0,,0,0,14,,2.98,0.75,4.5,0.0,2.3,0.0,0.0
1876,bondto01,Tommy Bond,20,HAR,NL,31,13,0.705,1.68,45,45,0,45,6,0,408.0,355,164,76,2,13,,88,,0,8,1623,143.0,1.96,0.902,7.8,0.0,0.3,1.9,6.77
1876,bootham01,Amos Booth,27,CIN,NL,0,1,0.0,9.31,3,1,1,0,0,0,9.2,22,18,10,0,0,,0,,0,0,51,25.0,2.23,2.276,20.5,0.0,0.0,0.0,
1876,boothed01,Eddie Booth,--,NYU,NL,0,0,,10.8,1,0,1,0,0,0,5.0,16,10,6,0,0,,0,,0,0,34,24.0,2.23,3.2,28.8,0.0,0.0,0.0,
1876,bordejo01,Joe Borden,22,BSN,NL,11,12,0.478,2.89,29,24,6,16,2,1,218.1,257,155,70,4,51,,34,,0,21,983,77.0,2.86,1.411,10.6,0.2,2.1,1.4,0.67
1876,bradlfo01,Foghorn Bradley,20,BSN,NL,9,10,0.474,2.49,22,21,1,16,1,1,173.1,201,116,48,1,16,,16,,0,7,779,89.0,2.4,1.252,10.4,0.1,0.8,0.8,1.0
1876,bradlge01,George Bradley,23,STL,NL,45,19,0.703,1.23,64,64,0,63,16,0,573.0,470,229,78,3,38,,103,,0,34,2269,170.0,2.14,0.887,7.4,0.0,0.6,1.6,2.71
1876,clackbo01,Bobby Clack,26,CIN,NL,0,0,,4.5,1,0,1,0,0,0,2.0,2,1,1,0,0,,0,,0,0,8,65.0,2.23,1.0,9.0,0.0,0.0,0.0,
1876,clintji01,Jim Clinton,25,LOU,NL,0,1,0.0,6.0,1,1,0,1,0,0,9.0,12,11,6,0,0,,1,,0,2,43,47.0,2.01,1.333,12.0,0.0,0.0,1.0,
