col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
4,,LEDSMT1206,1206,"LED2, LED3, LED4, PWR-BLU",LED,,,,,,,,,,
2,,PINHD-1X3,1X03,"JP2, JP3",PIN HEADER,,,,,,,,,,
1,,PINHD-2X3,2X03,JP1,PIN HEADER,,,,,,,,,,
1,,SJW,SJW,SJ1,SMD solder JUMPER,,,,,,,,,,
2,,SWITCH_PUSHBUTTONC&K_KSS,BTN_CK_KSS,"MIC_ON, RESET1",Buttons,,,,,,,,,,
4,100nF,C-USC1206,C1206,"C4, C6, C8, C12","CAPACITOR, American symbol",,,,,,,C,,,
2,10k,R-US_M1206,M1206,"R4, R8","RESISTOR, American symbol",,,,,,,R,,,
2,10uF,C-USC1206,C1206,"C5, C7","CAPACITOR, American symbol",,,,,,,C,,,
1,16MHz,CRYSTALCTS406,CTS406,Q1,CRYSTAL,,,unknown,unknown,,,,,,
2,18pF,C-USC1206,C1206,"C1, C2","CAPACITOR, American symbol",,,,,,,C,,,
4,1k,R-US_M1206,M1206,"R3, R5, R6, R7","RESISTOR, American symbol",,,,,,,R,,,
1,1uF,C-USC1206,C1206,C3,"CAPACITOR, American symbol",,,,,,,C,,,
2,22,R-US_M1206,M1206,"R1, R2","RESISTOR, American symbol",,,,,,,R,,,
1,5.5x2.1mm Barrel,POWER_JACKSMD,POWER_JACK_SMD,J1,Power Jack Connector,,,,,CONN-08106,PRT-12748,,,5.5x2.1mm Barrel,
1,ATMEGA32U4-AU,ATMEGA32U4-AU,TQFP44,U$1,http://www.ladyada.net/library/eagle,,,,,,,,,,
21,TPTP15SQ,TPTP15SQ,TP15SQ,"!HWB, D+, D-, FUNC_GRN, GND_BARREL, GND_ICSP, MIC_SIGNAL, MISO, MOSI, NOFUNC_RED, PWR_BLU, RESET, SCK, SERVO_SIGNAL, TP4, TP7, VCC, VCC_TO_MIC, V_BARREL, V_ICSP, WARN_YELL",Test pad,,,,,,,,,,
1,USB-A,USB-A,MOLEX_480371000,X1,USB type A 'plug',,,,,,,,,,
