col0,col1,col2,col3,col4,col5,col6,col7,col8
concoct.124,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pseudoduganella,
concoct.235,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__SZUA-265;s__,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,SZUA-265,
concoct.268,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,70-9,VAYN01,
concoct.303,d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__,Bacteria,Planctomycetota,,,,,
metabat1500.004,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40;s__,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Gp6-AA40,
metabat1500.028,d__Bacteria;p__Chloroflexota;c__Ellin6529;o__QHBO01;f__QHBO01;g__CF-167;s__,Bacteria,Chloroflexota,Ellin6529,QHBO01,QHBO01,CF-167,
metabat1500.049,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-83;s__,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,KBS-83,
metabat1500.050,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,,
metabat1500.055,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Palsa-1295;f__Palsa-1295;g__;s__,Bacteria,Bacteroidota,Kapabacteria,Palsa-1295,Palsa-1295,,
metabat1500.064,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7540;f__UBA7540;g__SCRD01;s__,Bacteria,Acidobacteriota,Acidobacteriae,UBA7540,UBA7540,SCRD01,
