col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
@,,00724d0275bd4ef77514468d6d04669c93125e32,,,Sonny Xpress!,@,,,199x,@,@,,,,,,,,,
@,,0812c859a54161f19e7160fec3c0f56ba0b33db6,,,Dream World,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,08dc1bd109986d8745cfa6f1eb3c9731d736255f,,,Happy Race,@,,,1992,Sachen,@,,,,,,,,,
@,,08ea89ec012034cde36919ff94af95b9d8af8aa6,,,TV-Link,@,,,199x,@,@,,,,,,,,,
@,,13061b97c7b6d74990b766670f59dbf1e7598120,,,Carrier,@,,,199x,@,@,,,,,,,,,
@,,1cc36699d11dc1ef1a7731ea5f093a23489dd2df,,,Untouchable,@,,,199x,Bon Treasure,@,,,,,,,,,
@,,1d45a437dfb8b5833ea56a42a8ed6be5e70686aa,,,Classic Casino,@,,,1993,Bon Treasure,@,,,,,,,,,
@,,1fa3236ad83984d922893c294ed0d9e432201fb0,,,Super Block,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,212f577b0d1df539aadfecdec4e85404e4d57201,,,Jaguar Bomber,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,226e8f14498be513b73f97b5e618a524209c4595,,,Eagle Plan,@,,,1991,GTC,@,,,,,,,,,
@,,23efa16603c540e60dc85c7442188a8b76383098,,,Final Combat,@,,,1992,Thin Chen,@,,,,,,,,,
@,,2b794e22f7d595902c515b3fd617980655a9d994,,,Soccer Champion,@,,,199x,@,@,,,,,,,,,
@,,2d58bb254bb79f47d64f1505336bf736c7b5a4d8,,,Balloon Fight,@,,,1992,Thin Chen,@,,,,,,,,,
@,,3412cb0d657c6c79eef71d29c6af06ac3082cb2f,,,Honey Bee,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,386f555fcedaaf9fc4d81ddf59ec0320f42af988,,,Tennis Pro '92,@,,,1992,BITS,@,,,,,,,,,
@,,3e5de3350e3bcf75e057b970d7e1c56634699bb1,,,Hero Kid,@,,,199x,@,@,,,,,,,,,
@,,453385ec16a50add9b3b8591e954220b679f0439,,,Pacific Battle,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,4b863616bb9b821adf397f20e0ea043a3daa026a,,,Olympic Trials,@,,,199x,@,@,,,,,,,,,
@,,4fd487ce62c8b7a6f3d4000fcd72f2a269d32fc2,,,Scaffolder,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,517154e5340bf221392a99640733b0798c7490ee,,,Kabi Island,@,,,1992,Sachen,@,,,,,,,,,
@,,548938179d25ea3a8de45662b3920d8aa5e9ac55,,,Kung-Fu Street,@,,,1993,Thin Chen,@,,,,,,,,,
@,,639c69afa4a68236dfea263b51e9c032c1aa71be,,,Block Buster,@,,,199x,@,@,,,,,,,,,
@,,690036b386ee57c15e23a64015513a36861bd145,,,Hero Hawk,@,,,1992,Sachen,@,,,,,,,,,
@,,6c59bc0d14a05b404292de8aba3a7da12d72f355,,,Super Kong,@,,,1992,Thin Chen,@,,,,,,,,,
@,,70f7589fdf40c851cc34c0a5f644216f3765eb8c,,,Challenger Tank,@,,,199x,@,@,,,,,,,,,
@,,721350e7c7761b9be13d2a236ebfc72e51755851,,,Galaxy Fighter,@,,,1992,Thin Chen,@,,,,,,,,,
@,,7739826471d4ac2a69d34bdbd154bb6d748e90cc,,,Galactic Crusader,@,,,1992,Sachen,@,,,,,,,,,
@,,794ce6fb7084274c680b277a41f269840402e61b,,,P-52 Sea Battle,@,,,199x,@,@,,,,,,,,,
@,,7d9672fd2500f2d645d0ca28417fbf9e9bac3045,,,Popo Team,@,,,1992,Sachen,@,,,,,,,,,
@,,8a97572caa6cd91950bd333bcab5c61d60cf28d2,,,Brain Power,@,,,199x,@,@,,,,,,,,,
@,,8b0550dde96661b9b7317a1d247174ecca813698,,,Earth Defender,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,8fab2b0d3e4485e156c78159b92fd70aabc02994,,,Pyramid,@,,,1992,Thin Chen,@,,,,,,,,,
@,,9520221d8cfd3bdfb0fb6b7fb9fed66ba027a756,,,Penguin Hideout,@,,,1992,Thin Chen,@,,,,,,,,,
@,,9c6282caa6b06c63f53910fdb11b7d0f83d29310,,,Fatal Craft,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,9f80a72d967d2a35168250ca3da3941164164bfc,,,Linear Racing,@,,,199x,@,@,,,,,,,,,
@,,9fa06b4d171d9ade2f9e4a639e80feba15c963f9,,,Police Bust,@,,,199x,Bon Treasure,@,,,,,,,,,
@,,a2fa39c871956a27dc3afa74fe368e93ef8ee99a,,,Space Fighter,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,a5a421bfaad2837a7cee9522a59411c96dcc0827,,,Dancing Block,@,,,1992,Thin Chen,@,,,,,,,,,
@,,a5c8beecff5444183dfed9e46dd67150c12c8bfd,,,Juggler,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,a6b93e0bbb0d037a0fe4b0d8056b6808aea7ae6c,,,Grand Prix,@,,,199x,Bon Treasure,@,,,,,,,,,
@,,af1232c2e781ac2ae12163dc200815a8579c269d,,,Cave Wonders,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,afa267bcced763cb51599cd5605062530ede1af3,,,PacBoy & Mouse,@,,,199x,@,@,,,,,,,,,
@,,b422814b073544b66f2ad86c76bae6403f7a4530,,,John Adventure,@,,,1992,Sachen,@,,,,,,,,,
@,,b7aec7d24175bdea1cfccc1359b5ab353e023d44,,,Magincross,@,,,1992,Thin Chen,@,,,,,,,,,
@,,baf24b026023f44968fd1352637f1c01cbb89f3e,,,Treasure Hunter,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,bca1c05ebac50a1acd4a8d3b440a29867edc9826,,,2 in 1: Hash Blocks + Eagle Plan,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,c292dd656860c9048935f52b8a90bba2d6f7fb99,,,Thunder Shooting,@,,,1992,Thin Chen,@,,,,,,,,,
@,,c384062ce1284a4c80e8fbb1ad0e8fa924c6881b,,,Chimera,@,,,199x,@,@,,,,,,,,,
@,,c4d61fcab3e8eb2aedb48b41bac24bf7197a7e21,,,Super Pang,@,,,1992,Sachen,@,,,,,,,,,
@,,d8a78bb3cb492a90464f7a16bb2486566f7d4baa,,,Happy Pairs,@,,,1992,Sachen,@,,,,,,,,,
@,,d8f095ec94a18f4e006b4fc9480eabe98852a8fe,,,Kitchen War,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,d9836dfe4f113dca030b0472deb7a8d8bb9065dc,,,Hash Blocks,@,,,1991,GTC,@,,,,,,,,,
@,,da02d8e119fbd38048f16c78ce9714abf93bbfd6,,,SSSnake,@,,,1992,BITS,@,,,,,,,,,
@,,da884d97fbe7e7aca40dc1b5b0db6d7ff69377e3,,,Tasac 2010,@,,,1992,Thin Chen,@,,,,,,,,,
@,,e16c13f1fe3a5bde2fa3a4d4c10d28514328b7c8,,,Super Block,@,,,1992,Bon Treasure,@,b,b 1,,,,,,,
@,,e20ae19d0555dc8d34da8f16d2d7bcce8c9856da,,,Alien,@,,,199x,@,@,,,,,,,,,
@,,eb69fa9df9186a3bf3fd4f8afebdd7a6d022ab38,,,Chinese Checkers,@,,,1992,Sachen,@,,,,,,,,,
@,,ed532dd29212754d8c96539da04452b56e89d17b,,,Penguin Hideout,@,,,1992,Thin Chen,@,b,b 1,,,,,,,
@,,ee68c188c41cf8f12f74458d6dd614afc7b8edbb,,,Delta Hero,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,ef87ef536bd82c1a9b707ffcb173beef74953cd5,,,Final Combat,@,,,1992,Thin Chen,@,b,b 1,,,,,,,
@,,f0b5d83cff1c45c7798da65dd01c3ee0b66e78ac,,,Climber,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,f23f53f7486857db36a959a0ecc71b6b688c7af1,,,Crystball,@,,,199x,@,@,,,,,,,,,
@,,f2b7902b8c522f63858c99caa81d63f4cdcb60cb,,,2 in 1: Block Buster + Cross High,@,,,199x,@,@,,,,,,,,,
@,,f47972ea376dce72265d57763b17d35bb50f842d,,,Bubble World,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,f5476f1c663d34c3dda2bc6e9631e6f2dc661e1d,,,Witty Cat,@,,,199x,Bon Treasure,@,,,,,,,,,
@,,f7311ccca24811aa3595114d50e5c1ac5772b4c9,,,Jacky Lucky,@,,,1992,Bon Treasure,@,,,,,,,,,
@,,fb6af626a6496907d02a26b9bb5132f4be88bda9,,,Matta Blatta,@,,,199x,@,@,,,,,,,,,
@,,fc64336d963b88fc29dd2ea1b987f98a99e725e9,,,Recycle Design,@,,,199x,Bon Treasure,@,,,,,,,,,
@,,fff0e56e3b9bb7799a8d2f1b9562aa86dc114502,,,Carrier,@,,,199x,@,@,b,b 1,,,,,,,
