col0,col1,col2,col3,col4
W1,0.0,183.8603,183.8608,28
W1,0.840277777773736,183.8592,183.8604,28
W1,1.84375,183.8586,183.8615,28
W1,2.85069444444525,183.8576,,28
W1,3.80902777777374,183.8588,183.8598,28
W1,4.86111111110949,183.8572,183.8567,28
W1,5.85902777777665,183.8565,183.8597,28
W1,6.8395833333343,183.8548,183.857,28
W1,8.91666666666424,183.8583,183.8599,28
W1,10.878472222219,183.8605,183.864,28
W1,13.125,183.8593,183.8609,28
W1,15.8541666666642,183.8587,183.8591,28
W1,18.909722222219,183.8575,183.8399,28
W1,22.8611111111095,183.8545,183.8548,28
W1,27.1458333333285,183.8533,183.8531,28
W2,0.0,185.5809,185.5817,29
W2,0.840277777773736,185.5797,185.5819,29
W2,1.84375,185.5798,185.583,29
W2,2.85069444444525,185.5787,,29
W2,3.80902777777374,185.5808,185.5802,29
W2,4.86111111110949,185.5788,185.5793,29
W2,5.85902777777665,185.5804,185.5817,29
W2,6.8395833333343,185.5785,185.5786,29
W2,8.91666666666424,185.5818,185.5831,29
W2,10.878472222219,185.5842,185.5878,29
W2,13.125,185.5847,185.5857,29
W2,15.8541666666642,185.5837,185.5841,29
W2,18.909722222219,185.5826,185.5857,29
W2,22.8611111111095,185.5787,185.5799,29
W2,27.1458333333285,185.5788,185.579,29
W3,0.0,183.7165,183.7176,30
W3,0.840277777773736,183.7162,183.718,30
W3,1.84375,183.716,183.7182,30
W3,2.85069444444525,183.7148,,30
W3,3.80902777777374,183.716,183.7163,30
W3,4.86111111110949,183.715,183.7157,30
W3,5.85902777777665,183.7157,183.7181,30
W3,6.8395833333343,183.7137,183.7142,30
W3,8.91666666666424,183.7174,183.7178,30
W3,10.878472222219,183.7199,183.7228,30
W3,13.125,183.7204,183.7211,30
W3,15.8541666666642,183.7185,183.719,30
W3,18.909722222219,183.7169,183.7211,30
W3,22.8611111111095,183.7128,183.7147,30
W3,27.1458333333285,183.713,183.7142,30
