col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25
us1_nb_100,us1_nb_100,US-1 NB | North of Rt. 60 on ramp,2,150,150,10,110,main,0,none,2,51000,54000,1550,2300,2350,2050,4200,3950,3750,3450,6200,11900,21,11
R21009,R21009,Rt. 60 on ramp,1,150,170,60,110,ramp_on_right,1,none,1,16500,21000,800,1000,1000,1000,1200,1200,1200,1200,2800,3600,20,21
us1_nb_090,us1_nb_090,US-1 NB | North of Rt. 60 off ramp,2,150,150,110,210,main,0,none,3,34500,33000,750,1300,1350,1050,3000,2750,2550,2250,3400,8300,19,10
R21008,R21008,Rt. 60 off ramp,1,170,150,210,260,ramp_off_right,1,none,1,7000,7000,200,250,200,200,600,600,600,600,650,1800,18,20
us1_nb_080,us1_nb_080,US-1 NB | North of Sargent St. off ramp,2,150,150,210,310,main,0,none,3,41500,40000,950,1550,1550,1250,3600,3350,3150,2850,4050,10100,17,9
R21007,R21007,SargentSt.  off ramp,1,170,150,310,360,ramp_off_right,1,none,1,3000,4000,100,100,100,100,500,500,500,500,300,1500,16,19
us1_nb_070,us_1_nb_070,US-1 NB | North of Rt6. 16 on ramp,2,150,150,310,410,main,0,none,3,44500,44000,1050,1650,1650,1350,4100,3850,3650,3350,4350,11600,15,8
R21006,R21006,Rt. 16 on ramp,1,150,170,410,460,ramp_on_right,1,none,1,8000,9000,350,450,450,400,650,500,450,500,1250,1600,14,18
us1_nb_060,us1_nb_060,US-1 NB | North of Rt. 16 off ramp,3,150,150,410,560,main,0,none,3,36500,35000,700,1200,1200,950,3450,3350,3200,2850,3100,10000,13,7
R21005,R21005,Rt. 16 off ramp,1,170,150,560,610,ramp_off_right,1,none,1,7500,8000,200,300,250,250,700,800,800,600,750,2300,12,17
us1_nb_050,us1_nb_050,US-1 NB | North of Webster Ave. off ramp,2,150,150,560,660,main,0,none,3,44000,43000,900,1500,1450,1200,4150,4150,4000,3450,3850,12300,11,6
R21004,R21004,Webster Ave. off ramp,1,170,150,660,710,ramp_off_right,1,none,1,4000,5000,200,200,200,150,400,400,500,400,600,1300,10,16
us1_nb_040,us1_nb_040,US-1 NB | North of 6th St. on ramp,3,150,150,660,810,main,0,none,3,48000,48000,1100,1700,1650,1350,4550,4550,4500,3850,4450,13600,9,5
R21003,R21003,6th St. on ramp,1,150,170,760,810,ramp_on_right,1,none,1,7500,8000,300,300,300,300,700,700,600,450,900,2000,8,15
us1_nb_030,us1_nb_030,US-1 NB | North of 4th St. off ramp,2,150,150,810,910,main,0,none,3,40500,40000,800,1400,1350,1050,3850,3850,3900,3400,3550,11600,7,4
R21002,R21002,4th St. off ramp,1,170,150,910,960,ramp_off_right,1,none,1,2500,3200,200,150,150,150,200,200,150,200,500,550,6,14
us1_nb_020,us1_nb_020,US-1 NB | North of Beacon St. off ramp,3,150,150,910,1060,main,0,none,3,43000,43200,1000,1550,1500,1200,4050,4050,4050,3600,4050,12150,5,3
R21001,R21001,Beacon St. off ramp,1,170,150,1060,1110,ramp_off_right,1,none,1,7000,7800,400,450,400,400,450,450,450,400,1250,1350,4,13
us1_nb_010,us1_nb_010,US-1 NB | North of City Square on ramp (Tobin Bridge),3,150,150,1060,1210,main,0,none,3,50000,51000,1400,2000,1900,1600,4500,4500,4500,4000,5300,13500,3,2
R12153,R12153,City Square on ramp,1,150,130,1160,1210,ramp_on_left,1,none,1,14500,15300,350,500,500,400,1300,1400,1400,1100,1350,4100,2,12
R_i93_nb_us1_nb,r_i93_nb_us1_nb,US-1/I-93|  South of City Square on ramp,2,150,150,1210,1310,main,0,none,2,35500,35700,1050,1500,1400,1200,3200,3100,3100,2900,3950,9400,1,1
