col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43
808,,237053,,HILLTOWN,Hilltown Loch Garman Ireland http://sws.geonames.org/2963764/, ,,WESTMEATH,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,An Iarmhí,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,647558,,774752,,1458,,237053,,WESTMEATH,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,An Iarmhí,An Iarmhí Leinster Ireland http://sws.geonames.org/2960972/,Leinster,Leinster Kildare Ireland http://sws.geonames.org/2962979/,HILLTOWN,Hilltown Loch Garman Ireland http://sws.geonames.org/2963764/, ,,100,,100,,2AE196291BD113A3E055000000000001,,1458,,0.002833810265419,,0.272083780175286,
1141,,217119,,LATTIN,Lattin County Tipperary Ireland http://sws.geonames.org/2963017/,Laitean,,TIPPERARY,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Tiobraid Árann,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,579972,,633035,,1217,,217119,,TIPPERARY,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Tiobraid Árann,County Tipperary Munster Ireland http://sws.geonames.org/2961191/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,LATTIN,Lattin County Tipperary Ireland http://sws.geonames.org/2963017/,Laitean,,100,,100,,2AE196291C3513A3E055000000000001,,1217,,0.002092861295224,,0.297805875754419,
2035,,57005,,ARDMALIN,Ardmalin County Donegal Ireland http://sws.geonames.org/3307799/, ,,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Dún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,643223,,955888,,2691,,57005,,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Dún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,ARDMALIN,Ardmalin County Donegal Ireland http://sws.geonames.org/3307799/, ,,100,,100,,2AE1962921CD13A3E055000000000001,,2691,,0.004132975001825,,0.475204215675172,
594,,47101,,CLONMOYLE,Clonmoyle House An Iarmhí Ireland http://sws.geonames.org/2965347/, ,,CORK,County Cork Munster Ireland http://sws.geonames.org/2965139/,Corcaigh,Cork City Munster Ireland http://sws.geonames.org/7778678/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,544503,,576939,,2388,,47101,,CORK,County Cork Munster Ireland http://sws.geonames.org/2965139/,Corcaigh,Cork City Munster Ireland http://sws.geonames.org/7778678/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,CLONMOYLE,Clonmoyle House An Iarmhí Ireland http://sws.geonames.org/2965347/, ,,100,,100,,2AE196291F2713A3E055000000000001,,2388,,0.002091717408999,,0.239278729634169,
1033,,117011,,BEIHY,, ,,LEITRIM,Leitrim An Clár Ireland http://sws.geonames.org/3308587/,Liatroim,Leitrim County Leitrim Ireland http://sws.geonames.org/2962976/,Connacht,Connaught Ireland Ireland http://sws.geonames.org/7521313/,612091,,788016,,109,,117011,,LEITRIM,Leitrim An Clár Ireland http://sws.geonames.org/3308587/,Liatroim,Leitrim County Leitrim Ireland http://sws.geonames.org/2962976/,Connacht,Connaught Ireland Ireland http://sws.geonames.org/7521313/,BEIHY,, ,,100,,100,,2AE1962916FE13A3E055000000000001,,109,,0.003054825727684,,0.290019997685138,
863,,57044,,CREESLOUGH,Creeslough County Donegal Ireland http://sws.geonames.org/2965056/,An Craoslach,,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Dún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,604357,,927757,,2730,,57044,,DONEGAL,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Dún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,CREESLOUGH,Creeslough County Donegal Ireland http://sws.geonames.org/2965056/,An Craoslach,,100,,100,,2AE1962920C113A3E055000000000001,,2730,,0.003079327556224,,0.417581553224931,
2319,,27073,,MULLAGH,Mullagh County Galway Ireland http://sws.geonames.org/3313217/, ,,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,An Cabhán,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,667338,,786367,,2112,,27073,,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,An Cabhán,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,MULLAGH,Mullagh County Galway Ireland http://sws.geonames.org/3313217/, ,,100,,100,,2AE196291DAE13A3E055000000000001,,2112,,0.003349582723397,,0.400294314184459,
1554,,127049,,COOLRUS,,Cúlros,,LIMERICK,Limerick Loch Garman Ireland http://sws.geonames.org/2962942/,Luimneach,Limerick City Munster Ireland http://sws.geonames.org/7778675/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,549405,,634939,,225,,127049,,LIMERICK,Limerick Loch Garman Ireland http://sws.geonames.org/2962942/,Luimneach,Limerick City Munster Ireland http://sws.geonames.org/7778675/,Munster,Munster County Cork Ireland http://sws.geonames.org/2962350/,COOLRUS,,Cúlros,,100,,100,,2AE19629178813A3E055000000000001,,225,,0.002590077501391,,0.268052928707912,
969,,67118,,KILCONNELL,Kilconnell County Galway Ireland http://sws.geonames.org/3313361/, ,,GALWAY,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,Gaillimh,Galway City Connaught Ireland http://sws.geonames.org/7778676/,Connacht,Connaught Ireland Ireland http://sws.geonames.org/7521313/,572013,,733468,,2952,,67118,,GALWAY,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,Gaillimh,Galway City Connaught Ireland http://sws.geonames.org/7778676/,Connacht,Connaught Ireland Ireland http://sws.geonames.org/7521313/,KILCONNELL,Kilconnell County Galway Ireland http://sws.geonames.org/3313361/, ,,100,,100,,2AE19629239813A3E055000000000001,,2952,,0.003863664211028,,0.317612614790772,
1471,,27046,,DRUNG,Drung An Cabhán Ireland http://sws.geonames.org/3309578/, ,,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,An Cabhán,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,649135,,809550,,2085,,27046,,CAVAN,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,An Cabhán,An Cabhán Ulster Ireland http://sws.geonames.org/2965534/,Ulster,Ulster Ireland Ireland http://sws.geonames.org/7521316/,DRUNG,Drung An Cabhán Ireland http://sws.geonames.org/3309578/, ,,100,,100,,2AE196291CAB13A3E055000000000001,,2085,,0.003100669959021,,0.279815515487226,
