col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
GOA,ALL,State,Helpline number,State helpline,Govt,State Control Room ,For Interstate and Intrastate Coordination,8322419550,https://www.goa.gov.in/wp-content/uploads/2020/03/State-Control-Room-For-Interstate-and-Intrastate-Coordination.pdf,,,, ,https://www.goa.gov.in/covid-19/
GOA,ALL,State,Helpline number,State helpline,Govt,Goa State Disaster Management- COVID 19 Telephone directory,,,https://www.goa.gov.in/wp-content/uploads/2020/04/Goa-disaster-management-telephone-directory_Part1.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,Health View,Others,Govt,Medical Helpline number,For any medical assistance required,104,https://www.goa.gov.in/wp-content/uploads/2020/03/Medical-Helpline-.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,Health View,Others,Govt.,Medical Helpline,WhatsApp,9607909559,https://www.goa.gov.in/wp-content/uploads/2020/03/Medical-Helpline-.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,Health View,Medicine Delivery,Govt.,Medicine Helpline,For essential supply of medicine,7823026971,https://www.goa.gov.in/wp-content/uploads/2020/03/Medical-Helpline-.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,Health View,Tele-consultation,Govt.,Medical Teleconsulation (24/7),Free of charge; Prescription by SMS or WhatsApp,6366449060,https://www.goa.gov.in/wp-content/uploads/2020/04/Medical-Teleconsultation-To-General-Public.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,Health View,Covid-19 Testing Centres,Govt.,TrueNat Screening testing center,North District Hospital (Mapusa),,https://www.icmr.gov.in/,,,,,
GOA,ALL,State,Health View,Covid-19 Testing Centres,Govt.,TrueNat Screening testing center,Subdistrict Hospital (Ponda),,https://www.icmr.gov.in/,,,,,
GOA,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Govt. laboratory,Goa Medical College (Goa),,https://www.icmr.gov.in/,,,,,
GOA,ALL,State,Food View,Food Delivery,Govt.,Milk Delivery,Proposed Milk Delivery System Call Center on Home delivery basis (area wise contact information),,https://www.goa.gov.in/wp-content/uploads/2020/03/Goa-Dairy-Operations-For-Procurement-and-supply-of-milk.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,E-pass View,,Govt.,Travel Pass,Travel pass requests to be done on https://goaonline.gov.in,,https://www.goa.gov.in/wp-content/uploads/2020/03/For-Travel-Pass-Request-.pdf,,ID proof,,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,E-pass View,,Govt.,Temporary Travel Pass,Temporary travel pass valid for 2 hours,,https://goaonline.gov.in/Appln/UIL/DeptServices?__DocId=REV&__ServiceId=REV14,,,,,
GOA,ALL,State,E-pass View,,Govt.,Travel pass for Animal care,Application form for animal care travel pass and animal feed vehicle permit,,https://www.goa.gov.in/wp-content/uploads/2020/03/Online-application-form-for-obtaining-Animal-Care-Travel-Pass-Travel-Permit-for-Animal-Feed.pdf,,Aadhar Card / Driver License / Passport / Vet Registration Number,,Individual applicants are requested to send the application form through an NGO working in the state of Goa and working with the Department of Animal Husbandary and Vetereinary services in Goa only ,https://www.goa.gov.in/covid-19/
GOA,ALL,State,E-pass View,,Govt.,Inter state Travel Pass,Inter state permit to Goa for medical or emergency purpose; register on www.goaonline.gov.in,,https://www.goa.gov.in/wp-content/uploads/2020/04/INTER-STATE-PERMIT-CAN-NOW-BE-AVAILED-TO-GOA-FOR-MEDICAL-EMERGENCY.pdf,,Upload Identity and Medical documents (prescription/medical certificate/case paper etc.),,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,E-pass View,,Govt.,Travel pass to professionals,Travel passes to  IT and IT enabled services companies,,https://www.goa.gov.in/wp-content/uploads/2020/04/Circular-DOITdt.17thApril2020-1.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,Others,,Govt.,State COVID relief fund,,,https://www.onlinesbi.com/sbicollect/icollecthome.htm?corpID=1963359,,,,,
GOA,ALL,State,Others,,Govt.,CSR Funds for COVID-19,,,https://www.goa.gov.in/wp-content/uploads/2020/03/Bank-Account-Details-For-Contributing-CSR-Funds-For-Management-Of-Pandemic-COVID-19-In-Goa.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,ALL,State,Others,,Govt.,INNOVACCER,Mobile app launched by Govt. of Goa,,https://innovaccer.com/test-yourself-goa/,,,,,
GOA,North Goa,District,Helpline number,District Helpline,Govt.,District control room number,,8322225083,https://www.goa.gov.in/wp-content/uploads/2020/03/State-Control-Room-For-Interstate-and-Intrastate-Coordination.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,North Goa,District,Food View,Hunger Helplines,Govt.,Food helpline - North goa,For homeless and needy,9423890077,https://www.goa.gov.in/wp-content/uploads/2020/03/Food-Helpline.pdf,For homeless and needy,,,,https://www.goa.gov.in/covid-19/
GOA,North Goa,District,Food View,Food Delivery,Govt.,Home delivery of grocery ,Home delivery - Magsons Supercentre ; Ravalnath estate; Tiswadi,8975676294,https://www.goa.gov.in/wp-content/uploads/2020/03/Authorisation-For-Home-Delivery-Of-Essential-Commodities-25032020-Collectorate-North-Goa.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,North Goa,District,Food View,Others,Govt.,Public food shelter,Some pubilc food shelters offered by the govt. in North goa,,https://www.google.com/maps/search/public+food+shelter+goa/@15.5132952;73.5883254;9z/data=!3m1!4b1,,,,Some of the Public Food Shelter are:Government Higher Secondary School; Pernem; Goa 403512SAG Stadium; Peddem; MapusaHome delivery - Magsons Supercentre ; Ravalnath estate; TiswadiAsylum of; opp. Old Asilo Hospital; Alto Duler; Mapusa; GoaGovernment Primary School; NaroaGovernment Primary School; CodiemCommunity Hall; Umtav Vado; Calangute; Goa 403519Recolhimento de Serra of; near All India Radio; Altinho; Panaji; GoaYouth Hostel; Miramar; Panaji; Goa 403001,
GOA,North Goa,District,E-pass View,,Govt.,Travel Pass,Travel pass request to be emailed at northgoacoll@gmail.com or deposited in Collectors office,,https://www.goa.gov.in/wp-content/uploads/2020/03/For-Travel-Pass-Request-.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,South Goa,District,Helpline number,District Helpline,Govt.,District control room number,,0832-2794100,https://www.goa.gov.in/wp-content/uploads/2020/03/State-Control-Room-For-Interstate-and-Intrastate-Coordination.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,South Goa,District,Food View,Hunger Helplines,Govt.,Food helpline - South Goa,For homeless and needy,9423890066,https://www.goa.gov.in/wp-content/uploads/2020/03/Food-Helpline.pdf,For homeless and needy,,,,https://www.goa.gov.in/covid-19/
GOA,South Goa,District,Food View,Others,Govt.,Public food shelter,Some pubilc food shelters offered by the govt in South goa,,https://www.google.com/maps/search/public+food+shelter+goa/@15.5132952;73.5883254;9z/data=!3m1!4b1,,,,Goa Engineering College;Bhausaheb Bandodkar Technical Education Complex; Goa Engineering College Campus; Farmagudi; Ponda; Goa 403401,
GOA,South Goa,District,Food View,Food Delivery,Govt.,Authorized Home delivery Shops,,,https://www.goa.gov.in/wp-content/uploads/2020/03/AUTHORIZED-FOR-HOME-DELIVERY-IN-SOUTH-GOA-DISTRICT.pdf,,,,,https://www.goa.gov.in/covid-19/
GOA,South Goa,District,E-pass View,,Govt.,Travel Pass,Travel pass request to be emailed at southgoacoll@gmail.com or deposited in Collectors office,,https://www.goa.gov.in/wp-content/uploads/2020/03/For-Travel-Pass-Request-.pdf,,,,,https://www.goa.gov.in/covid-19/
