col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29
'1','0','0','1','0',,'ROOT','root',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'2','0','0','1','0',,'Article','article',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'3','0','0','1','0',,'Book','book',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'4','0','0','1','0',,'Learning Object','learning-object',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'5','0','0','1','0',,'Video','video',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'6','0','0','1','0',,'Conference paper','conference-paper',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'7','0','0','1','0',,'Report','report',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'8','0','0','1','0',,'Others','others',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'10','0','0','1','0',,'multimodal literacy','multimodal-literacy',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'11','0','0','1','0',,'lærerutdanning','lærerutdanning',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'12','0','0','1','0',,'Peer reviewed','peer-reviewed',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'13','0','0','1','0',,'Book chapter','book-chapter',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'14','0','0','1','0',,'Doctoral Thesis','doctoral-thesis',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'15','0','0','1','0',,'Presentation','presentation',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'16','0','0','1','0',,'Preprint','preprint',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'17','0','0','1','0',,'Masters Thesis','masters-thesis',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'18','0','0','1','0',,'Working Paper','working-paper',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
'19','0','0','1','0',,'Other','other',,,'1','0','0000-00-00 00:00:00','1',,,,,'0','2011-01-01 00:00:01',,'0','0000-00-00 00:00:00',,,'0','*','1','0000-00-00 00:00:00','0000-00-00 00:00:00'
