col0,col1,col2,col3,col4
8843,7,,4 days,"Local On-Net mobile calls @ 0p/sec(11: 00 PM to 7AM) -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8844,11,,30 days,"Local Tata calls @ 10p/min -- STD Tata calls @ 20p/min -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8845,17,,2 days,"Local On-Net mobile calls @ 0p/sec -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8846,21,,30 days,All Local/STD mobile calls @ 30p/min 
8847,24,,30 days,All Local/STD mobile calls @ 25p/min
8848,37,,60 days,"All Local/STD Mobile calls @ 30p/min -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8849,42,,60 days,"All Local/STD mobile calls @ 1.5p/3secs -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8850,43,,60 days,"All Local/STD mobile calls @ 25p/min -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8851,57,,8 days,"Local On-Net mobile calls @ 0p/sec -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8852,103,,28 days,"Unlimited Local/STD Onnet calls -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8853,139,,28 days,"21000 (Loc+STD) seconds -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8854,148,,14 days,"750 Loc/STD mins, post free mins all calls 30p/min -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
8855,246,,28 days,1500 mins of usage in Local and STD calls
8856,298,,28 days,"2000 Loc/STD mins, post free mins all calls 30p/min -- Applicable only in Selected towns : KOTA, Udaipur, Rajsamand, Ajmer, Bhilwara, Chittaurgarh, Nagaur, Deoli, Beawar, Sikar, Bhiwadi, Tonk, Kishangarh, Alwar, Makrana, Ramganjmandi, Pali, Jhunjhunu, Bundi, Jaitaran, Behror, Nasirabad, Pilani, Sojat, Kekri, Sumerpur, Niwai, Merta Road, Srimadhopur, Rajgarh(churu), Dholpur."
