col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
date_created,fields.study,,,/reports/api/v1/field/fields.study/date_created/,0,,True,Date the study was recorded in the Screensaver database,Date Recorded,True,,,[d],,date,,{  },,now,,,,,
last_data_loading_date,fields.study,screen_result,date_loaded,/reports/api/v1/field/fields.study/date_created/,1,,True,The date the current screen results were loaded into the database,Last Data Loading Date,True,,,[d],,date,link,{ 'hrefTemplate': ',,,,,,,
screen_type,fields.study,,,/reports/api/v1/field/fields.study/screen_type/,2,,True,The (library) screen type of the wells annotated by this study,Library Screen Type,True,,screen.type,[],[c],string,,{ },select,,,,TRUE,,0.0
facility_id,fields.study,,,/reports/api/v1/field/fields.study/facility_id/,3,Assigned by the facility,True,The facility specific ID for this screen,Study ID,True,,,[l;d],,string,link,{ 'hrefTemplate': ',,,,,,,
title,fields.study,,,/reports/api/v1/field/fields.study/title/,4,,True,The title of the screen,Title,True,,,[l;d],[c;u],string,,{ 'widthClass': 'col-sm-10' },,,,,TRUE,,0.0
lab_head_id,fields.study,,,/reports/api/v1/field/fields.study/lab_head_id/,5,,True,The head of the lab performing the screen,Lab Name,True,,,,[c;u],string,,{ 'widthClass': 'col-sm-8' },select,,,,TRUE,,0.0
lab_name,fields.study,,,/reports/api/v1/field/fields.study/lab_name/,6,,True,The name of the lab carrying out the screen,Lab Name,True,,,[l;d],,string,link,{ 'hrefTemplate': ',,,,,,,
lab_affiliation,fields.study,,,/reports/api/v1/field/fields.study/lab_affiliation/,7,,True,The affiliation of the lab carrying out the screen,Lab Affiliation,True,,,[d],,string,,,,,,,,,0.0
lead_screener_id,fields.study,,,/reports/api/v1/field/fields.study/lead_screener_id/,8,,True,The scientist primarily responsible for running the screen,Lead Screener,True,,,,[c;u],string,,,select,,,,,,0.0
lead_screener_name,fields.study,,,/reports/api/v1/field/fields.study/lead_screener_name/,9,,True,The scientist primarily responsible for running the screen,Lead Screener,True,,,[],,string,link,{ 'hrefTemplate': ',,,,,,,
study_type,fields.study,,,/reports/api/v1/field/fields.study/study_type/,10,,True,The study type,Study Type,True,,study.type,[],[c],string,,,select,,,,,,0.0
summary,fields.study,,,/reports/api/v1/field/fields.study/summary/,11,,True,A summary of the study,Summary,True,,,[d],[c;u],string,,{ 'rows': 4 },textarea,,,,TRUE,,0.0
url,fields.study,,,/reports/api/v1/field/fields.screen/url/,12,,True,Homepage,Homepage,True,,,[d],[c;u],string,link,{ 'hrefTemplate': '{__val__}'  },,,,,,,0.0
comments,fields.study,,,/reports/api/v1/field/fields.study/comments/,13,,True,Administrative comments,Comments,True,,,[d],[c;u],string,,{ 'rows': 4 },textarea,,,,,,0.0
collaborator_ids,fields.study,custom,,/reports/api/v1/field/fields.study/collaborator_ids/,14,,True,Collaborator Ids,Collaborators,True,,,[],[c;u],list,link,{ 'hrefTemplate': ',,,,,,,
collaborator_names,fields.study,custom,,/reports/api/v1/field/fields.study/collaborator_names/,15,,True,Name and email of collaborators,Collaborator Names,True,,,,,list,,{ },,,TRUE,,,,0.0
publishable_protocol,fields.study,,,/reports/api/v1/field/fields.screen/publishable_protocol/,24,,True,A publication-quality description of the protocol used for this screen,Protocol,True,,,[protocol],[c;u],string,,{ 'rows': 4 },textarea,,,,,,1.0
publishable_protocol_comments,fields.study,,,/reports/api/v1/field/fields.screen/publishable_protocol_comments/,25,,True,Comments associated with the publishable protocol,Protocol Comment,True,,,[protocol],[c;u],string,,,,,TRUE,,,[readEverythingAdmin],
publishable_protocol_date_entered,fields.study,,,/reports/api/v1/field/fields.screen/publishable_protocol_date_entered/,26,,True,The date the publishable protocol was entered,Protocol Date,True,,,[protocol],[c;u],date,,,,,TRUE,,,[readEverythingAdmin],
publishable_protocol_entered_by,fields.study,,,/reports/api/v1/field/fields.screen/publishable_protocol_entered_by/,27,,True,The initial of the person that entered the publishable protocol,Protocol Entered By,True,,,[protocol],[c;u],string,,,select,,TRUE,,,[readEverythingAdmin],
data_sharing_level,fields.study,,,/reports/api/v1/field/fields.study/data_sharing_level/,28,,True,The data sharing level,Data Sharing Level,True,,screen.data_sharing_level,,[c;u],integer,,{ 'group': 'Screen Sharing' },select,0,TRUE,,TRUE,,0.0
publications,fields.study,custom,,/reports/api/v1/field/fields.screen/publications/,33,,True,Publications,Publications,True,,,[protocol],,list,,,custom,,,,,,1.0
pubchem_deposited_date,fields.study,,,/reports/api/v1/field/fields.screen/pubchem_deposited_date/,35,,True,The date the study was deposited in PubChem BioAssay,PubChem BioAssay Date Deposited,True,,,[protocol],[c;u],date,,{ 'group': 'PubChem BioAssay' },,,,,,,1.0
pubchem_assay_id,fields.study,,,/reports/api/v1/field/fields.screen/pubchem_assay_id/,36,,True,The PubChem Assay identifier (AID),PubChem Assay ID,True,,,[protocol],[c;u],string,,{ 'group': 'PubChem BioAssay' },,,,,,,1.0
has_screen_result,fields.study,,,/reports/api/v1/field/fields.study/has_screen_result/,999,,True,Whether the study has annotation data,Screen Result Available,True,,screenresult.availability,,,boolean,,,,,TRUE,,,,0.0
screen_id,fields.study,custom,,/reports/api/v1/field/fields.study/screen_id/,999,,True,Internal screen ID,Internal Screen ID,True,,,,,string,,,,,TRUE,,,,0.0
user_access_level_granted,fields.study,custom,,/reports/api/v1/field/fields.study/user_access_level_granted/,402,Dynamically calculated for each Screen the current User is viewing; null if the User is an admin,False,Access level granted for viewing this screen,User Screen Access Level,False,,field.data_access_level,[api],,integer,,,,,TRUE,,,,0.0
