col0,col1,col2
BTK,MO000001936,Btk
MAPK3,MO000004672,ERK1
MAPK1,MO000004677,ERK2
MAPK6,MO000004681,ERK3
MAPK12,MO000004689,p38gamma
MAPK8,MO000007821,JNK1
MAP3K1,MO000009086,MEKK1
MAPKAPK2,MO000009253,MAPKAPK2
MAPK14,MO000009339,p38alpha
MAP2K1,MO000009386,MEK1
NFIC,MO000009772,NF-1C-isoform1
CDC42,MO000016582,Cdc42
MAP3K7,MO000016584,TAK1a
MAP3K7,MO000016585,TAK1b
MAP3K7,MO000016587,TAK1d
EGFR,MO000016677,ErbB1
CDH1,MO000016977,E-cadherin
GSK3B,MO000016989,GSK3beta
AKT1,MO000017421,AKT-1
AXIN1,MO000017512,axin1
RB1,MO000017774,pRb
BTRC,MO000018298,beta-TrCP1
CSNK2A1:CSNK2A2:CSNK2B,MO000018901,CKII-alpha:CKII-alpha2:(CKII-beta)2
CSNK2A1,MO000018902,CKII-alpha
CSNK2B,MO000018903,CKII-beta
CREBBP,MO000019107,CBP-isoform1
UBB,MO000019230,ubiquitin
CBL,MO000019259,c-Cbl
SYK,MO000019262,Syk
IKBKG,MO000019309,IKK-gamma
IKBKB,MO000019310,IKK-beta
NFKBIA,MO000019315,IkappaB-alpha
MAP2K6,MO000019344,MKK6
TRAF6,MO000019352,traf6
RELA,MO000019363,RelA-p65-isoform1
IL6,MO000019424,IL-6
PSMF1,MO000019434,PI31
CUL1,MO000019438,Cul-1
SKP1,MO000019439,Skp1
RBX1,MO000019440,Roc1
CDC34,MO000019454,Cdc34
NEDD8,MO000019455,Nedd8
JUN,MO000019469,c-Jun
PAK1,MO000019481,PAK1
RAC1,MO000019507,Rac1
TP53,MO000019548,p53
MYC,MO000019613,c-Myc-isoform1
GTF2I,MO000019622,TFII-I
FGFR3,MO000019766,FGFR-3
SKP2,MO000019867,Skp2
ELOC,MO000019876,elongin C
UBA1,MO000019948,E1
SUMO1,MO000019973,sumo1
UBE2I,MO000019975,Ubc9
EP300,MO000019985,p300
SAE1,MO000019986,Aos1
UBA2,MO000019987,SAE2
SAE1:UBA2,MO000020004,Aos1:SAE2
CUL1:RBX1:SKP1,MO000020071,Cul-1:Roc1:Skp1
UBE2D1,MO000020073,Ubc5A
CUL1:FBXW11:RBX1:SKP1,MO000020104,Cul-1:beta-TrCP2:Roc1:Skp1
PTPN6,MO000020210,SHP-1
PSMC2,MO000020249,26S proteasome
MAP3K5,MO000020270,ASK1
HRAS,MO000020360,H-Ras
RIPK2,MO000020436,RIP2
ABL1,MO000020628,Abl
PLCG1,MO000020868,PLCgamma1
HSPA1A,MO000021128,Hsp70-1
RAF1,MO000021172,Raf-1
MAP3K7,MO000021242,TAK1
MAP2K4,MO000021423,MKK4
SRC,MO000021478,Src
CDK2,MO000021740,cyclinA:Cdk2
CDK1,MO000021743,Cdk1
CDK1,MO000021748,cyclinB:Cdk1
CHUK:IKBKB,MO000022081,IKK-alpha:IKK-beta
UBE2N,MO000022137,Ubc13
UBE2N:UBE2V1,MO000022140,Ubc13:Uev1
MAPK14,MO000022208,p38alpha
MAP2K6,MO000022211,MKK6
MAP2K7,MO000022227,MKK7
PRKCA,MO000022393,PKCalpha
CDC25C,MO000022399,Cdc25C
CDC25C,MO000022400,Cdc25C
PLK1,MO000022403,plk1
PKMYT1,MO000022408,pkmyt1
CCNB1,MO000022448,cyclinB1
MDM2,MO000023311,mdm2
CDK6,MO000023341,Cdk6
SIRT1,MO000023365,SIRT1
KAT2B,MO000023409,p/CAF
CDC25A,MO000023445,Cdc25A
CDC25B,MO000023447,Cdc25B
CHEK1,MO000023536,Chk1
HDAC3,MO000023578,HDAC3
PPM1D,MO000023642,Wip1
TFAP4,MO000024660,AP-4
CUX1,MO000024708,CDP
NFIC,MO000024750,NF-1C
NFIC,MO000024751,CTF-1
NFIC,MO000024752,CTF-2
RELA,MO000025736,RelA-p65-delta
HIF1A,MO000025800,HIF-1alpha
TCF7L2,MO000026882,TCF-4
MYC,MO000027279,c-Myc-isoform2
MAPK9,MO000030860,JNK2
CHEK2,MO000030895,Chk2
MAP3K2,MO000030900,MEKK2
PIAS1,MO000030911,PIAS1
MAPK8,MO000030998,JNK1alpha1
MAPK9,MO000031000,JNK2alpha-2
MAPK3,MO000031003,ERK1
PLK3,MO000031101,plk3
RPS6KA3,MO000032352,RSK2
KSR1,MO000032436,KSR
UBE2D2,MO000032587,Ubc5B
DUSP4,MO000032652,MKP-2
CSNK2A1:CSNK2A2:CSNK2B:RELA,MO000033264,CKII-alpha:CKII-alpha2:(CKII-beta)2:RelA-p65-isoform1
DUSP3,MO000033404,VHR
MAPK8,MO000033485,JNK1beta1
MAPK10,MO000033978,JNK3
VHL,MO000034177,VHL
CUL2,MO000034271,Cul-2
MAPK1,MO000034342,ERK2
PKN1,MO000034393,PRK1
AKT1,MO000034546,AKT-1
PTEN,MO000034818,PTEN
RAD23A,MO000035206,Rad23A
RPS6KA5,MO000036634,MSK1
KAT5,MO000037844,Tip60
CUL4A:DDB1:DET1:RBX1:RFWD2,MO000041838,Roc1:CUL4A:DDB1:DET1:COP1
DVL2,MO000042756,Dvl-2
PAK2,MO000042946,pak2
SNCA,MO000044264,alpha-synuclein
PRKN,MO000044267,parkin
SNCAIP,MO000044295,Synphilin-1
UCHL1,MO000044611,UCH-L1
MYC,MO000056483,20S proteasome
PSMB8,MO000056483,c-Myc
KAT2B,MO000056491,p/CAF
MDM2,MO000056625,mdm2-isoform1
EP300,MO000056654,p300
HDAC1,MO000056714,HDAC1
RAF1,MO000057036,Raf-1-isoform1
RPS6KA5,MO000057454,MSK1-isoform1
GSK3B,MO000057456,GSK3beta-isoform1
CREBBP,MO000057745,CBP
KAT2A,MO000057783,GCN5-L
COMMD1,MO000058234,Murr1
JUN,MO000058322,c-Jun
AKT1,MO000058481,AKT-1-isoform1
SKP1,MO000059278,Skp1-isoform1
JAK2,MO000059825,Jak2
COMMD1,MO000059898,Murr1
IKBKB,MO000060068,IKK-beta-isoform1
CHUK,MO000060084,IKK-alpha
PIAS2,MO000060747,PIAS2
CTGF,MO000064865,CTGF
STAU1,MO000065171,STAU1
OGT,MO000068035,OGT
AKT1,MO000077678,AKT-1
ABL1,MO000078217,ABL-1a
NFYC,MO000079072,NF-YC
UBE2I,MO000079234,Ubc9
PIAS1,MO000079236,PIAS1-isoform1
RELA,MO000079319,RelA-p65
RELA,MO000079350,RelA-p65-delta2
