col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
1|AL|Alabama|291||,,,,,,,,,,,,,,
2|AK|Alaska|6||,,,,,,,,,,,,,,
3|AB|Alberta|1||,,,,,,,,,,,,,,
4|AR|Arkansas|291||,,,,,,,,,,,,,,
5|AZ|Arizona|291||,,,,,,,,,,,,,,
6|BC|British Columbia|1||,,,,,,,,,,,,,,
7|CO|Colorado|291||,,,,,,,,,,,,,,
8|CT|Connecticut|291||,,,,,,,,,,,,,,
9|DE|Delaware|291||,,,,,,,,,,,,,,
10|EB|East Bay|291||,,,,,,,,,,,,,,
11|EMA|Eastern Massachusetts|291||,,,,,,,,,,,,,,
12|ENY|Eastern New York|291||,,,,,,,,,,,,,,
13|EPA|Eastern Pennsylvania|291||,,,,,,,,,,,,,,
14|EWA|Eastern Washington|291||,,,,,,,,,,,,,,
15|GA|Georgia|291||2012/09/01,,,,,,,,,,,,,,
16|GTA|Greater Toronto Area|1|2012/09/01|,,,,,,,,,,,,,,
17|ID|Idaho|291||,,,,,,,,,,,,,,
18|IL|Illinois|291||,,,,,,,,,,,,,,
19|IN|Indiana|291||,,,,,,,,,,,,,,
20|IA|Iowa|291||,,,,,,,,,,,,,,
21|KS|Kansas|291||,,,,,,,,,,,,,,
22|KY|Kentucky|291||,,,,,,,,,,,,,,
23|LAX|Los Angeles|291||,,,,,,,,,,,,,,
24|LA|Louisiana|291||,,,,,,,,,,,,,,
25|ME|Maine|291||,,,,,,,,,,,,,,
26|MB|Manitoba|1||,,,,,,,,,,,,,,
27|MAR|Maritime|1||,,,,,,,,,,,,,,
28|MDC|Maryland-DC|291||,,,,,,,,,,,,,,
29|MI|Michigan|291||,,,,,,,,,,,,,,
30|MN|Minnesota|291||,,,,,,,,,,,,,,
31|MS|Mississippi|291||,,,,,,,,,,,,,,
32|MO|Missouri|291||,,,,,,,,,,,,,,
33|MT|Montana|291||,,,,,,,,,,,,,,
34|NE|Nebraska|291||,,,,,,,,,,,,,,
35|NV|Nevada|291||,,,,,,,,,,,,,,
36|NH|New Hampshire|291||,,,,,,,,,,,,,,
37|NM|New Mexico|291||,,,,,,,,,,,,,,
38|NLI|New York City-Long Island|291||,,,,,,,,,,,,,,
39|NL|Newfoundland/Labrador|1||,,,,,,,,,,,,,,
40|NC|North Carolina|291||,,,,,,,,,,,,,,
41|ND|North Dakota|291||,,,,,,,,,,,,,,
42|NTX|North Texas|291||,,,,,,,,,,,,,,
43|NFL|Northern Florida|291||,,,,,,,,,,,,,,
44|NNJ|Northern New Jersey|291||,,,,,,,,,,,,,,
45|NNY|Northern New York|291||2003/11/01,,,,,,,,,,,,,,
46|NT|Northwest Territories/Yukon/Nunavut|1|2003/11/01|,,,,,,,,,,,,,,
47|NWT|Northwest Territories/Yukon/Nunavut (replaced by NT)|1||,,,,,,,,,,,,,,
48|OH|Ohio|291||,,,,,,,,,,,,,,
49|OK|Oklahoma|291||,,,,,,,,,,,,,,
"50|ON|Ontario (replaced by GTA, ONE, ONN, and ONS)|1||2012/09/01",,,,,,,,,,,,,,
51|ONE|Ontario East|1|2012/09/01|2012/09/01,,,,,,,,,,,,,,
52|ONN|Ontario North|1|2012/09/01|2012/09/01,,,,,,,,,,,,,,
53|ONS|Ontario South|1|2012/09/01|,,,,,,,,,,,,,,
54|ORG|Orange|291||,,,,,,,,,,,,,,
55|OR|Oregon|291||,,,,,,,,,,,,,,
56|PAC|Pacific|9||,,,,,,,,,,,,,,
57|PAC|Pacific|20||,,,,,,,,,,,,,,
58|PAC|Pacific|103||,,,,,,,,,,,,,,
