col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,21900645,1610612760,OKC,Oklahoma City,1628983,Shai Gilgeous-Alexander,F,,6:19,109.3,106.7,163.2,166.7,-53.9,-60.0,0.0,0.0,0.0,0.0,0.667,0.222,0.0,0.0,0.0,0.0,0.0,113.86,114.01,95.01,15,0.052
1,21900645,1610612760,OKC,Oklahoma City,201568,Danilo Gallinari,F,,7:15,123.8,123.5,155.9,158.8,-32.1,-35.3,0.0,0.0,0.0,0.0,0.25,0.1,20.0,0.0,0.532,0.278,0.278,113.5,112.58,93.81,17,0.044
2,21900645,1610612760,OKC,Oklahoma City,1629652,Luguentz Dort,G,,7:40,123.8,123.5,147.4,150.0,-23.6,-26.5,0.0,0.0,0.0,0.167,0.0,0.091,0.0,0.667,0.727,0.167,0.167,110.47,109.59,91.32,17,0.08
3,21900645,1610612760,OKC,Oklahoma City,101108,Chris Paul,G,,9:58,163.6,159.1,129.3,136.4,34.2,22.7,0.25,1.0,9.1,0.0,0.0,0.0,9.1,1.071,1.087,0.435,0.446,107.42,105.97,88.31,22,0.353
4,21900645,1610612760,OKC,Oklahoma City,203488,Mike Muscala,,,2:16,0.0,0.0,165.4,180.0,-165.4,-180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,99.95,105.88,88.24,5,-0.235
5,21900645,1610612760,OKC,Oklahoma City,203471,Dennis Schroder,,,11:57,137.8,140.0,141.1,150.0,-3.3,-10.0,0.125,1.0,20.0,0.0,0.091,0.053,20.0,1.0,1.0,0.154,0.152,106.54,102.44,85.37,25,0.09
6,21900645,1610612760,OKC,Oklahoma City,1629647,Darius Bazley,,,5:21,176.6,190.0,123.7,140.0,52.9,50.0,0.0,0.0,0.0,0.0,0.286,0.222,0.0,0.0,0.0,0.0,0.0,99.05,89.72,74.77,10,0.103
7,21900645,1610612760,OKC,Oklahoma City,1628977,Hamidou Diallo,,,4:17,165.9,175.0,128.8,150.0,37.1,25.0,0.2,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.118,99.51,89.65,74.71,8,-0.087
8,21900645,1610612760,OKC,Oklahoma City,1629126,Deonte Burton,,,4:42,165.9,155.6,116.3,133.3,49.6,22.2,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.222,0.237,95.8,91.91,76.6,9,-0.023
9,21900645,1610612745,HOU,Houston,203463,Ben McLemore,F,,3:21,130.8,128.6,180.4,200.0,-49.6,-71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.125,0.145,104.88,100.3,83.58,7,0.0
10,21900645,1610612745,HOU,Houston,200782,P.J. Tucker,F,,9:57,140.6,145.5,142.3,142.9,-1.7,2.6,0.077,0.5,33.3,0.222,0.0,0.125,66.7,0.0,0.0,0.08,0.078,105.76,103.74,86.45,22,-0.017
11,21900645,1610612745,HOU,Houston,203991,Clint Capela,C,,6:07,154.9,169.2,123.5,123.1,31.5,46.2,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.667,0.667,0.214,0.211,106.57,102.02,85.01,13,0.063
12,21900645,1610612745,HOU,Houston,201935,James Harden,G,,8:36,150.9,160.0,110.8,110.5,40.2,49.5,0.333,0.0,27.3,0.0,0.143,0.077,0.0,0.583,0.671,0.381,0.377,112.1,108.86,90.72,20,0.253
13,21900645,1610612745,HOU,Houston,201566,Russell Westbrook,G,,9:41,135.1,142.9,163.6,166.7,-28.4,-23.8,0.571,4.0,44.4,0.111,0.6,0.286,11.1,1.0,0.901,0.2,0.198,108.08,104.11,86.76,21,0.231
14,21900645,1610612745,HOU,Houston,201569,Eric Gordon,,,9:57,140.6,145.5,142.3,142.9,-1.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.12,0.116,105.76,103.74,86.45,22,0.017
15,21900645,1610612745,HOU,Houston,1627863,Danuel House Jr.,,,10:06,138.9,150.0,115.6,114.3,23.3,35.7,0.0,0.0,0.0,0.0,0.0,0.0,16.7,1.0,1.0,0.231,0.224,105.81,102.2,85.16,22,0.151
16,21900645,1610612745,HOU,Houston,200757,Thabo Sefolosha,,,2:00,112.6,125.0,166.7,166.7,-54.1,-41.7,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.286,0.269,89.28,84.0,70.0,4,-0.133
