col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67
CHB-1A,1000000,8FC4 (CHB),1000000,1A,1000000,-,1000000,50060E80122DB600,1000000,ON,1000000,Point to Point,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,-,1000000,EF(0),1000015,Disabled,1000000,8G,1000000,,1000000,meta_resource,1000000,0,1000000,0,1000000,32,1000012,32,1000012,2,1000010,2,1000004
CHB-1A,1000001,8FC4 (CHB),1000001,3A,1000004,-,1000001,50060E80122DB620,1000004,ON,1000001,Point to Point,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,-,1000001,E8(1),1000014,Disabled,1000001,8G,1000001,,1000001,meta_resource,1000001,0,1000001,0,1000001,32,1000013,32,1000013,2,1000011,2,1000005
CHB-1A,1000002,8FC4 (CHB),1000002,5A,1000008,-,1000002,50060E80122DB640,1000008,ON,1000002,Point to Point,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,-,1000002,E4(2),1000013,Disabled,1000002,8G,1000002,,1000002,meta_resource,1000002,0,1000002,0,1000002,6,1000008,6,1000008,1,1000004,2,1000006
CHB-1A,1000003,8FC4 (CHB),1000003,7A,1000012,-,1000003,50060E80122DB660,1000012,ON,1000003,Point to Point,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,-,1000003,E2(3),1000012,Disabled,1000003,8G,1000003,,1000003,meta_resource,1000003,0,1000003,0,1000003,0,1000000,0,1000000,0,1000000,0,1000000
CHB-1B,1000004,8FC4 (CHB),1000004,1B,1000001,-,1000004,50060E80122DB601,1000001,ON,1000004,Point to Point,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,-,1000004,E1(4),1000011,Disabled,1000004,8G,1000004,,1000004,meta_resource,1000004,0,1000004,0,1000004,5,1000006,5,1000006,2,1000012,2,1000007
CHB-1B,1000005,8FC4 (CHB),1000005,3B,1000005,-,1000005,50060E80122DB621,1000005,ON,1000005,Point to Point,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,-,1000005,E0(5),1000010,Disabled,1000005,8G,1000005,,1000005,meta_resource,1000005,0,1000005,0,1000005,6,1000009,6,1000009,1,1000005,2,1000008
CHB-1B,1000006,8FC4 (CHB),1000006,5B,1000009,-,1000006,50060E80122DB641,1000009,ON,1000006,Point to Point,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,-,1000006,DC(6),1000009,Disabled,1000006,8G,1000006,,1000006,meta_resource,1000006,0,1000006,0,1000006,3,1000004,3,1000004,1,1000006,2,1000009
CHB-1B,1000007,8FC4 (CHB),1000007,7B,1000013,-,1000007,50060E80122DB661,1000013,ON,1000007,Point to Point,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,-,1000007,DA(7),1000008,Disabled,1000007,8G,1000007,,1000007,meta_resource,1000007,0,1000007,0,1000007,0,1000001,0,1000001,0,1000001,0,1000001
CHB-2A,1000008,8FC4 (CHB),1000008,2A,1000002,-,1000008,50060E80122DB610,1000002,ON,1000008,Point to Point,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,-,1000008,D9(8),1000007,Disabled,1000008,8G,1000008,,1000008,meta_resource,1000008,0,1000008,0,1000008,32,1000014,32,1000014,2,1000013,2,1000010
CHB-2A,1000009,8FC4 (CHB),1000009,4A,1000006,-,1000009,50060E80122DB630,1000006,ON,1000009,Point to Point,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,-,1000009,D6(9),1000006,Disabled,1000009,8G,1000009,,1000009,meta_resource,1000009,0,1000009,0,1000009,32,1000015,32,1000015,2,1000014,2,1000011
