col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25
extramail welcome,Welcome to Extramail | Concluding Month Four ,The Tone,"Sep 18, 2016 08:30 pm",Sunday,399.0,358.0,15.0,26.0,41.0,0.0,0.0,20.0,5.59%,47.0,13.0,3.63%,202.0,0.0,0.0,0.0,0.0,e9bffa721d,0.0,0.0,0.0
Freq Check ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq Check ,,,,,,,,,,,,,,,,,,,,,,,,,
Wabi's MAGFest/Patreon Intro,We need your help with our coverage of MAGFest 2017,The Tone,"Dec 15, 2016 08:30 am",Thursday,571.0,430.0,141.0,0.0,141.0,0.0,0.0,14.0,3.26%,31.0,3.0,0.70%,52.0,0.0,0.0,0.0,0.0,3eeca911c9,0.0,0.0,0.0
Freq Check ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq Check ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq Check ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq Check ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq Check ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Tone,Back to Work/Featured on Anchor,The Tone,"Jun 02, 2017 06:00 am",Friday,624.0,535.0,62.0,27.0,89.0,0.0,0.0,10.0,1.87%,11.0,1.0,0.19%,24.0,0.0,0.0,0.0,0.0,3531bc6a82,0.0,0.0,0.0
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq Check ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
Freq Check ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone Intermission (Hello 2018),We're still here,The Tone,"Feb 09, 2018 07:30 pm",Friday,416.0,343.0,47.0,26.0,73.0,0.0,0.0,13.0,3.79%,33.0,1.0,0.29%,1.0,0.0,0.0,0.0,3985.0,864f88be1c,0.0,0.0,0.0
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone Solo Special,Solo: A Star Wars Story is saturated with bizarrely toxic themes,The Tone,"May 25, 2018 08:00 pm",Friday,355.0,293.0,34.0,28.0,62.0,0.0,0.0,7.0,2.39%,13.0,1.0,0.34%,1.0,1.0,0.0,0.0,0.0,b4b122e10e,0.0,0.0,0.0
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
The Tone ,,,,,,,,,,,,,,,,,,,,,,,,,
