col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43
true;number,of,amount,of,all,payment_rcs,of,all,payments,of,all,players,where,name,of,current,player,=,'Ofira',is,greater,than,1;collNumber;amount,of,all,payment_rcs,of,all,payments,of,a,player,where,currency_id,exists,in,"('Euro','Shekel','Dollar');id\toutputParam@454401469\t8@454401469\t10;1;2",,,,,,,
true;number,of,amount,of,all,payment_rcs,of,all,payments,of,all,players,where,name,of,current,player,=,'Sol',is,greater,than,1;collNumber;amount,of,all,payment_rcs,of,all,payments,of,a,player,where,currency_id,exists,in,"('EURO','DOLLAR');id\toutputParam@657481547\tnull;1;1",,,,,,,
true;highest,current_level,of,all,players,is,equal,to,current_level,of,the,player;collNumber;highest,3,current_level,of,all,players,sorted,from,z,to,a,by,name,grouped,by,country_id;id\toutputParam@603584822\t14@603584822\t11@603584822\t;1;3,,,,,,,,,,,,,,,,,
true;number,of,all,players,where,birthdate,of,current,player,is,after,'01-11-2005',>,1;collDate;birthdate,of,all,players,filter,by,registration_date,is,after,'01-11-2013';id\toutputParam@1777815686\t1972-11-05@1777815686\t1967-10-06;1;2,,,,,,,,,,,,,,,,,,,,,
true;registration_time,of,the,player,is,after,'11:42:50';collTime;registration_time,of,all,players,where,registration_time,is,between,'11:42:49',and,'11:42:52';id\toutputParam@1457543380\t11:42:49@1457543380\t11:42:50@1457543380\t11:42:51;1;3,,,,,,,,,,,,,,,,,,,,,,,,,,,
true;name,of,the,player,is,equal,to,'Arik';collString;name,of,all,players,where,name,starts,with,'A';id\toutputParam@700637089\tAvi@700637089\tArik;1;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true;highest,amount,of,all,payment_rcs,of,all,payments,of,a,player,where,name,of,the,player,is,equal,to,'Sol',is,equal,or,greater,than,50;collString;currency_id,of,all,payment_rcs,of,all,payments,of,a,player,;id\toutputParam@657481547\tShekel@657481547\tShekel;1;2,,,,,,,,
true;player,is,payment_status,and,player,is,not,whale;collString;country_id,of,all,players,where,whale,and,payment_status;id\toutputParam@454401469\tGreece@454401469\tSweden;1;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true;current_level,of,the,player,is,greater,than,18;collString;name,of,all,players,where,current_level,is,greater,than,19;id\toutputParam@603584822\tnull;1;1,,,,,,,,,,,,,,,,,,,,,,,,,,,
true;number,of,duration,of,all,sessions,of,a,player,,is,greater,than,3;collTimespan;duration,of,all,sessions,of,a,player,where,start_time,is,not,in,the,last,3,years;id\toutputParam@657481547\t88634000@657481547\t174980000@657481547\t175034000@657481547\t344208000;1;4,,,,,,,,,,,,,,,
true;earliest,of,2,timestamp,of,all,payments,of,a,player,with,the,highest,current_level,of,the,player,>=,earliest,timestamp,of,all,payments,of,a,player;collTimestamp;timestamp,of,all,payments,of,a,player,where,timestamp,is,after,'05-09-2011';id\toutputParam@1777815686\t2012-10-30,20:44:04.769@454401469\t2011-09-06,20:44:05.51;2;2,,,,,
true;earliest,of,2,timestamp,of,all,payments,of,a,player,with,the,highest,current_level,of,the,player,>=,earliest,timestamp,of,all,payments,of,a,player;collTimestamp;timestamp,of,all,payments,of,a,player,where,timestamp,is,after,'06-09-2011';id\toutputParam@1777815686\t2012-10-30,20:44:04.769@454401469\tnull;2;2,,,,,,
true;number,of,payment_amount_for_player,where,sum_of_player_payments,is,greater,than,50,is,equal,or,greater,than,1;collNumber;payment_amount_for_player;id\toutputParam@1777815686\t57@657481547\t62@657481547\t71;2;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true;number,of,payment_amount_for_player,where,sum_of_player_payments,is,greater,than,50,is,equal,or,greater,than,1;collString;payment_id_of_player;id\toutputParam@1777815686\t40@657481547\t44@657481547\t34;2;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true;current_level,of,the,player,>,17;collNumber;current_level,of,all,players,where,"round(current_level/2.7,",2),>,7;id\toutputParam@603584822\t19@100658735\t19;2;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,problem,in,output...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true;highest,duration,of,all,sessions,of,a,player,where,session_player_id,is,equal,to,'733301192',is,greater,than,1,hours;collTimespan;duration,of,all,sessions,of,a,player;id\toutputParam@733301192\t340596000@733301192\t84969000;1;2,,,,,,,,,,,,,,,,,,,
