col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
assign',,,expression   semicolon,,,,semicolon,,,,,expression   semicolon,expression   semicolon,expression   semicolon,expression   semicolon,expression   semicolon,,,expression   semicolon,,,expression   semicolon,,,,,,,,
assign'',,,,,,,,ϵ,,,,,,,,,,,,,,id as_op assign''',,,,,,,,
assign''',,,,ϵ,,,,ϵ,,,,,,,,,,,,,,expression,,,,,,,,
assign,,,,,,,,,,,,,,,,,,,,,,id    as_op   assign',,,,,,,,
assignment''',,,,,,,,block_left  list   block_right semicolon,,,,,,,,,string   semicolon,,,,,,,,,,,,,
assignment'',,,,,,,semicolon,,,,,,,,,,,,,as_op    assignment''',,,,,,,,,,
assignment',,,,,,,semicolon,,,bracket_left  num   bracket_right  assignment'',,,,,,,,,,as_op    expression   semicolon,,,,,,,,,,
assignment,,const  type    id    assignment'  ,,,,,,,,,,,,,,,,,,,,assign   ,type    id    assignment'  ,,,,,,,
boolean,,,,,,,,,,,,false,true,,,,,,,,,,,,,,,,,
else',,,,,,,,block_left statementList block_right,,,,,,,,,,,,,,,,,,,,_if,,
_else,ϵ,ϵ,,,,,,,ϵ,,,,,,,,,,,,,ϵ,ϵ,ϵ,ϵ,ϵ,ϵ,ϵ,else  else'    ,
expression,,,par_left  expression ,,,,,,,,,value expression'',value expression'',value expression'',value expression'',value expression'',,,log_op  expression,,,value expression''  ,,,,,,,,
 expression'  ,,,,,,,,,,,,expression par_right ,expression par_right ,expression par_right ,expression par_right ,expression par_right ,,,expression par_right ,,,expression par_right ,type   par_right    expression,,,,,,,
expression'',,,,par_right,,,ϵ,ϵ,,bracket_left expression bracket_right expression'',ϵ,,,,,,,op expression,op expression,,op expression,,,,,,,,,
_for,,,,,,,,,,,,,,,,,,,,,,,,for  id as_op value   semicolon  expression   semicolon   id as_op,,,,,,
_foreach,,,,,,,,,,,,,,,,,,,,,,,,,foreach  id colon  id    ,,,,,
if',,,expression  scope,,,,,,,,,expression  scope,expression  scope,expression  scope,expression  scope,expression  scope,,,expression  scope,,,expression  scope,,,,,,,,
_if,,,,,,,,,,,,,,,,,,,,,,,,,,,,if  if'   _else,,
_in,,,,,,,,,,,,,,,,,,,,,,,,,,,in id   semicolon,,,
io,,,,,,,,,,,,,,,,,,,,,,,,,,_out,_in,,,
output,,,expression,,,,,,,,,,,expression,char,expression,string,,,,,expression,,,,,,,,
list',,,,,comma  list,,,,ϵ,,,,,,,,,,,,,,,,,,,,,
list,,,,,,,,,,,,boolean   list'  ,boolean   list'  ,num   list'  ,char   list',float   list',,,,,,,,,,,,,,
loop,,,,,,,,,,,,,,,,,,,,,,,,_for scope,_foreach  scope,,,,,
op,,,,,,,,,,,,,,,,,,ar_op,log_op,,rel_op,,,,,,,,,
_out,,,,,,,,,,,,,,,,,,,,,,,,,,out output   semicolon,,,,
program,,statementList,,,,,,,,,,,,,,,,,,,,statementList,statementList,statementList,statementList,statementList,statementList,statementList,,
scope,,,,,,,,block_left  statementList   block_right,,,,,,,,,,,,,,,,,,,,,,
statement,,assignment,,,,,,,,,,,,,,,,,,,,assignment,assignment,loop,loop,io   ,io   ,_if  ,,
statementList',ϵ,statement    statementList',,,,,,,ϵ,,,,,,,,,,,,,statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',,
statementList,,statement    statementList',,,,,,,,,,,,,,,,,,,,statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',statement    statementList',,
value,,,,,,,,,,,,boolean  ,boolean  ,num,char,float,,,,,,id,,,,,,,,
