col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
1,TV035_001,1,,1,1,0,1980,32.0,0
2,TV035_002,1,,1,1,1981,2000,24.5,0
3,TV035_003,1,,1,1,2001,2900,24.5,0
4,TV035_004,1,,2,2,0,1980,38.0,0
5,TV035_005,1,,2,2,1981,2000,35.0,0
6,TV035_006,1,,2,2,2001,2900,32.0,0
7,TV035_007,1,,3,3,0,1980,38.0,0
8,TV035_008,1,,3,3,1981,2000,35.0,0
9,TV035_009,1,,3,3,2001,2900,35.0,0
10,TV035_010,2,,1,1,0,1980,42.5,0
11,TV035_011,2,,1,1,1981,2000,35.0,0
12,TV035_012,2,,1,1,2001,2900,35.0,0
13,TV035_013,2,,2,2,0,1980,48.5,0
14,TV035_014,2,,2,2,1981,2000,45.5,0
15,TV035_015,2,,2,2,2001,2900,42.5,0
16,TV035_016,2,,3,3,0,1980,48.5,0
17,TV035_017,2,,3,3,1981,2000,45.5,0
18,TV035_018,2,,3,3,2001,2900,45.5,0
19,TV035_019,3,Jusqu'en 1990,1,1,0,1980,53.0,0
20,TV035_020,3,Jusqu'en 1990,1,1,1981,2000,50.0,0
21,TV035_021,3,Jusqu'en 1990,1,1,2001,2900,50.0,0
22,TV035_022,3,Jusqu'en 1990,2,2,0,1980,59.0,0
23,TV035_023,3,Jusqu'en 1990,2,2,1981,2000,56.0,0
24,TV035_024,3,Jusqu'en 1990,2,2,2001,2900,53.0,0
25,TV035_025,3,Jusqu'en 1990,3,3,0,1980,59.0,0
26,TV035_026,3,Jusqu'en 1990,3,3,1981,2000,56.0,0
27,TV035_027,3,Jusqu'en 1990,3,3,2001,2900,56.0,0
28,TV035_028,3,Depuis 1991,1,1,0,1980,49.5,0
29,TV035_029,3,Depuis 1991,1,1,1981,2000,45.0,0
30,TV035_030,3,Depuis 1991,1,1,2001,2900,45.0,0
31,TV035_031,3,Depuis 1991,2,2,0,1980,55.5,0
32,TV035_032,3,Depuis 1991,2,2,1981,2000,52.5,0
33,TV035_033,3,Depuis 1991,2,2,2001,2900,49.5,0
34,TV035_034,3,Depuis 1991,3,3,0,1980,55.5,0
35,TV035_035,3,Depuis 1991,3,3,1981,2000,52.5,0
36,TV035_036,3,Depuis 1991,3,3,2001,2900,52.5,0
