col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0.958026,0.9592445,False,True,False,ebi-a-GCST002245,1,169272451,0.0347,54162,0.5049,Alzheimer's disease (late onset),True,462013,7.00003e-99,0.000751584,1,169272451,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.831682,0.787276,False,False,False,ebi-a-GCST002245,1,169460406,0.0202,54162,0.2904,Alzheimer's disease (late onset),True,462013,7.19946e-18,0.000396966,1,169460406,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.264006,0.266402,False,False,False,ebi-a-GCST002245,11,46378708,0.0212,54162,0.00574,Alzheimer's disease (late onset),True,462013,3.29997e-10,0.000340063,11,46378708,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.238859,0.218688,False,False,False,ebi-a-GCST002245,4,155538470,0.0186,54162,0.9207,Alzheimer's disease (late onset),True,462013,5.19996e-25,0.000345238,4,155538470,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.128113,0.126243,False,True,False,ebi-a-GCST002245,10,71218646,0.0235,54162,0.06724,Alzheimer's disease (late onset),True,462013,2.99985e-17,0.000441677,10,71218646,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.113553,0.128231,False,True,False,ebi-a-GCST002245,1,168969254,0.0248,54162,0.0712,Alzheimer's disease (late onset),True,462013,1.29999e-08,0.000465176,1,168969254,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.741495,0.756461,False,False,False,ebi-a-GCST002245,9,9287321,0.0184,54162,0.4187,Alzheimer's disease (late onset),True,462013,4.90004e-08,0.000338225,9,9287321,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.383533,0.379722,False,False,False,ebi-a-GCST002245,4,187188094,0.0162,54162,0.337,Alzheimer's disease (late onset),True,462013,5.0003500000000005e-29,0.000302847,4,187188094,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.275858,0.292247,False,False,False,ebi-a-GCST002245,8,106583124,0.0174,54162,0.3253,Alzheimer's disease (late onset),True,462013,2.39999e-10,0.000329176,8,106583124,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.3189,0.371769,False,False,False,ebi-a-GCST002245,9,136137106,0.0162,54162,0.9385,Alzheimer's disease (late onset),True,462013,1.10002e-81,0.000315603,9,136137106,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.088016,0.0874751,False,False,False,ebi-a-GCST002245,20,33764554,0.0254,54162,0.1186,Alzheimer's disease (late onset),True,462013,1.7e-10,0.000519359,20,33764554,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
0.252162,0.248509,False,True,False,ebi-a-GCST002245,22,43107837,0.0187,54162,0.3681,Alzheimer's disease (late onset),True,462013,3.09999e-08,0.000340573,22,43107837,ukb-b-11411,Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT) || id:ukb-b-11411,True,reported,igd,2,True
