col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51
AK,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
AL,12,0,2,5,6,4,6,3,4,1,1,12,3,5,3,3,3,2,2,6,3,8,4,4,2,1,5,2,5,3,7,5,4,6,5,3,3,6,4,7,2,4,1,3,5,2,6,6,4,3,4
AR,12,2,0,3,4,2,6,3,4,3,2,12,2,4,2,3,2,2,1,6,3,8,4,3,1,1,4,2,4,2,7,5,2,4,5,3,1,5,4,7,3,3,1,1,3,2,6,5,3,3,3
AZ,12,5,3,0,1,2,8,6,7,6,5,12,4,2,4,5,3,4,3,8,6,10,6,4,3,4,3,5,4,3,9,7,1,1,7,5,2,2,6,9,6,3,4,2,1,5,8,3,5,5,2
CA,12,6,4,1,0,3,9,7,8,7,6,12,5,2,5,6,4,5,4,9,7,11,7,5,4,5,3,6,4,4,10,8,2,1,8,6,3,1,7,10,7,4,5,3,2,6,9,2,6,6,3
CO,12,4,2,2,3,0,7,5,6,5,4,12,2,2,3,4,1,3,3,7,5,9,4,3,2,3,2,4,3,1,8,6,1,2,6,4,1,3,5,8,5,2,3,2,1,4,7,3,3,4,1
CT,12,6,6,8,9,7,0,4,3,7,6,12,6,8,5,4,6,4,7,1,3,3,4,6,5,6,8,5,7,6,2,2,7,9,1,3,6,9,2,1,6,7,5,7,8,4,2,9,5,3,7
DC,12,3,3,6,7,5,4,0,2,4,3,12,4,6,3,3,4,2,4,4,1,6,4,5,3,3,6,2,6,4,5,3,5,7,3,3,4,7,2,5,3,5,2,4,6,1,4,7,4,2,5
DE,12,4,4,7,8,6,3,2,0,5,4,12,5,7,4,3,5,3,5,3,1,5,3,5,4,4,7,3,6,5,4,1,6,8,2,2,5,8,1,4,4,6,3,5,7,2,3,8,4,2,6
FL,12,1,3,6,7,5,7,4,5,0,1,12,4,6,4,4,4,3,3,7,4,9,5,5,3,2,6,2,6,4,8,6,5,7,6,4,4,7,5,8,2,5,2,4,6,3,7,7,5,4,5
