col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
80,Heterischnus ridibunda (Costa),species,Hymenoptera,Ichneumonidae,,,Heterischnus,ridibunda,(Costa),
86,Choeras tedellae (Mar.),species,Hymenoptera,Braconidae,Microgastrinae,,Choeras,tedellae,(Mar.),
482,Scambus brevicornis Gravenhorst,species,Hymenoptera,Ichneumonidae,,,Scambus,brevicornis,Gravenhorst,
487,Microgaster stictica Ruthe,species,,,,,Microgaster,stictica,Ruthe,
487,"Microgaster alebion Nixon, 1968",species,Hymenoptera,Braconidae,,,Microgaster,alebion,"Nixon, 1968",
487,"Oedemopsis scabricula (Gravenhorst, 1829)",species,,Ichneumonidae,Tryphoninae,,Oedemopsis,scabricula,"(Gravenhorst, 1829)",
595,Epiurus bicoloripes Ashmead,species,,,,,Epiurus,bicoloripes,Ashmead,
595,Angitia,genus,,,,,Angitia,,,
595,Campoplex,genus,,,,,Campoplex,,,
595,Hemiteles,genus,,,,,Hemiteles,,,
603,Elfia,genus,,,,,Elfia,,,
603,Hyalomyodes triangulifer (Loew),species,Diptera,Tachinidae,,,Hyalomyodes,triangulifer,(Loew),
603,Angitia platyptiliae Cushman,species,,,,,Angitia,platyptiliae,Cushman,
603,Gelis,genus,,,,,Gelis,,,
603,Dibrachys cavus (Walker),species,,,,,Dibrachys,cavus,(Walker),
603,Epiurus bicoloripes Ashmead,species,,,,,Epiurus,bicoloripes,Ashmead,
603,Phaeogenes,genus,,,,,Phaeogenes,,,
603,Pachyneuron allograptae Ashmead,species,,,,,Pachyneuron,allograptae,Ashmead,
603,Colpognathus helvus (Cresson),species,,,,,Colpognathus,helvus,(Cresson),
603,Microbracon nevadensis (Ashmead),species,,,,,Microbracon,nevadensis,(Ashmead),
603,Hyalomyodes triangulifera Loew,species,,,,,Hyalomyodes,triangulifera,Loew,
603,Lispidae,genus,,,,,Lispidae,,,
603,Plectops,genus,Hymenoptera,,,,Plectops,,,
778,Posocentrus,genus,,,,,Posocentrus,,,
778,Hesperauximus sternitzkii Gertsch,species,Hymenoptera,Ichneumonidae,,,Hesperauximus,sternitzkii,Gertsch,
798,Pristomerus hawaiiensis Perkins.,species,,,,,Pristomerus,hawaiiensis,Perkins.,
842,Horogenes blackburni (Cameron),species,,,,,Horogenes,blackburni,(Cameron),
842,Hyposoter exiguae (Viereck),species,,,,,Hyposoter,exiguae,(Viereck),
954,Heterischnus bicolorator Aubert,species,Hymenoptera,Ichneumonidae,,Phaeogenini,Heterischnus,bicolorator,Aubert,
1297,Heterischnus huardi (Prov.),species,,,,,Heterischnus,huardi,(Prov.),
1297,Campopleginae,subfamily,,,Campopleginae,,,,,
1297,Apanteles insignis Muesebeck,species,Hymenoptera,,,,Apanteles,insignis,Muesebeck,
1322,Trigonospila brevifacies (Hardy),species,Diptera,Tachinidae,,,Trigonospila,brevifacies,(Hardy),
1431,Actia panamensis Curran,species,Diptera,Tachinidae,,,Actia,panamensis,Curran,
1445,Conura quadrilineata Cameron,species,,Chalcididae,,,Conura,quadrilineata,Cameron,
1486,Apanteles spurius Wesm.,species,,,,,Apanteles,spurius,Wesm.,
1486,Sinophorus turionus (Ratzeburg),species,,,,,Sinophorus,turionus,(Ratzeburg),
1486,Scambus brevicornis Gravenhorst,species,,Ichneumonidae,,,Scambus,brevicornis,Gravenhorst,
1486,Pseudoperichaeta palesoidea (R.D.),species,,Tachinidae,,,Pseudoperichaeta,palesoidea,(R.D.),
1497,Heterischnus filiformis Gravenhorst,species,Hymenoptera,Ichneumonidae,,Phaeogenini,Heterischnus,filiformis,Gravenhorst,
1503,Aleiodes pterophorae (Col d'Ey) (Det. C van Achterberg),species,,,,,Aleiodes,pterophorae,(Col d'Ey) (Det. C van Achterberg),spec. nov.
