col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52
902,毁灭之刃,,,,,,,,,,,,,,,,16712190,701581,701574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
903,毁灭之刃,,,,,,,,,,,,,,,,16712190,701582,701575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
904,毁灭之刃,,,,,,,,,,,,,,,,16712190,701583,701576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
905,毁灭之刃,,,,,,,,,,,,,,,,16712190,701584,701577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
906,毁灭之刃,,,,,,,,,,,,,,,,16712190,701585,701578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
907,毁灭之刃,,,,,,,,,,,,,,,,16712190,701586,701579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
908,毁灭之刃,,,,,,,,,,,,,,,,16712190,701587,701580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
909,埃辛诺斯战刃,,,,,,,,,,,,,,,,16712190,701609,701602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
910,埃辛诺斯战刃,,,,,,,,,,,,,,,,16712190,701610,701603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
911,埃辛诺斯战刃,,,,,,,,,,,,,,,,16712190,701611,701604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
912,埃辛诺斯战刃,,,,,,,,,,,,,,,,16712190,701612,701605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
913,埃辛诺斯战刃,,,,,,,,,,,,,,,,16712190,701613,701606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
914,埃辛诺斯战刃,,,,,,,,,,,,,,,,16712190,701614,701607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
915,埃辛诺斯战刃,,,,,,,,,,,,,,,,16712190,701615,701608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434,41433,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
