col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
1,VTE,Ventes,1,False,False,Facture client,True,False,,1,1,110.0
2,AVR,Avoirs,2,False,False,Avoir client,True,False,,1,1,111.0
3,ACH,Achats,4,False,False,Facture fournisseur,True,False,,1,1,112.0
4,AVRF,Avoirs achats,2,False,False,Avoir fournisseur ,True,False,,1,1,113.0
5,ENC_ESP,Encaissement en espèces,3,False,True,Encaissement ,True,False,,1,1,115.0
6,ENC_CHQ,Encaissement par chèque,3,True,False,Encaissement ,True,False,,1,1,116.0
7,ENC_CB,Encaissement par CB,3,False,False,Encaissement ,True,False,,1,1,117.0
8,ENC_WEB,Encaissement par internet,3,False,False,Encaissement ,True,False,,1,1,118.0
9,ENC_TIP,Encaissement par TIP,3,True,False,Encaissement ,True,False,,1,1,119.0
10,ENC_TEC,Encaissement par TIP + chèques,3,True,False,Encaissement ,True,False,,1,1,120.0
11,ENC_VIR,Encaissement par virement,3,True,False,Encaissement ,True,False,,1,1,121.0
12,ENC_PRE,Encaissement par prélèvement,3,False,False,Encaissement ,True,False,,1,1,122.0
13,ENC_OTH,Encaissement autres,3,False,False,Encaissement ,True,False,,1,1,123.0
14,RBT_CLT,Remboursement client EUR,3,False,False,Remboursement ,True,False,,1,1,125.0
15,DEC_ESP,Décaissement en espèces,3,True,True,Décaissement ,True,False,,1,1,126.0
16,DEC_CHQ,Décaissement par chèque,3,True,False,Décaissement ,True,False,,1,1,127.0
17,DEC_CB,Décaissement par CB,3,True,False,Décaissement ,True,False,,1,1,128.0
18,DEC_TIP,Décaissement par TIP,3,True,False,Décaissement ,True,False,,1,1,129.0
19,DEC_VIR,Décaissement par virement,3,True,False,Décaissement ,True,False,,1,1,130.0
20,DEC_PRE,Décaissement par prélèvement,3,True,False,Décaissement ,True,False,,1,1,131.0
21,DEC_OTH,Décaissement autres,3,True,False,Décaissement ,True,False,,1,1,132.0
22,APU_TP,Apurements des trop perçus,3,True,False,,False,False,,1,1,135.0
23,OD_AUTO,O.D. automatique sur facturation ou règlement,3,False,False,,False,False,,1,1,133.0
24,OD_MAN,O.D. manuelles,3,False,False,,False,False,,1,1,134.0
25,REJ_BNQ,Rejet opérations bancaires,3,False,False,Rejet ,True,False,,1,1,
26,ECHMENSU,Echéances de mensualisation,3,False,False,Echéance ,True,False,,1,1,
27,TECH,Technique,5,False,False,,False,True,,1,1,
28,IRRECOUV,Irrécouvrables,4,False,False,,False,False,,1,1,109.0
29,NDF,Notes de frais,4,False,False,NDF ,True,False,,1,1,
