col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32
shot,efe94c95-a734-4094-b0aa-730e07ec6aa3,622,1,00:10:43.530,10,43,14,Levante,From Throw In,,Levante,Valmiro Lópes Rocha,Right Wing,0.124937,,0.51624995,daad1d91-598a-4d90-b387-3f9f19e6d07a,Head,Open Play,Wayward,Diving Header,,,,,,,114.4,38.0,100.7,78.9,
shot,3c31123c-4eb6-41a4-9bc1-a839223a5392,631,1,00:10:52.833,10,52,14,Levante,From Throw In,,Levante,Valmiro Lópes Rocha,Right Wing,1.195439,True,0.020280924,3e9241a7-bab5-496c-9a61-8650b2688845,Head,Open Play,Saved,Normal,,,,,,,107.3,41.6,119.7,40.1,1.1
shot,62d10105-2294-4c46-b558-0a998ddd19e8,950,1,00:16:29.495,16,29,26,Levante,Regular Play,,Levante,Francisco Sebastián Nadal Martorell,Left Wing,1.658743,,0.060593843,42e78fcf-16fe-4660-9039-812abe0199a6,Right Foot,Open Play,Off T,Normal,True,,,,,,97.4,41.8,120.0,34.8,0.2
shot,6f4223c6-ffe6-4654-8174-42f2158ce911,1147,1,00:20:10.569,20,10,33,Levante,From Throw In,,Levante,Xavier Torres Buigues,Left Center Midfield,1.0845,,0.014548835,,Right Foot,Open Play,Off T,Half Volley,True,,,,,,95.9,29.4,120.0,33.9,0.4
shot,a38679df-dacb-410c-b5ee-668eea7f902f,1444,1,00:27:17.244,27,17,45,Barcelona,From Free Kick,,Barcelona,Seydou Kéita,Left Center Midfield,1.112414,True,0.04111547,b0cd7ac3-4d60-48a4-b970-7eb56d1ca2c3,Head,Open Play,Goal,Normal,,,,True,,,103.8,32.2,120.0,36.7,1.4
shot,ab66b3d2-dbc3-48cb-bd5c-df971addf8c5,1534,1,00:29:59.452,29,59,49,Levante,From Throw In,,Levante,Miguel Pallardó González,Center Defensive Midfield,0.1829,,0.0074643414,,Right Foot,Open Play,Blocked,Half Volley,True,,,,,,86.4,33.6,89.8,34.1,
shot,ac89be88-8db8-4166-896d-7841e6537bf1,1545,1,00:30:08.509,30,8,49,Levante,From Throw In,,Levante,Felipe Salvador Caicedo Corozo,Center Forward,0.0537,True,0.07717103,2bfd0335-d392-4129-8088-5ef476a2c7af,Head,Open Play,Blocked,Normal,,,,,,,112.5,39.2,113.1,39.5,
shot,624e0da5-f3e7-4dac-9ea9-0bebcb1c8cbe,1883,1,00:36:12.087,36,12,60,Barcelona,Regular Play,,Barcelona,Eric-Sylvain Bilal Abidal,Left Back,1.014655,,0.032462124,ff727c73-c87c-4af5-8fe9-4b95d4d6cf87,Left Foot,Open Play,Saved,Normal,,,,,,,92.4,27.6,117.1,38.2,0.2
shot,ba29a08b-1290-4c62-b31d-8cdc43f1b375,2008,1,00:38:28.936,38,28,66,Barcelona,Regular Play,,Barcelona,David Villa Sánchez,Right Wing,1.325766,,0.0149852075,e8999c64-f688-4ec1-ab36-2ff83255d0e6,Right Foot,Open Play,Off T,Normal,True,,,,,,100.3,19.6,120.0,46.2,0.9
shot,d7b80a8d-384a-4e95-aa65-81ab348dabfc,2103,1,00:40:16.997,40,16,69,Barcelona,From Free Kick,,Levante,Felipe Salvador Caicedo Corozo,Center Forward,1.3338,,0.5454635,,Right Foot,Open Play,Goal,Normal,,,,True,,,111.4,53.0,120.0,42.2,0.2
shot,b476d344-1405-4759-8f5a-306e7526cb75,2192,1,00:43:50.779,43,50,75,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,1.401137,,0.059686966,,Left Foot,Free Kick,Off T,Normal,,,,,,,91.2,42.7,120.0,44.9,2.3
shot,cf627f3c-6ebd-4130-b6aa-edeb3750dea3,2215,1,00:44:53.609,44,53,78,Levante,Regular Play,,Levante,Felipe Salvador Caicedo Corozo,Center Forward,0.3932,,0.16821216,3b4e1093-ae02-4fc0-86d9-0e8dbc947e1b,Left Foot,Open Play,Blocked,Normal,,,,,,,103.8,39.3,109.8,36.7,
shot,2b2129c2-9c98-49fa-a7cf-083f5e9415a4,2568,2,00:04:25.502,49,25,88,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,0.1039,,0.115862064,b9387213-9ada-4528-ba9d-409105313fd5,Left Foot,Open Play,Blocked,Normal,,,,,,,106.3,31.5,107.6,32.4,
shot,65abe973-c7d2-4dda-895a-df76d42ea604,2749,2,00:07:24.597,52,24,89,Barcelona,From Corner,,Barcelona,Ibrahim Afellay,Left Wing,1.412,True,0.016982237,8ada33af-87af-4dc7-a600-56ee6a47d705,Left Foot,Open Play,Off T,Normal,,,,,,,88.1,40.9,120.0,46.2,1.3
shot,ab40e923-9b95-4e03-8edf-b9948a4f4995,3006,2,00:12:12.208,57,12,99,Barcelona,From Throw In,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,0.5995,,0.5332679,d4be1812-6d78-4357-bed4-5392b4a43bf9,Left Foot,Open Play,Post,Normal,,,,True,,,108.9,36.9,119.9,35.9,0.2
shot,ff8c7d5e-9a4d-4549-8baa-dbc66ef1f460,3013,2,00:12:54.035,57,54,100,Barcelona,From Corner,,Barcelona,Sergio Busquets i Burgos,Center Defensive Midfield,1.801817,,0.010582734,,Right Foot,Open Play,Off T,Half Volley,True,,,,,,93.2,37.5,120.0,31.2,0.5
shot,bfa3d61f-084e-4ffa-85bb-9cafd7393e49,3403,2,00:23:11.443,68,11,114,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,1.196872,,0.054928083,,Left Foot,Free Kick,Off T,Normal,,,,,,,108.1,63.6,119.9,40.9,4.2
shot,33e9c9e8-1b2f-47ac-a297-dbc5378d43ec,3579,2,00:26:23.538,71,23,118,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,0.081,,0.047237165,99d6165c-87ce-400c-bc40-a9b596447084,Left Foot,Open Play,Blocked,Normal,,,,,,,99.7,35.8,101.7,36.3,
