col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
1,ES_1,Gniuli2008,Gniuli2008F0,Gniuli_Vettor,Both,Mouse,Swiss,Female,1,120,30.1,45.5,9.1,25,27.3,1.48,7.4,25,,Sample Estimated,-0.0976384695639161,0.0915183167737052,-3.32803176861697,0.133184983440372
2,ES_2,Adedeji2019,Adedeji2019F0,Adedeji_Olapade-Olaopa,Multigenerational,Rat,Wistar,Male,1,84,228.2,22.4521713871955,7.1,10,270.5,1.23328828746567,3.9,10,Table 1,,0.170049660858561,0.0009701011366252,-3.07175298476427,0.112081212247736
3,ES_3,CastroBarbosa2016,Barbosa2016F0,CastroBarbosa_Zierath_Barres,Multigenerational,Rat,SD,Male,1,112,563.7,50.9823498869952,11.4,20,628.9,3.39535286128431,14.8,19,Supp,,0.109450066461928,0.0004105249863961,-2.81705987914843,0.0545040922378581
4,ES_4,Ding2014,Ding2014F0,Hunag_Zheng,Multigenerational,Mouse,C57BL/6,Female,1,270,24.411704,1.53,0.51,9,40.756044,1.3620283,4.0860849,9,Fig 1,Sample Estimated,0.512541458282696,0.00056055226156,-0.628834207908331,0.12556055226156
5,ES_5,Dunn2009,Dunn2009F0,Dunn_Bale,Multigenerational,Mouse,C57BL/6,Female,1,56,18.303,1.79355094714368,0.435,17,20.05,0.130586369885988,0.584,20,Table 1,,0.0911641729147532,0.0005669720501527,-2.71601624050663,0.058132761523837
6,ES_6,Giraudo2010,Giraudo2010F0,Giraudo_Baile,Multigenerational,Mouse,C57BL/6,Female,1,98,33.053435,1.6157259309001,0.610687,7,37.633588,0.461635980257172,1.221374,7,,Sample Size and Age Estimated,0.129771455183917,0.0003628489578037,-1.38253442367928,0.16702951562447
7,ES_7,Huang2017,Huang2017F0,Huang_Dong,Multigenerational,Rat,SD,Female,1,77,231.7,42.932505167996,19.2,5,248.8,3.89075828084963,8.7,5,Table 2,,0.071205929426694,0.0069156466272706,-2.47223109523399,0.256915646627271
8,ES_8,Li2012,Li2012F0,Hunag_Zheng,Multigenerational,Mouse,C57BL/6,Male,1,90,24.9,1.59,0.53,9,35.4,2.91,0.966666666666667,9,Table 1,Sample Size and Age Estimated,0.351844016669067,0.0012038791309354,0.252575048282194,0.126203879130935
9,ES_9,Masuyama2015,Masuyama2015F0A,Masuyama_Hiramatsu,Multigenerational,Mouse,ICR,Female,1,104,35.0,6.8585712797929,2.8,6,55.6,10.2878569196893,4.2,6,Table 1,,0.462835139767123,0.0121062263857978,-0.0573700316589635,0.212106226385798
10,ES_10,Nasu2007,Nasu2007F0,Nasu_Kohama,Multigenerational,Rat,Wistar,Female,1,106,240.0,34.1,19.6876441793662,3,251.0,15.9,7.95,4,Table 3,,0.0448140157897926,0.0077324228989678,-0.891125624186411,0.424399089565634
11,ES_11,Fullston2012,Fullston2012F0m,Fullston_Lane,One off,Mouse,C57BL/6,Male,1,119,35.1,2.24,0.56,16,37.3,0.17,0.68,16,,,0.0607921961779496,0.0002558416440222,-2.63922490397677,0.0669225083106889
12,ES_12,Fullston2012,Fullston2012F0f,Fullston_Lane,One off,Mouse,C57BL/6,Female,2,119,32.7,3.32,0.83,16,36.2,0.175,0.7,16,,,0.101684040928518,0.0006457199006662,-3.04461812891554,0.0673123865673329
13,ES_13,Graus-Nunes2015,Graus-Nunes2015F0,Graus-Nunes_Souza-Mello,One off,Mouse,C57BL/6,Female,1,84,27.99,0.822192191643779,0.26,10,32.36,0.202385770250776,0.64,10,Table 1,,0.145075788662929,9.01976080118e-05,-1.54687433631879,0.111201308719123
14,ES_14,King2013,King2013F0,King_Dakin_Liu_Drake,One off,Mouse,C57BL/6,Female,1,119,23.32,1.15126017910809,0.47,6,35.18,0.461320568224165,1.13,6,Table 1,,0.411166377827121,0.0004348578995214,-1.32568563005289,0.200434857899521
15,ES_15,Masuyama2015,Masuyama2015F0B,Masuyama_Hiramatsu,One off,Mouse,ICR,Female,1,104,35.0,6.8585712797929,2.8,6,41.8,9.06311204829776,3.7,6,Table 1,,0.177548278041297,0.0142352143952748,0.101165124427724,0.214235214395275
16,ES_16,Park2018,Park2018F0,Park_Lindroth_Park,One off,Mouse,C57BL/6,Male,1,175,36.14035,4.29735,1.754386,6,48.24561,4.29735,1.754386,6,Fig 1,,0.288894869512468,0.0036788034287456,-0.288894869512468,0.203678803428746
17,ES_17,Barbosa2020,Barbosa2020F0f,Barbosa_Alzamora,One off,Rat,Fischer,Female,1,118,243.0,8.52422430488546,3.48,6,287.0,14.3050200978538,5.84,6,Results,,0.166420772419073,0.0006191493745226,0.351277730634683,0.200619149374523
18,ES_18,Barbosa2020,Barbosa2020F0m,Barbosa_Alzamora,One off,Rat,Fischer,Male,2,100,310.0,13.0107647738325,4.6,8,335.0,20.3722850951973,7.7,7,Results,,0.0775582343458744,0.0007485009604933,0.382744856611211,0.155510405722398
19,ES_19,MartinsTerra2019,MartinsTerra2019F0,MartinsTerra_Peters,One off,Rat,Wistar,Female,1,120,181.1,9.93,3.31,9,196.8,11.7,3.9,9,Table 2,,0.0831386197287854,0.0007267722431953,0.0808897440178438,0.125726772243195
20,ES_20,Zhang2019,Zhang2019F0,Zhang_Dong_Sun_Li_Hocher,Multigenerational,Rat,SD,Male,1,126,562.6,32.5330601081423,8.4,15,539.6,15.8792317194504,4.1,15,Table 2,,-0.0417407717221556,0.000280658136026,-0.675503960416851,0.0717092295645975
21,ES_21,Andreas2019,Andreas2019F0,Andreas_Moley,One off,Rat,Wistar,Female,1,28,12.26,1.916,0.4515,18,12.04,1.414,0.3161,20,Author,,-0.0181074906273904,0.0020464974160995,-0.288805596679096,0.0577740515956662
22,ES_22,Andreas2019,Andreas2019F0,Andreas_Moley,One off,Rat,Wistar,Female,1,35,15.62,1.121,0.2643,18,16.5,0.9934,0.2221,20,Author,,0.0548082364949952,0.0004673772270671,-0.178747232126103,0.0561949314066337
23,ES_23,Andreas2019,Andreas2019F0,Andreas_Moley,One off,Rat,Wistar,Female,1,42,17.02,0.9357,0.2206,18,18.25,1.056,0.2361,20,Author,,0.0697759568832724,0.0003353183820723,0.048076619868869,0.0560628725616389
24,ES_24,Andreas2019,Andreas2019F0,Andreas_Moley,One off,Rat,Wistar,Female,1,49,17.88,0.9558,0.2253,18,19.33,1.378,0.3081,20,Author,,0.0779755234748713,0.0004128547120461,0.284768266722476,0.0561404088916127
25,ES_25,Andreas2019,Andreas2019F0,Andreas_Moley,One off,Rat,Wistar,Female,1,56,18.4,0.9647,0.2274,18,20.71,1.894,0.4234,20,Author,,0.118266010792553,0.0005708993961919,0.553267115544764,0.0562984535757585
26,ES_26,Andreas2019,Andreas2019F0,Andreas_Moley,One off,Rat,Wistar,Female,1,63,18.99,1.217,0.2868,18,21.95,2.656,0.5939,20,Author,,0.144854614696986,0.0009602476571983,0.632481827679613,0.0566878018367649
27,ES_27,Andreas2019,Andreas2019F0,Andreas_Moley,One off,Rat,Wistar,Female,1,70,19.68,1.043,0.2458,18,23.51,3.15,0.7044,20,Author,,0.177822970927871,0.0010536498070794,0.924382330658837,0.056781203986646
