col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
a0037000000wjFUAAY,00537000000E0b4AAC,False,Sandwich,2015-07-02T17:33:34.000Z,00537000000E0b4AAC,2015-07-03T23:55:39.000Z,00537000000E0b4AAC,2015-07-03T23:55:39.000Z,2015-07-06T15:07:20.000Z,2015-07-06T15:28:52.000Z,Appetizer,"A sandwich is a food item consisting of one or more types of food placed on or between slices of bread, or more generally any dish wherein two or more pieces of bread serve as a container or wrapper for some other food.",Enabled,10.0,Vegetarian,invalid cross reference id
a0037000000wjHpAAI,00537000000E0b4AAC,False,Donut,2015-07-02T18:17:42.000Z,00537000000E0b4AAC,2015-07-03T23:51:18.000Z,00537000000E0b4AAC,2015-07-03T23:51:18.000Z,2015-07-03T23:51:19.000Z,2015-07-06T15:49:52.000Z,Dessert,A doughnut or donut is a type of fried dough confectionery or dessert food.,Enabled,2.0,Vegetarian,invalid cross reference id
a0037000000wjFtAAI,00537000000E0b4AAC,False,Chicken Fingers,2015-07-02T17:37:23.000Z,00537000000E0b4AAC,2015-07-03T23:54:24.000Z,00537000000E0b4AAC,2015-07-03T23:54:24.000Z,2015-07-03T23:54:25.000Z,2015-07-03T23:54:25.000Z,Appetizer,"Fast-food chain specializing in fried chicken fingers, crinkle-cut fries & Texas toast.",Enabled,15.0,Non-Vegetarian,invalid cross reference id
a0037000000wjHfAAI,00537000000E0b4AAC,False,Pudding,2015-07-02T18:16:39.000Z,00537000000E0b4AAC,2015-07-03T23:49:59.000Z,00537000000E0b4AAC,2015-07-03T23:49:59.000Z,2015-07-03T23:50:00.000Z,2015-07-03T23:50:00.000Z,Dessert,"Pudding is usually a dessert, but it can also be a savoury dish. The word pudding is believed to come from the French boudin, originally from the Latin botellus, meaning ""small sausage"", referring to encased meats used in Medieval European puddings.",Enabled,5.0,Vegetarian,invalid cross reference id
a0037000000wjHQAAY,00537000000E0b4AAC,False,Veg Biryani,2015-07-02T18:11:54.000Z,00537000000E0b4AAC,2015-07-03T23:52:03.000Z,00537000000E0b4AAC,2015-07-03T23:52:03.000Z,2015-07-03T23:52:04.000Z,2015-07-03T23:52:04.000Z,Entree,"Vegetable biryani is a traditional mughlai main course item loaded with chopped vegetables, spices, saffron and dry fruits.",Enabled,25.0,Vegetarian,invalid cross reference id
a0037000000wjHaAAI,00537000000E0b4AAC,False,Ice Cream,2015-07-02T18:16:09.000Z,00537000000E0b4AAC,2015-07-03T23:49:32.000Z,00537000000E0b4AAC,2015-07-03T23:49:32.000Z,2015-07-03T23:49:32.000Z,2015-07-03T23:49:32.000Z,Dessert,"Ice cream is a frozen food, typically eaten as a snack or dessert, usually made from dairy products, such as milk and cream, and often combined with fruits or other ingredients and flavours.",Enabled,2.0,Vegetarian,invalid cross reference id
a0037000000wjHkAAI,00537000000E0b4AAC,False,Choco Cake,2015-07-02T18:17:12.000Z,00537000000E0b4AAC,2015-07-03T23:50:28.000Z,00537000000E0b4AAC,2015-07-03T23:50:28.000Z,2015-07-03T23:50:28.000Z,2015-07-03T23:50:28.000Z,Dessert,Chocolate cake is a cake flavored with melted chocolate or cocoa powder,Enabled,10.0,Non-Vegetarian,invalid cross reference id
a0037000000wjFyAAI,00537000000E0b4AAC,False,Veg Burger,2015-07-02T17:38:56.000Z,00537000000E0b4AAC,2015-07-03T23:55:10.000Z,00537000000E0b4AAC,2015-07-03T23:55:10.000Z,2015-07-03T23:55:10.000Z,2015-07-03T23:55:10.000Z,Appetizer,"A veggie burger is a hamburger-style, or chicken-style, patty that does not contain meat, but may contain animal products such as egg or milk.",Enabled,5.0,Vegetarian,invalid cross reference id
a0037000000wjHGAAY,00537000000E0b4AAC,False,Orange Chicken,2015-07-02T18:11:28.000Z,00537000000E0b4AAC,2015-07-03T23:53:52.000Z,00537000000E0b4AAC,2015-07-03T23:53:52.000Z,2015-07-03T23:53:53.000Z,2015-07-06T15:31:18.000Z,Entree,"range chicken is an American Chinese dish of Hunan origin. The variety of orange chicken most commonly found at North American fast food restaurants consists of chopped, battered, and fried chicken.",Enabled,20.0,Non-Vegetarian,invalid cross reference id
a0037000000wjHBAAY,00537000000E0b4AAC,False,Paneer Kolhapuri,2015-07-02T18:09:35.000Z,00537000000E0b4AAC,2015-07-03T23:53:16.000Z,00537000000E0b4AAC,2015-07-03T23:53:16.000Z,2015-07-03T23:53:16.000Z,2015-07-06T15:29:17.000Z,Entree,"Paneer kohlapuri is a tarty sabzi prepared with ground spices, coconut and fresh soft paneer in spicy gravy.",Enabled,20.0,Vegetarian,invalid cross reference id
a0037000000wjG8AAI,00537000000E0b4AAC,False,Non-Veg Burger,2015-07-02T17:39:25.000Z,00537000000E0b4AAC,2015-07-02T17:39:25.000Z,00537000000E0b4AAC,2015-07-02T17:39:25.000Z,2015-07-02T18:04:41.000Z,2015-07-02T18:04:41.000Z,Appetizer,,Enabled,15.0,Non-Vegetarian,invalid cross reference id
a0037000000wjH1AAI,00537000000E0b4AAC,False,Butter Chicken,2015-07-02T18:08:01.000Z,00537000000E0b4AAC,2015-07-03T23:52:40.000Z,00537000000E0b4AAC,2015-07-03T23:52:40.000Z,2015-07-06T15:52:29.000Z,2015-07-06T15:52:29.000Z,Entree,Butter chicken or murgh makhani is an Indian dish of chicken in a mildly spiced curry sauce. It is served in India and abroad. The dish has its roots in Punjabi cuisine,Enabled,20.0,Non-Vegetarian,invalid cross reference id
